DateTime,AddedIPs,RemovedIPs
1487038008,0,3
1487041617,5,2
1487045209,2,12
1487048808,4,8
1487052407,3,4
1487058799,5,3
1487062406,10,0
1487066004,4,3
1487069604,3,2
1487073202,5,0
1487074900,7,7
1487077609,6,0
1487081206,3,2
1487084811,0,5
1487088407,4,2
1487092005,2,8
1487095613,2,4
1487103002,11,10
1487106399,2,5
1487110015,2,4
1487113617,2,9
1487117200,10,9
1487120803,8,1
1487124409,6,2
1487128011,2,2
1487131615,3,9
1487135191,3,3
1487138828,2,3
1487142426,1,0
1487146001,3,3
1487149611,3,9
1487153212,8,3
1487156815,4,0
1487160419,4,6
1487164019,6,3
1487167621,0,5
1487171209,5,4
1487174798,5,6
1487178425,8,1
1487182026,2,1
1487185606,3,9
1487189203,5,3
1487192812,2,6
1487196405,8,1
1487200012,0,3
1487203601,3,6
1487207204,1,0
1487210796,3,8
1487214411,7,0
1487218008,3,1
1487221598,3,0
1487225208,4,2
1487228808,3,8
1487232401,1,10
1487236014,8,8
1487239593,5,4
1487243204,3,4
1487246813,5,1
1487250640,4,6
1487254401,2,4
1487257734,7,1
1487261493,3,8
1487264822,2,3
1487268404,3,3
1487272013,3,9
1487275599,11,5
1487279223,7,1
1487282801,7,5
1487286404,1,2
1487290003,4,9
1487293603,8,3
1487297201,4,5
1487300802,2,3
1487304416,4,10
1487308011,9,3
1487311598,4,1
1487315202,5,4
1487318820,4,0
1487322399,1,6
1487325990,3,3
1487329615,4,5
1487333210,3,2
1487336799,2,5
1487340404,8,8
1487344000,5,10
1487347622,4,4
1487351201,2,3
1487354803,1,5
1487358413,5,6
1487362009,11,0
1487365598,3,4
1487369204,4,1
1487372806,1,3
1487376400,11,14
1487380005,3,6
1487383613,4,3
1487387228,3,3
1487390829,1,9
1487394401,8,3
1487398007,1,3
1487401620,7,2
1487405206,4,4
1487408806,5,2
1487412401,7,2
1487416003,4,4
1487419610,2,2
1487423205,5,10
1487426808,12,7
1487430399,2,1
1487434007,0,1
1487437601,8,3
1487441217,4,10
1487444801,6,10
1487448412,2,0
1487452009,13,13
1487455626,2,2
1487459203,10,9
1487462808,5,1
1487466403,0,5
1487470017,5,3
1487473624,2,11
1487477209,1,2
1487480835,5,1
1487484402,7,2
1487488020,2,4
1487491611,8,0
1487495202,3,5
1487498837,0,4
1487502412,6,3
1487506001,3,5
1487509636,9,5
1487513195,3,2
1487516837,2,5
1487520405,5,2
1487524012,2,8
1487527607,1,10
1487531208,7,4
1487534837,3,3
1487538406,7,1
1487542009,3,1
1487545623,0,3
1487549205,8,4
1487552804,4,6
1487556402,7,2
1487560007,2,1
1487563614,1,7
1487567200,1,2
1487570808,3,8
