DateTime,Entries,UniqueIPs
1487073202,76,76
1487074900,76,76
1487077609,82,82
1487081206,83,83
1487084811,78,78
1487088407,80,80
1487092005,74,74
1487095613,72,72
1487103002,73,73
1487106399,70,70
1487110015,68,68
1487113617,61,61
1487117200,62,62
1487120803,69,69
1487124409,73,73
1487128011,73,73
1487131615,67,67
1487135191,67,67
1487138828,66,66
1487142426,67,67
1487146001,67,67
1487149611,61,61
1487153212,66,66
1487156815,70,70
1487160419,68,68
1487164019,71,71
1487167621,66,66
1487171209,67,67
1487174798,66,66
1487178425,73,73
1487182026,74,74
1487185606,68,68
1487189203,70,70
1487192812,66,66
1487196405,73,73
1487200012,70,70
1487203601,67,67
1487207204,68,68
1487210796,63,63
1487214411,70,70
1487218008,72,72
1487221598,75,75
1487225208,77,77
1487228808,72,72
1487232401,63,63
1487236014,63,63
1487239593,64,64
1487243204,63,63
1487246813,67,67
1487250640,65,65
1487254401,63,63
1487257734,69,69
1487261493,64,64
1487264822,63,63
1487268404,63,63
1487272013,57,57
1487275599,63,63
1487279223,69,69
1487282801,71,71
1487286404,70,70
1487290003,65,65
1487293603,70,70
1487297201,69,69
1487300802,68,68
1487304416,62,62
1487308011,68,68
1487311598,71,71
1487315202,72,72
1487318820,76,76
1487322399,71,71
1487325990,71,71
1487329615,70,70
1487333210,71,71
1487336799,68,68
1487340404,68,68
1487344000,63,63
1487347622,63,63
1487351201,62,62
1487354803,58,58
1487358413,57,57
1487362009,68,68
1487365598,67,67
1487369204,70,70
1487372806,68,68
1487376400,65,65
1487380005,62,62
1487383613,63,63
1487387228,63,63
1487390829,55,55
1487394401,60,60
1487398007,58,58
1487401620,63,63
1487405206,63,63
1487408806,66,66
1487412401,71,71
1487416003,71,71
1487419610,71,71
1487423205,66,66
1487426808,71,71
1487430399,72,72
1487434007,71,71
1487437601,76,76
1487441217,70,70
1487444801,66,66
1487448412,68,68
1487452009,68,68
1487455626,68,68
1487459203,69,69
1487462808,73,73
1487466403,68,68
1487470017,70,70
1487473624,61,61
1487477209,60,60
1487480835,64,64
1487484402,69,69
1487488020,67,67
1487491611,75,75
1487495202,73,73
1487498837,69,69
1487502412,72,72
1487506001,70,70
1487509636,74,74
1487513195,75,75
1487516837,72,72
1487520405,75,75
1487524012,69,69
1487527607,60,60
1487531208,63,63
1487534837,63,63
1487538406,69,69
1487542009,71,71
1487545623,68,68
1487549205,72,72
1487552804,70,70
1487556402,75,75
1487560007,76,76
1487563614,70,70
1487567200,69,69
1487570808,64,64
1487574423,62,62
1487578016,65,65
1487581596,66,66
1487585212,65,65
1487588814,70,70
1487592413,68,68
1487596002,66,66
1487599624,66,66
1487603201,72,72
1487606803,75,75
1487610414,73,73
1487614014,70,70
1487617609,69,69
1487621200,73,73
1487624819,70,70
1487628414,69,69
1487632018,66,66
1487635603,68,68
1487639211,69,69
1487642806,70,70
1487646412,70,70
1487650005,65,65
1487653602,71,71
1487657213,72,72
1487660812,72,72
1487664408,65,65
1487668010,66,66
1487671601,68,68
1487675202,70,70
1487678814,72,72
1487682410,72,72
1487686005,66,66
1487689632,63,63
1487693199,68,68
1487696810,70,70
1487700399,69,69
1487704005,69,69
1487707615,67,67
1487711211,64,64
1487714796,66,66
1487718401,66,66
1487722006,69,69
1487725608,71,71
1487729210,63,63
1487732805,68,68
1487736397,76,76
1487740006,78,78
1487743615,78,78
1487747228,75,75
1487750813,71,71
1487754402,62,62
1487758010,61,61
1487761621,62,62
1487765206,61,61
1487768806,63,63
1487772406,67,67
1487776021,64,64
1487779610,70,70
1487783208,69,69
1487786813,68,68
1487790419,72,72
1487794008,58,58
1487797605,62,62
1487801217,63,63
1487804804,60,60
1487808406,58,58
1487811987,64,64
1487815605,68,68
1487819206,69,69
1487822809,65,65
1487826398,64,64
1487830005,60,60
1487833607,62,62
1487837207,63,63
1487840800,62,62
1487844398,75,75
1487847997,72,72
1487851596,76,76
1487855197,82,82
1487858809,77,77
1487862392,78,78
1487866005,72,72
1487869603,67,67
1487873209,65,65
1487876796,65,65
1487880402,76,76
1487883992,79,79
1487887607,84,84
1487891204,82,82
1487894796,83,83
1487898399,82,82
1487901994,81,81
1487905608,77,77
1487909203,74,74
1487912807,68,68
1487916385,70,70
1487919992,72,72
1487923585,72,72
1487927199,66,66
1487930793,57,57
1487934398,58,58
1487937989,63,63
1487941603,70,70
1487945187,69,69
1487948810,72,72
1487954446,69,69
1487955993,66,66
1487959595,67,67
1487963202,64,64
1487966788,76,76
1487970403,73,73
1487973996,74,74
1487977605,78,78
1487981197,69,69
1487984821,72,72
1487988413,73,73
1487992013,70,70
1487995605,66,66
1487999202,69,69
1488002799,68,68
1488006411,70,70
1488010021,69,69
1488013604,68,68
1488017201,71,71
1488020807,74,74
1488024396,69,69
1488028008,68,68
1488031595,68,68
1488035211,65,65
1488038791,72,72
1488042410,68,68
1488046017,63,63
1488049606,68,68
1488053201,69,69
1488056801,73,73
1488060398,74,74
1488064009,72,72
1488067597,76,76
1488071205,75,75
1488074818,72,72
1488078426,74,74
1488082017,61,61
1488085621,63,63
1488089202,65,65
1488092812,68,68
1488096411,73,73
1488100013,68,68
1488103624,65,65
1488107220,60,60
1488110806,69,69
1488114416,70,70
1488118012,67,67
1488121600,70,70
1488125207,71,71
1488128817,74,74
1488132419,76,76
1488136013,71,71
1488139609,66,66
1488143214,69,69
1488146801,66,66
1488150416,64,64
1488154029,67,67
1488157608,62,62
1488161210,68,68
1488164809,66,66
1488168413,69,69
1488172003,69,69
1488175615,65,65
1488179217,61,61
1488182807,60,60
1488186413,59,59
1488190007,61,61
1488193623,62,62
1488197211,59,59
1488200815,59,59
1488204416,60,60
1488208017,63,63
1488211599,61,61
1488215207,62,62
1488218815,64,64
1488222403,64,64
1488226016,66,66
1488229614,66,66
1488233269,66,66
1488236852,71,71
1488240467,77,77
1488244020,75,75
1488247611,74,74
1488251214,71,71
1488254815,63,63
1488258412,65,65
1488262035,64,64
1488265622,66,66
1488269216,67,67
1488272808,67,67
1488276422,69,69
1488280013,69,69
1488283602,73,73
1488287213,73,73
1488290827,75,75
1488294419,68,68
1488298008,63,63
1488301609,59,59
1488305221,64,64
1488308826,63,63
1488312422,68,68
1488316009,65,65
1488319618,68,68
1488323207,67,67
1488326803,66,66
1488330414,66,66
1488334011,68,68
1488337609,73,73
1488341215,71,71
1488344825,67,67
1488348403,66,66
1488352021,66,66
1488355614,67,67
1488359230,59,59
1488362816,69,69
1488366416,64,64
1488370010,62,62
1488373620,64,64
1488377224,62,62
1488380810,64,64
1488384420,67,67
1488387998,72,72
1488391619,66,66
1488395214,68,68
1488398826,72,72
1488402425,68,68
1488406010,71,71
1488409612,69,69
1488413207,75,75
1488416801,77,77
1488420417,76,76
1488424012,75,75
1488427611,65,65
1488431212,62,62
1488434809,63,63
1488438409,65,65
1488442014,67,67
1488445611,66,66
1488449213,64,64
1488452815,58,58
1488456395,69,69
1488460003,77,77
1488463601,83,83
1488467208,80,80
1488470812,82,82
1488474410,81,81
1488478008,82,82
1488481595,73,73
1488485204,77,77
1488488805,76,76
1488492409,78,78
1488496023,78,78
1488499605,74,74
1488503196,80,80
1488506797,78,78
1488510393,82,82
1488513998,75,75
1488517591,73,73
1488521207,67,67
1488524796,65,65
1488528408,66,66
1488531996,69,69
1488535602,75,75
1488539210,77,77
1488542799,80,80
1488546414,83,83
1488549999,81,81
1488553597,87,87
1488557203,88,88
1488560804,82,82
1488564401,78,78
1488567999,74,74
1488571601,76,76
1488575203,76,76
1488578792,77,77
1488582409,72,72
1488586005,77,77
1488589612,78,78
1488593205,78,78
1488596805,76,76
1488600396,72,72
1488604009,70,70
1488607603,67,67
1488611203,68,68
1488614819,64,64
1488618411,63,63
1488622003,67,67
1488625611,62,62
1488629204,71,71
1488632828,70,70
1488636407,68,68
1488640003,70,70
1488643614,67,67
1488647213,70,70
1488650799,70,70
1488654417,69,69
1488657993,67,67
1488661601,66,66
1488665206,70,70
1488668809,70,70
1488672401,71,71
1488676006,71,71
1488679594,76,76
1488683196,72,72
1488686808,74,74
1488690389,79,79
1488694009,63,63
1488697599,64,64
1488701202,69,69
1488704804,67,67
1488708402,72,72
1488712010,74,74
1488715599,73,73
1488719204,70,70
1488722792,71,71
1488726408,70,70
1488729994,71,71
1488733605,69,69
1488737200,66,66
1488740806,67,67
1488744406,73,73
1488748013,75,75
1488751601,80,80
1488755206,79,79
1488758805,83,83
1488762410,83,83
1488766399,80,80
1488769985,81,81
1488773678,73,73
1488776988,69,69
1488780541,72,72
1488784310,70,70
1488788486,74,74
1488791627,73,73
1488795346,64,64
1488798657,69,69
1488802269,73,73
1488806063,73,73
1488809645,70,70
1488813251,70,70
1488816902,68,68
1488820403,65,65
1488824072,66,66
1488827461,63,63
1488831214,65,65
1488834628,70,70
1488838527,71,71
1488842271,71,71
1488845613,68,68
1488849386,58,58
1488852538,55,55
1488856639,56,56
1488859618,69,69
1488863657,76,76
1488867505,75,75
1488870869,73,73
