DateTime,AddedIPs,RemovedIPs
1487074993,10,7
1487076262,3,1
1487078245,7,1
1487081830,4,2
1487085430,1,10
1487089071,4,9
1487092628,3,9
1487096265,4,5
1487103573,19,10
1487107154,2,6
1487110773,2,5
1487114213,3,10
1487117812,19,15
1487121444,12,5
1487125039,15,7
1487128706,19,30
1487132297,5,10
1487135788,4,7
1487139556,7,4
1487143123,2,4
1487146669,3,6
1487150316,6,10
1487153849,8,4
1487157461,9,5
1487161077,5,8
1487164646,10,7
1487168344,3,6
1487171925,5,7
1487175417,5,10
1487179167,12,2
1487182653,4,8
1487186346,5,12
1487189848,9,2
1487193545,2,8
1487197047,11,3
1487200759,6,5
1487204382,26,6
1487207856,3,2
1487211461,5,9
1487215091,11,30
1487218619,6,2
1487222200,7,8
1487225932,8,3
1487229534,3,12
1487232990,5,11
1487236637,10,10
1487240188,5,7
1487243809,8,5
1487247412,6,9
1487251862,12,8
1487256243,4,4
1487259003,7,4
1487262499,4,10
1487265474,5,5
1487269053,4,4
1487272606,5,12
1487276222,13,7
1487279914,11,4
1487283490,8,4
1487287014,2,2
1487290638,23,11
1487294299,18,6
1487297788,20,11
1487301439,4,23
1487305072,10,12
1487308679,10,7
1487312217,10,4
1487315960,8,10
1487319454,7,6
1487323020,7,6
1487326564,4,8
1487330268,9,7
1487333794,7,3
1487337410,5,7
1487341000,12,8
1487344576,5,13
1487348299,6,7
1487351787,6,6
1487355369,4,12
1487359078,12,6
1487362630,11,3
1487366207,7,10
1487369765,8,23
1487373443,4,4
1487377019,25,14
1487380575,8,8
1487384228,4,6
1487387979,3,16
1487391471,3,12
1487395077,8,7
1487398653,2,4
1487402425,8,4
1487405821,5,9
1487409454,10,2
1487412955,7,2
1487416593,5,6
1487420213,5,2
1487423828,5,6
1487427430,7,7
1487431021,3,4
1487434661,2,4
1487438247,9,6
1487441824,6,11
1487445445,11,3
1487449067,3,4
1487452662,9,13
1487456223,2,3
1487459759,11,12
1487463422,23,2
1487466977,3,6
1487470668,8,4
1487474281,7,35
1487477860,3,10
1487481445,15,2
1487485056,10,3
1487488708,3,7
1487492221,10,0
1487495815,3,10
1487499494,3,8
1487503046,7,5
1487506687,4,8
1487510298,10,6
1487513829,7,4
1487517519,7,6
1487521087,8,5
1487524680,6,8
1487528251,2,18
1487531836,11,6
1487535554,6,4
1487538997,6,7
1487542676,5,2
1487546238,4,6
1487549855,17,5
1487553456,8,6
1487557022,7,5
1487560664,6,25
1487564251,1,9
1487567794,3,5
1487571442,6,9
1487575201,13,6
1487578700,6,8
1487582268,6,4
1487585899,6,2
1487589532,8,7
1487593101,9,10
1487596602,5,9
1487600236,7,7
1487603844,8,0
1487607482,8,3
1487611047,3,5
1487614728,5,6
1487618299,4,6
1487621893,8,1
1487625559,3,7
1487629080,4,6
1487632690,4,6
1487636281,26,12
1487639948,11,6
1487643545,9,4
1487647102,3,11
1487650667,4,9
1487654279,7,4
1487657848,8,5
1487661550,5,6
1487665103,1,8
1487668717,6,4
1487672278,8,9
1487675849,5,5
1487679473,6,3
1487683069,9,2
1487686781,6,8
1487690369,4,8
1487693886,9,6
1487697519,5,8
1487701047,3,7
1487704661,4,4
1487708233,5,7
1487711859,5,8
1487715461,9,5
1487719085,5,4
1487722732,31,5
1487726279,8,4
1487729858,9,12
1487733493,9,48
1487737105,9,2
1487740665,5,6
1487744282,6,4
1487747987,3,5
1487751594,7,9
1487755052,4,10
1487758731,3,4
1487762282,3,1
1487765873,8,11
1487769499,3,4
1487773132,6,5
1487776723,4,3
1487780278,16,10
1487783920,4,6
1487787474,5,7
1487791018,8,2
1487794913,5,17
1487798225,8,5
1487801853,6,7
1487805397,4,8
1487808978,17,8
1487812629,13,0
1487816394,14,7
1487819916,5,26
1487823547,2,4
1487827137,5,9
1487830638,4,7
1487834345,4,2
1487837959,6,4
1487841478,3,8
1487845030,14,5
1487848662,3,9
1487852232,7,8
1487855821,8,2
1487859441,7,12
1487863059,9,6
1487866691,4,7
1487870259,4,10
1487873877,0,9
1487877456,12,7
1487881066,13,6
1487884631,11,8
1487888277,13,3
1487891888,4,6
1487895572,27,5
1487899062,3,8
1487902717,4,7
1487906310,6,19
1487909843,4,6
1487913478,3,8
1487917050,4,3
1487920620,6,6
1487924213,4,6
1487927899,8,8
1487931382,1,14
1487935092,9,8
1487938678,9,3
1487942306,8,6
1487946014,3,4
1487949577,8,6
1487955117,9,8
1487956613,3,4
1487960238,4,2
1487963858,3,13
1487967433,19,4
1487971060,7,8
1487974675,4,1
1487978275,7,5
1487981875,31,13
1487985507,9,7
1487989088,7,3
1487992725,7,34
1487996273,4,14
1487999953,8,2
1488003487,2,6
1488007115,7,3
1488010755,5,6
1488014305,4,4
1488017886,8,11
1488021502,7,4
1488025054,1,9
1488028705,5,5
1488032270,9,6
1488035895,4,7
1488039417,6,1
1488043045,0,7
1488046677,8,10
1488050209,10,4
1488053889,9,10
1488057468,8,3
1488061021,11,6
1488064665,6,6
1488068268,32,3
1488071881,6,8
1488075444,3,13
1488079036,10,16
1488082650,2,13
1488086264,4,4
1488089815,8,7
1488093428,12,8
1488097056,7,3
1488100614,4,6
1488104361,3,6
1488107926,4,7
1488111521,15,7
1488115103,5,3
1488118693,1,7
1488122255,5,3
1488125939,7,3
1488129517,6,3
1488133127,8,7
1488136742,4,8
1488140311,5,13
1488143836,11,7
1488147466,4,9
1488151102,6,3
1488154702,22,4
1488158379,9,11
1488161892,10,3
1488165404,3,28
1488169038,6,3
1488172670,4,6
1488176264,7,8
1488179905,6,9
1488183482,4,6
1488187075,6,5
1488190715,6,3
1488194306,3,5
1488197911,5,5
1488201514,5,6
1488205115,8,3
1488208733,7,5
1488212297,4,4
1488215900,6,3
1488219541,6,8
1488223127,8,8
1488226683,5,4
1488230298,5,4
1488233977,15,5
1488237544,8,4
1488241156,32,3
1488244781,4,5
1488248289,11,10
1488251875,6,28
1488255569,4,16
1488259169,12,7
1488262883,5,7
1488266286,5,8
1488269850,4,2
1488273491,2,3
1488277090,5,3
1488280692,4,5
1488284309,4,5
1488287960,11,3
1488291562,6,2
1488295122,3,11
1488298706,3,6
1488302320,5,15
1488305890,8,4
1488309549,7,5
1488313133,8,5
1488316682,7,7
1488320324,8,6
1488323937,6,6
1488327512,26,6
1488331106,7,10
1488334760,8,4
1488338383,8,32
1488341919,5,13
1488345529,3,8
1488349123,2,4
1488352701,3,8
1488356304,4,3
1488359943,6,4
1488363458,5,5
1488367121,5,8
1488370696,9,4
1488374297,8,7
1488377943,9,7
1488381535,6,4
1488385177,6,5
1488388715,6,6
1488392281,7,11
1488395859,8,8
1488399491,10,7
1488403105,5,8
1488406694,6,0
1488410320,6,11
1488413880,31,10
1488417480,8,7
1488421112,7,6
1488424699,4,23
1488428339,1,15
1488431935,3,9
1488435524,6,4
1488439094,6,7
1488442713,8,4
1488446363,9,5
1488449915,3,5
1488453523,2,6
1488457143,16,5
1488460755,12,3
1488464327,5,1
1488467927,7,13
1488471544,6,4
1488475204,4,7
1488478717,11,9
1488482263,3,12
1488485893,10,7
1488489504,5,6
1488493080,9,5
1488496697,6,5
1488500310,29,10
1488503882,12,1
1488507505,5,7
1488511094,7,23
1488514684,5,17
1488518298,5,10
1488521921,9,10
1488525479,7,10
1488529043,4,6
1488532627,10,7
1488536278,7,4
1488539862,6,8
1488543481,8,6
1488547119,11,5
1488550618,10,12
1488554240,14,3
1488557908,6,5
1488561509,8,10
1488565083,4,10
1488568703,5,9
1488572280,8,7
1488575841,3,8
1488579440,8,8
1488583050,5,11
1488586722,38,6
1488590301,6,5
1488593833,4,5
1488597516,3,31
1488601036,4,16
1488604712,10,6
1488608319,4,7
1488611828,9,7
1488615495,2,6
1488619114,6,5
1488622634,7,10
1488626271,7,10
1488629889,11,4
1488633514,7,4
1488637125,6,8
1488640673,4,4
1488644294,2,7
1488647939,9,4
1488651430,7,6
1488655070,7,3
1488658627,7,6
1488662208,4,10
1488665877,12,9
1488669464,5,4
1488673062,14,2
1488676641,8,6
1488680249,11,3
1488683858,5,29
1488687440,8,9
1488691101,10,7
1488694695,6,13
1488698303,2,9
1488701892,6,6
1488705446,15,10
1488709114,12,6
1488712754,8,6
1488716305,4,2
1488719960,5,16
1488723474,13,8
1488727088,4,6
1488730614,5,2
1488734263,4,5
1488737846,4,9
1488741461,5,6
1488745008,15,6
1488748631,8,5
1488752175,7,5
1488755835,3,5
1488759549,36,5
1488763118,7,7
1488768155,3,11
1488771956,6,19
1488774841,9,20
1488778908,3,9
1488782481,10,5
1488785933,6,8
1488790915,10,4
1488793170,7,5
1488797122,2,12
1488800253,10,7
1488804667,8,4
1488808021,8,9
1488811868,6,7
1488815654,6,6
1488819276,5,8
1488822055,6,10
1488825363,6,4
1488829657,7,9
1488833478,6,3
1488836417,9,6
1488840426,6,4
1488843842,5,7
1488847338,25,5
1488851490,11,11
1488854330,4,7
1488858480,9,32
1488862184,17,3
1488865603,11,2
1488869676,5,9
1488872129,9,9
