DateTime,Entries,UniqueIPs
1487031440,355,355
1487035047,353,353
1487038583,349,349
1487042228,336,336
1487045823,326,326
1487049384,316,316
1487059145,325,325
1487066511,334,334
1487070177,336,336
1487073227,340,340
1487074993,343,343
1487076262,345,345
1487078245,351,351
1487081830,353,353
1487085430,344,344
1487089071,339,339
1487092628,333,333
1487096265,332,332
1487103573,341,341
1487107154,337,337
1487110773,334,334
1487114213,327,327
1487117812,331,331
1487121444,338,338
1487125039,346,346
1487128706,335,335
1487132297,330,330
1487135788,327,327
1487139556,330,330
1487143123,328,328
1487146669,325,325
1487150316,321,321
1487153849,325,325
1487157461,329,329
1487161077,326,326
1487164646,329,329
1487168344,326,326
1487171925,324,324
1487175417,319,319
1487179167,329,329
1487182653,325,325
1487186346,318,318
1487189848,325,325
1487193545,319,319
1487197047,327,327
1487200759,328,328
1487204382,348,348
1487207856,349,349
1487211461,345,345
1487215091,326,326
1487218619,330,330
1487222200,329,329
1487225932,334,334
1487229534,325,325
1487232990,319,319
1487236637,319,319
1487240188,317,317
1487243809,320,320
1487247412,317,317
1487251862,321,321
1487256243,321,321
1487259003,324,324
1487262499,318,318
1487265474,318,318
1487269053,318,318
1487272606,311,311
1487276222,317,317
1487279914,324,324
1487283490,328,328
1487287014,328,328
1487290638,340,340
1487294299,352,352
1487297788,361,361
1487301439,342,342
1487305072,340,340
1487308679,343,343
1487312217,349,349
1487315960,347,347
1487319454,348,348
1487323020,349,349
1487326564,345,345
1487330268,347,347
1487333794,351,351
1487337410,349,349
1487341000,353,353
1487344576,345,345
1487348299,344,344
1487351787,344,344
1487355369,336,336
1487359078,342,342
1487362630,350,350
1487366207,347,347
1487369765,332,332
1487373443,332,332
1487377019,343,343
1487380575,343,343
1487384228,341,341
1487387979,328,328
1487391471,319,319
1487395077,320,320
1487398653,318,318
1487402425,322,322
1487405821,318,318
1487409454,326,326
1487412955,331,331
1487416593,330,330
1487420213,333,333
1487423828,332,332
1487427430,332,332
1487431021,331,331
1487434661,329,329
1487438247,332,332
1487441824,327,327
1487445445,335,335
1487449067,334,334
1487452662,330,330
1487456223,329,329
1487459759,328,328
1487463422,349,349
1487466977,346,346
1487470668,350,350
1487474281,322,322
1487477860,315,315
1487481445,328,328
1487485056,335,335
1487488708,331,331
1487492221,341,341
1487495815,334,334
1487499494,329,329
1487503046,331,331
