DateTime,AddedIPs,RemovedIPs
1486289218,2,2
1486292812,0,1
1486296420,3,0
1486300026,1,0
1486303618,0,1
1486310816,0,4
1486314433,0,1
1486325225,1,0
1486328819,0,1
1486339620,1,1
1486346820,2,0
1486354029,0,1
1486361227,3,1
1486364829,3,0
1486372024,0,1
1486375634,1,1
1486379216,0,2
1486397224,0,1
1486404424,1,0
1486415228,2,0
1486444019,1,1
1486451224,0,1
1486454815,0,1
1486458425,0,2
1486462011,1,1
1486465622,2,0
1486469233,0,1
1486472822,1,0
1486476413,1,0
1486480030,2,0
1486487232,0,1
1486494423,0,2
1486501629,0,1
1486505221,1,0
1486508826,1,1
1486519632,0,1
1486526827,0,1
1486530429,2,1
1486534032,2,0
1486541279,2,0
1486544865,2,1
1486548445,0,2
1486555649,1,0
1486559255,0,1
1486562846,1,0
1486566461,1,1
1486570036,1,0
1486573644,1,0
1486584439,1,5
1486588047,1,1
1486595247,0,1
1486598861,1,1
1486602446,1,2
1486606057,1,0
1486609642,2,1
1486616859,0,1
1486620447,1,0
1486624058,2,0
1486627712,1,2
1486634838,1,1
1486638449,1,1
1486642050,0,1
1486645876,0,1
1486652888,1,2
1486656471,2,1
1486667447,1,0
1486674588,0,1
1486681665,0,2
1486685306,1,0
1486692446,2,1
1486706839,1,2
1486710441,1,1
1486714033,1,0
1486717643,1,0
1486721234,0,1
1486724838,0,1
1486728430,2,0
1486735630,1,0
1486742845,0,3
1486746442,1,0
1486750043,1,0
1486753635,2,0
1486764436,0,1
1486768034,0,1
1486775252,1,2
1486789645,0,1
1486793246,0,1
1486800433,4,0
1486807658,0,1
1486811243,2,0
1486825655,0,2
1486832842,0,1
1486836440,1,0
1486840038,1,0
1486843644,0,1
1486850837,0,2
1486854433,2,0
1486858045,2,1
1486861644,1,0
1486865239,2,0
1486876033,1,2
1486879633,0,1
1486883263,1,1
1486886834,0,1
1486890441,1,0
1486894041,0,1
1486897631,3,1
1486901242,3,0
1486904841,1,0
1486908436,1,1
1486912033,0,1
1486915654,3,3
1486919622,4,0
1486926562,1,0
1486930046,0,1
1486937234,1,1
1486940847,1,2
1486944439,1,2
1486948047,1,4
1486951638,0,5
1486955242,1,1
1486958839,5,1
1486969649,0,1
1486973242,1,5
1486980439,1,0
1486984047,0,1
1486987644,1,2
1486994840,0,1
1486998446,4,0
1487002035,2,0
1487009238,1,0
1487012891,3,1
1487016449,3,1
1487020108,0,1
1487023642,2,2
1487027242,1,2
1487030835,0,2
1487034460,1,1
1487038039,1,5
1487041650,3,2
1487045242,3,0
1487048840,0,1
1487052441,1,0
1487059087,4,0
1487084843,0,3
1487088440,0,5
1487092036,0,1
1487095645,2,1
1487103026,3,1
1487117233,0,2
1487120835,0,2
1487124442,2,1
1487128044,5,2
1487131648,1,0
1487135228,1,0
1487138860,1,2
1487142458,2,2
1487146034,1,1
1487149642,3,0
1487153247,0,1
1487156847,2,2
1487164053,0,4
1487167653,1,0
1487171241,0,3
1487174834,0,1
1487178457,2,0
1487182060,2,2
1487185639,0,1
1487189239,2,0
1487192843,0,2
1487196437,1,1
1487200044,3,0
1487203633,2,0
1487207236,1,1
1487210831,1,2
1487214442,2,1
1487218041,1,1
1487221629,2,1
1487225241,1,0
1487228840,0,3
1487232433,1,1
1487236046,0,3
1487239628,1,1
1487243236,5,2
1487246845,2,2
1487250671,3,0
1487254461,2,1
1487257765,1,1
1487261524,1,1
1487264853,1,2
1487268435,1,1
1487272045,2,1
1487275631,1,2
1487279255,2,2
1487282833,1,0
1487286441,1,1
1487290037,0,1
1487293636,0,3
1487297235,1,3
1487300838,1,2
1487304454,0,1
1487308044,0,1
1487311632,3,0
1487315237,1,2
1487322432,2,0
1487326023,0,4
1487329647,2,1
1487333243,2,0
1487336832,0,1
1487340438,1,0
1487344032,0,3
1487347656,2,0
1487351234,2,1
1487354839,3,0
1487362045,0,2
1487365631,2,4
1487369238,2,2
1487372840,1,0
1487380037,1,2
1487383645,0,1
1487387261,1,0
1487390862,1,0
1487394433,1,2
1487401653,0,1
1487405241,0,1
1487408838,1,0
1487412433,0,1
1487419643,2,0
1487423238,0,3
1487430434,1,0
1487441249,1,0
1487444834,1,1
1487452041,2,0
1487455660,0,1
1487462843,0,1
1487466436,0,1
1487470048,0,2
1487473657,1,1
1487477241,1,0
1487480867,3,0
1487488052,0,1
1487491647,1,0
1487495235,0,1
1487502444,0,1
1487506033,0,2
1487509668,1,0
1487516868,1,0
1487520440,1,0
1487524044,1,0
1487527639,0,1
1487531240,0,2
1487534869,2,0
1487538438,0,1
1487542042,1,1
1487545656,1,0
1487549241,0,1
1487556438,0,1
1487560039,2,2
1487574456,0,1
1487578016,0,1
1487585244,2,0
1487588845,2,0
1487592445,1,0
1487599657,0,2
1487603233,0,1
1487606836,0,1
1487610447,1,0
1487614046,2,0
1487624852,0,1
1487628446,1,2
1487639243,1,1
1487642839,2,0
1487646444,1,0
1487653635,0,1
1487657246,1,1
1487660844,0,1
1487671634,0,2
1487675203,0,1
1487678848,1,0
1487682443,3,0
1487686038,2,0
1487689666,1,0
1487693232,1,0
1487696844,0,1
1487700432,0,2
1487704038,0,1
1487707650,1,3
1487718435,1,0
1487722038,0,2
1487729242,2,0
1487743647,0,1
1487747260,1,0
1487750846,3,0
1487754435,1,0
1487765239,0,1
1487768838,0,2
1487772438,0,2
1487776053,2,0
1487783240,1,1
1487790450,1,0
1487801249,0,1
1487804836,0,1
1487812021,1,0
1487815637,2,1
1487819238,3,1
1487830036,1,0
1487837238,1,0
1487840832,0,3
1487848030,0,3
1487851632,0,2
1487858842,2,0
1487869637,1,0
1487880439,0,2
1487884028,2,1
1487894840,1,0
1487898431,0,1
1487902027,0,1
1487909237,1,1
1487912839,1,0
1487916418,1,0
1487920024,1,1
1487923616,1,1
1487927231,5,0
1487930826,0,1
1487934430,0,1
1487941635,0,4
1487945224,1,1
1487948842,1,0
1487954477,0,1
1487956025,2,0
1487959627,2,0
1487963238,1,1
1487970435,2,2
1487974028,0,1
1487977637,0,1
1487984855,0,1
1487992046,1,0
1487995638,2,0
1487999235,1,0
1488002833,0,2
1488006444,2,1
1488010058,1,0
1488013636,2,0
1488017236,0,1
1488020839,0,3
1488024430,0,3
1488028041,2,0
1488031629,0,1
1488035246,1,0
1488038825,0,1
1488046051,2,0
1488049639,2,2
1488053235,0,1
1488056836,1,0
1488060431,3,0
1488071241,0,3
1488074851,0,5
1488078458,1,1
1488085657,1,0
1488092844,0,1
1488100045,2,1
1488107252,1,0
1488110839,1,0
1488114450,0,1
1488118047,0,1
1488125240,1,1
1488132451,1,0
1488139643,0,1
1488143247,2,1
1488146834,0,1
1488150449,1,0
1488157641,0,2
1488164809,0,1
1488168445,1,0
1488172039,1,0
1488175647,1,0
1488179249,1,0
1488186446,0,1
1488190040,0,1
1488193624,0,2
1488197244,1,0
1488200848,1,0
1488204450,1,0
1488211633,2,0
1488215241,2,1
1488218849,1,1
1488226050,1,2
1488233302,0,3
1488240500,3,1
1488244053,1,0
1488247644,4,0
1488251248,2,0
1488254848,0,3
1488258446,1,1
1488262068,1,2
1488265655,0,3
1488269250,1,0
1488276454,0,1
1488280047,0,2
1488283602,0,2
1488287246,6,0
1488290860,1,0
1488301641,0,6
1488305223,0,1
1488308859,2,0
1488312456,1,0
1488316042,4,0
1488323243,0,1
1488326843,1,1
1488330450,1,3
1488337645,1,0
1488341250,1,1
1488344860,0,1
1488352056,0,1
1488355649,0,1
1488359264,0,1
1488370045,4,1
1488380847,1,0
1488384455,1,3
1488395249,0,2
1488398826,0,1
1488406047,1,0
1488413240,1,0
1488420452,0,1
1488431244,1,0
1488434845,0,1
1488438442,1,0
1488445644,1,0
1488449246,1,0
1488452846,0,2
1488456429,1,0
1488460036,2,1
1488467240,0,1
1488470845,1,1
1488474443,0,1
1488485205,0,2
1488488839,1,0
1488492442,1,0
1488496057,1,0
1488503229,1,0
1488506828,1,0
1488514030,1,0
1488517625,0,1
1488521239,1,0
1488524828,0,1
1488528441,0,2
1488532031,0,1
1488535635,0,1
1488539243,1,1
1488542832,2,0
1488550031,1,0
1488553629,0,1
1488557235,0,1
1488560836,2,0
1488564436,0,1
1488568032,1,0
1488571633,1,1
1488575235,0,1
1488586037,1,0
1488589644,0,1
1488600428,0,2
1488604042,2,0
1488611235,1,0
1488618444,0,1
1488622041,0,1
1488625612,0,2
1488629236,1,0
1488632860,2,0
1488647245,1,0
1488650831,1,2
1488658025,2,0
1488661633,0,1
1488665238,0,2
1488668841,1,0
1488676039,2,1
1488679627,0,1
1488683230,0,1
1488690426,1,2
1488694043,1,0
1488704837,3,1
1488708439,0,1
1488719239,1,3
1488722826,1,0
1488730027,1,0
1488733637,0,1
1488740839,0,1
1488744443,1,1
1488758809,0,1
1488770017,1,0
1488773710,1,0
1488788771,0,1
1488795504,1,1
1488802301,1,0
1488813283,1,0
1488817061,0,1
1488820451,0,1
1488824104,1,0
1488827489,1,1
1488831246,1,0
1488834737,1,0
