DateTime,Entries,UniqueIPs
1479683472,11,11
1479719373,10,10
1479787700,11,11
1479870503,9,9
1479877704,11,11
1479892108,10,10
1479906494,11,11
1479920912,10,10
1479924512,9,9
1479935302,11,11
1479974888,10,10
1479978503,9,9
1479992905,10,10
1480000113,11,11
1480014514,10,10
1480018098,9,9
1480021705,10,10
1480028900,11,11
1480043311,9,9
1480050505,10,10
1480075726,9,9
1480079311,10,10
1480118911,9,9
1480151299,10,10
1480190903,9,9
1480194501,10,10
1480223300,9,9
1480230514,10,10
1480259313,9,9
1480266512,10,10
1480316924,9,9
1480320517,10,10
1480417721,9,9
1480428525,9,9
1480432328,10,10
1480446837,8,8
1480450115,9,9
1480460915,10,10
1480464515,9,9
1480468115,10,10
1480493314,9,9
1480507721,10,10
1480526473,9,9
1480536520,10,10
1480558120,9,9
1480572518,8,8
1480579723,9,9
1480601304,8,8
1480604934,9,9
1480630108,8,8
1480640902,9,9
1480666117,8,8
1480669743,9,9
1480691310,8,8
1480694922,9,9
1480745300,8,8
1480774101,9,9
1480788498,7,7
1480792110,8,8
1480806519,9,9
1480810123,10,10
1480824505,9,9
1480831702,8,8
1480842498,7,7
1480856910,8,8
1480874904,9,9
1480889318,8,8
1480900118,9,9
1480914511,8,8
1480932515,9,9
1480946922,8,8
1480950514,8,8
1480961318,9,9
1480964914,8,8
1480968520,9,9
1480986499,10,10
1481001345,9,9
1481012067,8,8
1481019332,7,7
1481023413,8,8
1481026597,7,7
1481047718,8,8
1481051310,9,9
1481062182,8,8
1481069310,9,9
1481098103,8,8
1481102020,8,8
1481105311,9,9
1481134106,8,8
1481144900,9,9
1481159312,10,10
1481173700,9,9
1481191747,8,8
1481198919,9,9
1481209714,8,8
1481213321,8,8
1481216920,9,9
1481224692,10,10
1481234908,9,9
1481238508,8,8
1481245704,7,7
1481252918,9,9
1481274502,8,8
1481285306,9,9
1481324915,8,8
1481386094,10,10
1481414912,9,9
1481418523,10,10
1481487068,9,9
1481490569,10,10
1481522904,9,9
1481526510,10,10
1481548405,9,9
1481552212,10,10
1481584629,9,9
1481588236,10,10
1481639267,9,9
1481643023,10,10
1481645574,9,9
1481652969,10,10
1481667240,9,9
1481674434,10,10
1481703579,9,9
1481724814,10,10
1481753309,9,9
1481760510,11,11
1481789318,10,10
1481792920,11,11
1481800118,10,10
1481846908,9,9
1481850518,10,10
1481916966,9,9
1481926110,10,10
