DateTime,AddedIPs,RemovedIPs
1486660135,2,1
1486663737,2,1
1486671420,1,0
1486685369,0,3
1486688902,2,1
1486692508,1,1
1486696104,2,0
1486699698,0,2
1486703297,1,0
1486706901,0,1
1486710506,1,2
1486714096,1,0
1486721297,2,0
1486724900,0,3
1486728493,0,1
1486732106,2,0
1486735693,2,0
1486739304,1,1
1486742907,0,1
1486746504,0,1
1486750105,2,0
1486753697,0,1
1486757297,1,3
1486760902,2,2
1486764499,1,0
1486775315,2,0
1486782521,0,1
1486786102,0,2
1486789707,2,0
1486800496,0,1
1486804104,0,2
1486807721,3,1
1486811305,2,4
1486814902,1,1
1486818495,4,0
1486822106,0,2
1486825717,1,0
1486829299,1,2
1486832904,2,1
1486840101,1,0
1486843714,0,4
1486847295,2,0
1486854496,1,1
1486858117,1,1
1486861714,3,2
1486865302,1,0
1486868890,0,1
1486872508,1,1
1486879696,1,3
1486883326,2,0
1486886897,1,1
1486890503,0,2
1486894104,1,1
1486897695,1,2
1486901440,2,2
1486904911,4,1
1486908500,1,1
1486915718,0,1
1486919949,0,1
1486923570,1,0
1486930109,2,2
1486933696,1,0
1486944507,1,0
1486948110,2,1
1486951701,1,1
1486955304,1,0
1486958901,0,2
1486966109,0,3
1486969711,1,5
1486973305,2,1
1486976901,3,2
1486980503,3,0
1486984110,1,0
1486987708,0,2
1486991302,1,2
1486998510,4,1
1487005698,0,2
1487009301,0,1
1487020171,2,0
1487023708,0,1
1487027308,1,1
1487030901,1,0
1487034522,2,0
1487038101,0,1
1487041712,2,0
1487045304,0,2
1487048902,0,2
1487052507,1,0
1487059658,1,2
1487063263,1,3
1487070464,2,1
1487073567,1,0
1487075133,2,1
1487077703,0,1
1487084905,1,0
1487095706,1,0
1487103080,0,1
1487110109,0,1
1487117303,0,1
1487120902,3,2
1487124506,3,5
1487128109,6,0
1487131710,0,1
1487135291,0,1
1487138921,1,0
1487146096,0,2
1487149705,1,1
1487156911,3,2
1487160515,0,2
1487164121,2,1
1487167718,1,0
1487171303,0,1
1487174897,0,2
1487178519,3,1
1487182121,0,3
1487185701,1,1
1487189302,1,0
1487192906,1,0
1487196499,1,0
1487200106,2,0
1487203700,0,1
1487207298,1,0
1487214504,0,2
1487218103,1,0
1487221696,1,5
1487225303,3,2
1487232496,2,1
1487236113,3,0
1487239690,0,3
1487246907,2,4
1487250861,5,1
1487257844,1,1
1487261587,0,1
1487264916,1,1
1487268497,1,0
1487272107,1,2
1487275702,1,0
1487279316,1,1
1487282896,0,1
1487290107,1,1
1487293698,3,1
1487297304,0,2
1487300901,0,2
1487304519,3,3
1487308106,2,4
1487311701,4,2
1487315301,2,2
1487318916,2,4
1487322495,4,1
1487326089,2,2
1487329710,3,1
1487333306,1,2
1487336898,1,0
1487344097,1,1
1487347718,0,2
1487351297,0,2
1487354901,0,4
1487358511,6,2
1487362111,1,0
1487365695,1,0
1487372903,2,1
1487376495,2,0
1487380102,2,0
1487383708,0,1
1487387324,0,1
1487390924,1,2
1487394496,1,2
1487398100,1,0
1487405303,0,2
1487408901,3,0
1487419705,1,0
1487423301,0,1
1487430495,0,1
1487434102,1,3
1487437702,0,3
1487444897,3,0
1487448510,2,2
1487452103,1,0
1487459298,2,2
1487466498,1,0
1487470111,1,0
1487473719,1,2
1487477304,0,4
1487480930,5,1
1487484496,2,1
1487488115,1,1
1487491712,1,0
1487495297,0,3
1487498931,3,1
1487502507,1,0
1487506096,0,2
1487509732,0,1
1487513289,1,3
1487516930,3,2
1487520502,1,1
1487524106,3,0
1487527702,0,4
