DateTime,Entries,UniqueIPs
1487855321,449,449
1487857231,446,446
1487859165,445,445
1487861069,444,444
1487863016,444,444
1487864938,450,450
1487866840,448,448
1487868761,447,447
1487870611,448,448
1487872583,449,449
1487874498,450,450
1487876496,447,447
1487878349,448,448
1487880259,449,449
1487882759,444,444
1487884587,444,444
1487886498,445,445
1487888425,442,442
1487890351,442,442
1487892260,442,442
1487894197,429,429
1487896103,429,429
1487898100,433,433
1487899965,433,433
1487902125,436,436
1487904032,437,437
1487905960,437,437
1487907873,435,435
1487909781,434,434
1487911693,421,421
1487913626,425,425
1487915540,424,424
1487917456,423,423
1487919395,421,421
1487921305,423,423
1487923301,420,420
1487925163,419,419
1487927205,417,417
1487929030,416,416
1487930922,418,418
1487932827,423,423
1487934760,393,393
1487936659,383,383
1487938593,388,388
1487940525,400,400
1487942422,405,405
1487944348,409,409
1487946275,415,415
1487948199,377,377
1487950529,381,381
1487952534,388,388
1487954462,396,396
1487956382,403,403
1487958284,437,437
1487960185,1068,1068
1487962127,1072,1072
1487964022,1072,1072
1487966016,1071,1071
1487967874,1069,1069
1487969823,1070,1070
1487971706,1071,1071
1487973731,1073,1073
1487975592,1072,1072
1487977764,1069,1069
1487979623,1073,1073
1487981587,1075,1075
1487983447,1075,1075
1487985680,1078,1078
1487987578,1075,1075
1487989515,1075,1075
1487991398,1079,1079
1487993379,1072,1072
1487995321,1068,1068
1487997191,1066,1066
1487999332,1067,1067
1488001232,1068,1068
1488003161,1066,1066
1488005066,1065,1065
1488006993,1066,1066
1488008908,1067,1067
1488010822,1064,1064
1488012739,1063,1063
1488014677,1065,1065
1488016610,1066,1066
1488018514,1061,1061
1488020532,1055,1055
1488022354,1053,1053
1488024193,1054,1054
1488026198,1040,1040
1488028405,1029,1029
1488030275,1029,1029
1488032199,1026,1026
1488034132,1023,1023
1488036033,1023,1023
1488037959,1021,1021
1488039865,1011,1011
1488041784,1010,1010
1488043700,1003,1003
1488045710,998,998
1488047563,996,996
1488049481,1000,1000
1488051405,999,999
1488053322,1002,1002
1488055238,1002,1002
1488057181,1005,1005
1488059065,1011,1011
1488061001,1012,1012
