DateTime,AddedIPs,RemovedIPs
1487802986,0,1
1487803722,0,2
1487804497,0,3
1487805146,0,4
1487806593,0,2
1487807307,0,2
1487808289,0,1
1487808984,0,2
1487809704,0,2
1487811154,0,2
1487812117,0,1
1487813559,0,2
1487815011,0,3
1487816447,0,1
1487818570,0,34
1487819303,0,4
1487820751,0,2
1487822194,0,1
1487824342,0,1
1487825366,0,2
1487826109,0,1
1487826763,0,1
1487829703,0,1
1487831052,0,1
1487832509,0,1
1487833305,0,2
1487833945,0,1
1487834659,0,1
1487836107,0,1
1487837549,0,1
1487838991,0,1
1487839691,0,1
1487841177,0,1
1487841847,0,1
1487844134,0,1
1487845022,0,1
1487846422,0,1
1487848573,0,1
1487850019,0,1
1487853641,0,1
1487855312,0,243
1487861781,0,1
1487863248,0,1
1487864659,0,1
1487866826,0,1
1487869693,64,0
1487870422,18,0
1487871400,3,0
1487872101,1,0
1487872918,66,0
1487873539,4,0
1487874258,3,0
1487875715,1,0
1487877147,33,0
1487877845,72,0
1487878603,15,1
1487879291,10,0
1487880112,12,0
1487880741,4,0
1487881451,80,1
1487883176,11,0
1487883864,12,0
1487884576,29,0
1487885311,31,1
1487886019,12,0
1487886752,14,0
1487887470,28,0
1487888180,6,0
1487895637,0,1
1487898523,0,1
1487902839,0,1
1487904252,1,0
1487914347,1,0
1487927573,0,1
1487930497,1,0
1487941294,1,0
1487956370,0,1
1487964973,0,2
1487965704,15,0
1487968574,0,1
1487969307,0,1
1487977287,0,1
1488000258,0,1
1488001715,64,0
1488002505,2,1
1488003152,1,1
1488003852,0,1
1488004592,1,0
1488005305,38,0
1488006093,3,0
1488006746,27,0
1488008191,17,0
1488008900,25,0
1488009706,13,0
1488010334,33,0
1488011061,58,1
1488011780,34,0
1488012544,32,21
1488013282,14,12
1488013959,26,1
1488014667,35,0
1488015401,21,4
1488016111,0,1
1488016888,0,1
1488018982,0,2
1488019693,0,1
1488021142,0,1
1488021859,0,1
1488023310,0,1
1488027679,0,1
1488031301,0,1
1488034123,0,2
1488036988,0,1
