DateTime,AddedIPs,RemovedIPs
1488487453,5,6
1488488192,2,0
1488488896,5,2
1488489655,6,6
1488490349,7,10
1488491068,7,2
1488491783,3,0
1488492496,2,2
1488493243,5,7
1488493953,6,0
1488494660,6,4
1488495374,2,9
1488496119,2,0
1488496842,4,9
1488497550,1,2
1488498544,4,6
1488499324,1,6
1488499960,4,4
1488500666,5,0
1488501388,2,8
1488502127,5,5
1488502876,4,0
1488503547,3,4
1488504251,7,5
1488504999,3,6
1488505711,3,5
1488506508,4,0
1488507136,6,1
1488507867,7,6
1488508593,7,6
1488509320,7,6
1488510080,4,5
1488510753,8,7
1488511461,5,2
1488512206,4,5
1488512910,4,5
1488513712,6,8
1488514366,4,7
1488515051,7,2
1488515792,3,8
1488516498,2,3
1488517315,4,5
1488518005,9,6
1488518656,6,0
1488519415,5,10
1488520096,1,0
1488520922,4,2
1488521560,7,6
1488522255,3,0
1488522997,3,2
1488523700,1,1
1488524539,3,4
1488525150,3,1
1488525863,4,0
1488526589,5,6
1488527329,2,3
1488528095,3,0
1488528739,3,2
1488529470,9,11
1488530188,8,3
1488530920,4,3
1488531684,10,0
1488532365,3,5
1488533053,2,1
1488533785,9,0
1488534506,1,4
1488535317,1,2
1488535952,1,2
1488536661,4,0
1488537379,6,2
1488538110,1,5
1488538934,4,5
1488539812,5,7
1488540501,2,2
1488541248,7,7
1488541964,5,4
1488542912,4,2
1488543645,6,0
1488544364,5,6
1488545054,11,0
1488545786,2,9
1488546493,5,0
1488547268,6,0
1488547956,5,2
1488548663,4,1
1488549399,1,5
1488550146,3,3
1488550816,2,2
1488551555,6,2
1488552250,2,1
1488553009,1,5
1488553706,5,5
1488554432,5,2
1488555151,2,4
1488555860,3,7
1488556931,10,9
1488557819,4,4
1488558506,2,0
1488559224,7,2
1488559941,2,5
1488560678,7,7
1488561392,5,0
1488562117,9,2
1488562814,6,0
1488563570,4,4
1488564535,0,12
1488565215,5,0
1488565968,6,4
1488566926,9,3
1488567694,2,3
1488568355,4,7
1488569050,3,4
1488569786,7,7
1488570498,4,7
1488571310,3,4
1488571957,5,6
1488572654,6,0
1488573386,4,3
1488574128,3,5
1488574904,2,3
1488575546,4,0
1488576269,3,10
1488577248,7,2
1488577943,6,3
1488578671,3,10
1488579406,3,0
1488580108,5,8
1488580828,2,5
1488581600,9,5
1488582834,2,10
1488583549,1,5
1488584273,5,2
1488584990,2,3
1488585674,5,2
