DateTime,Entries,UniqueIPs
1488495374,9733,9787
1488496119,9736,9790
1488496842,9735,9789
1488497550,9737,9791
1488498544,9738,9792
1488499324,9735,9789
1488499960,9737,9791
1488500666,9740,9794
1488501388,9733,9787
1488502127,9736,9790
1488502876,9739,9793
1488503547,9738,9792
1488504251,9745,9799
1488504999,9749,9803
1488505711,9753,9807
1488506508,9751,9805
1488507136,9754,9808
1488507867,9757,9811
1488508593,9758,9812
1488509320,9759,9813
1488510080,9761,9815
1488510753,9759,9813
1488511461,9758,9812
1488512206,9759,9813
1488512910,9762,9816
1488513712,9766,9820
1488514366,9699,9748
1488515051,9706,9755
1488515792,9710,9759
1488516498,9712,9761
1488517315,9717,9766
1488518005,9726,9775
1488518656,9729,9778
1488519415,9734,9783
1488520096,9733,9782
1488520922,9737,9786
1488521560,9742,9791
1488522255,9737,9786
1488522997,9738,9787
1488523700,9731,9780
1488524539,9734,9783
1488525150,9731,9780
1488525863,9734,9783
1488526589,9733,9782
1488527329,9733,9782
1488528095,9735,9784
1488528739,9735,9784
1488529470,9743,9792
1488530188,9744,9793
1488530920,9742,9791
1488531684,9744,9794
1488532365,9748,9798
1488533053,9749,9799
1488533785,9757,9807
1488534506,9751,9801
1488535317,9748,9798
1488535952,9745,9795
1488536661,9751,9801
1488537379,9750,9800
1488538110,9750,9800
1488538934,9742,9792
1488539812,9746,9796
1488540501,9746,9796
1488541248,9751,9801
1488541964,9752,9802
1488542912,9751,9801
1488543645,9750,9800
1488544364,9755,9805
1488545054,9763,9813
1488545786,9763,9813
1488546493,9766,9816
1488547268,9766,9816
1488547956,9769,9819
1488548663,9770,9820
1488549399,9767,9817
1488550146,9769,9819
1488550816,9765,9815
1488551555,9769,9819
1488552250,9771,9821
1488553009,9770,9820
1488553706,9773,9823
1488554432,9772,9822
1488555151,9768,9818
1488555860,9768,9818
1488556931,9773,9823
1488557819,9774,9824
1488558506,9775,9825
1488559224,9776,9827
1488559941,9774,9825
1488560678,9782,9833
1488561392,9785,9838
1488562117,9788,9841
1488562814,9788,9841
1488563570,9788,9841
1488564535,9788,9841
1488565215,9790,9843
1488565968,9791,9844
1488566926,9795,9848
1488567694,9801,9854
1488568355,9800,9853
1488569050,9803,9856
1488569786,9802,9855
1488570498,9807,9860
1488571310,9799,9852
1488571957,9797,9850
1488572654,9804,9857
1488573386,9799,9852
1488574128,9794,9847
1488574904,9797,9850
1488575546,9783,9836
1488576269,9781,9834
1488577248,9789,9842
1488577943,9793,9846
1488578671,9792,9845
1488579406,9784,9837
1488580108,9788,9841
1488580828,9786,9839
1488581600,9794,9847
1488582834,9779,9832
1488583549,9778,9831
1488584273,9780,9833
1488584990,9780,9833
1488585674,9786,9839
1488586346,9781,9834
1488587807,9783,9836
1488588506,9788,9841
1488589309,9783,9836
1488589964,9784,9837
1488590653,9779,9832
1488591416,9777,9830
1488592095,9782,9835
1488592898,9782,9835
1488593551,9771,9824
1488594265,9777,9830
1488594976,9777,9830
1488595708,9779,9832
1488596502,9769,9822
1488597163,9777,9830
1488597850,9780,9833
1488598588,9784,9837
1488599304,9781,9834
1488600294,9782,9835
1488600991,9788,9841
1488601715,9790,9843
1488602412,9791,9844
1488603166,9788,9841
1488604130,9798,9851
1488604830,9797,9850
1488605552,9801,9854
1488606250,9803,9856
1488607010,9803,9856
1488607706,9800,9853
