DateTime,Entries,UniqueIPs
1488482440,4838,4838
1488483184,4852,4852
1488483878,4849,4849
1488484575,4844,4844
1488485340,4849,4849
1488486027,4855,4855
1488486763,4854,4854
1488487453,4853,4853
1488488192,4848,4848
1488488896,4846,4846
1488489655,4861,4861
1488490349,4857,4857
1488491068,4844,4844
1488491783,4842,4842
1488492496,4832,4832
1488493243,4820,4820
1488493953,4799,4799
1488494660,4825,4825
1488495374,4816,4816
1488496119,4806,4806
1488496842,4812,4812
1488497550,4805,4805
1488498544,4789,4789
1488499324,4793,4793
1488499960,4780,4780
1488500666,4786,4786
1488501388,4794,4794
1488502127,4791,4791
1488502876,4799,4799
1488503547,4801,4801
1488504251,4797,4797
1488504999,4791,4791
1488505711,4789,4789
1488506508,4775,4775
1488507136,4774,4774
1488507867,4773,4773
1488508593,4756,4756
1488509320,4765,4765
1488510080,4771,4771
1488510753,4776,4776
1488511461,4773,4773
1488512206,4769,4769
1488512910,4762,4762
1488513712,4763,4763
1488514366,4770,4770
1488515051,4773,4773
1488515792,4779,4779
1488516498,4765,4765
1488517315,4765,4765
1488518005,4761,4761
1488518656,4763,4763
1488519415,4763,4763
1488520096,4772,4772
1488520922,4778,4778
1488521560,4781,4781
1488522255,4764,4764
1488522997,4762,4762
1488523700,4761,4761
1488524539,4777,4777
1488525150,4774,4774
1488525863,4770,4770
1488526589,4770,4770
1488527329,4772,4772
1488528095,4777,4777
1488528739,4764,4764
1488529470,4774,4774
1488530188,4778,4778
1488530920,4781,4781
1488531684,4790,4790
1488532365,4786,4786
1488533053,4803,4803
1488533785,4797,4797
1488534506,4785,4785
1488535317,4781,4781
1488535952,4769,4769
1488536661,4783,4783
1488537379,4780,4780
1488538110,4772,4772
1488538934,4772,4772
1488539812,4749,4749
1488540501,4781,4781
1488541248,4792,4792
1488541964,4804,4804
1488542912,4795,4795
1488543645,4805,4805
1488544364,4818,4818
1488545054,4871,4871
1488545786,4873,4873
1488546493,4880,4880
1488547268,4859,4859
1488547956,4858,4858
1488548663,4862,4862
1488549399,4854,4854
1488550146,4860,4860
1488550816,4839,4839
1488551555,4853,4853
1488552250,4853,4853
1488553009,4859,4859
1488553706,4848,4848
1488554432,4858,4858
1488555151,4860,4860
1488555860,4859,4859
1488556931,4872,4872
1488557819,4859,4859
1488558506,4852,4852
1488559224,4861,4861
1488559941,4873,4873
1488560678,4882,4882
1488561392,4875,4875
1488562117,4885,4885
1488562814,4896,4896
1488563570,4894,4894
1488564535,4884,4884
1488565215,4886,4886
1488565968,4876,4876
1488566926,4881,4881
1488567694,4884,4884
1488568355,4894,4894
1488569050,4887,4887
1488569786,4881,4881
1488570498,4876,4876
1488571310,4873,4873
1488571957,4859,4859
1488572654,4854,4854
1488573386,4856,4856
1488574128,4853,4853
1488574904,4857,4857
1488575546,4858,4858
1488576269,4851,4851
