DateTime,AddedIPs,RemovedIPs
1488329458,5,93
1488330472,0,46
1488331422,3,1
1488332431,4,68
1488334222,4,87
1488336145,2,107
1488338421,11,58
1488339313,4,88
1488339745,0,27
1488340572,3,0
1488341421,0,82
1488342493,5,1
1488343341,2,168
1488344487,0,88
1488345322,3,0
1488346097,2,2
1488346941,3,146
1488348615,5,101
1488349513,0,1
1488350540,3,130
1488351917,5,199
1488352825,2,0
1488353632,4,132
1488354650,1,56
1488354973,1,0
1488355819,2,116
1488356775,2,0
1488357618,5,200
1488358504,2,0
1488359413,3,118
1488361340,7,143
1488362266,5,0
1488363240,1,207
1488364223,3,152
1488366296,4,249
1488367243,4,0
1488368114,4,152
1488369019,1,89
1488369918,1,139
1488370824,3,0
1488371899,28,127
1488373530,4,215
1488374056,1,0
1488374982,3,156
1488375818,1,75
1488376762,4,122
1488377721,2,21
1488378740,1,86
1488380118,4,102
1488381016,2,112
1488382095,9,1
1488382943,9,280
1488383948,4,115
1488384870,2,4
1488385828,2,114
1488387313,9,87
1488389298,6,155
1488390151,3,318
1488390981,3,1
1488391816,0,217
1488392893,4,1
1488393740,5,282
1488394725,2,110
1488395723,2,7
1488396623,3,113
1488397771,5,72
1488399024,2,169
1488400820,4,205
1488401780,2,0
1488402616,0,155
1488403826,5,22
1488404694,3,1
1488405373,1,0
1488406223,5,11
1488408317,3,18
1488409527,4,7
1488410422,2,0
1488412513,3,3
1488413420,1,18
1488414625,4,2
1488415891,1,0
1488417583,4,16
1488418953,6,8
1488419777,6,0
1488420617,4,3
1488421479,2,0
1488422420,6,7
1488423373,3,1
1488424221,0,2
1488425220,1,0
1488426140,5,20
1488427527,5,1
1488428423,5,0
1488429739,2,4
1488431120,2,7
1488432620,8,6
1488433348,3,4
1488435257,8,2
1488436222,3,2
1488437128,1,2
1488438333,3,5
1488439220,4,0
1488440114,5,3
1488440552,0,2
1488441373,4,0
1488442222,3,4
1488444319,3,3
1488445249,6,3
1488446067,4,0
1488446895,2,1
1488448337,5,7
1488449160,4,5
1488450016,2,0
1488451344,1,6
1488452725,8,5
1488453627,4,0
1488454943,7,10
1488456067,7,4
1488456916,5,0
1488457806,2,9
1488458623,2,0
1488460225,8,8
1488461117,1,0
1488461910,2,4
1488462714,4,1
1488464149,6,4
1488465025,6,1
1488466136,6,0
1488467096,1,7
1488468019,4,0
1488469229,4,5
1488470122,7,0
1488471022,3,7
1488472186,6,10
1488473122,4,4
1488473777,1,0
1488474624,4,3
1488475694,9,0
1488476622,9,9
1488477469,0,1
1488478300,1,2
1488479116,2,0
1488480146,2,8
1488481534,3,3
1488482899,4,1
1488483923,1,8
1488484847,2,2
1488485721,2,0
1488487364,5,7
1488488214,2,0
1488489321,3,5
1488490942,5,12
1488491856,1,0
1488492851,3,5
1488493817,2,3
1488494539,4,0
1488495372,1,2
1488497298,4,7
1488498316,3,5
1488499267,4,3
1488501017,4,4
1488501879,2,2
1488502681,4,0
1488503717,2,3
1488504617,3,2
1488506720,10,7
1488507639,4,0
1488508822,3,10
1488510324,9,5
1488510855,1,0
1488511821,4,9
1488513669,16,4
1488515421,6,4
1488516871,4,2
1488517814,2,2
1488519743,3,6
1488521122,5,7
1488522018,4,0
1488524033,10,7
1488525317,5,3
1488526928,7,8
1488528321,10,7
1488529221,7,0
1488530421,3,6
1488531668,9,7
1488532461,5,0
1488533431,7,1
1488534148,2,0
1488534980,1,0
1488535815,5,1
1488536057,1,0
1488537019,7,6
1488537741,1,0
1488539668,12,5
1488541225,5,17
1488542096,2,0
1488543123,7,9
1488544231,5,3
1488546319,9,6
1488546856,3,0
1488547696,5,1
1488549667,10,12
1488550455,6,0
1488551393,11,14
1488552458,9,3
1488553316,15,6
1488554118,6,0
1488555375,23,3
1488556217,4,0
1488557123,12,11
1488558019,8,0
1488558914,9,5
1488559340,6,0
1488560726,6,6
1488561616,9,0
1488562827,6,7
1488563720,7,0
1488564620,6,2
1488564854,3,0
1488565815,3,4
1488566723,4,2
1488567577,5,1
1488568528,4,0
1488569294,1,0
1488570234,5,7
1488571267,2,2
1488572115,5,0
1488573017,6,6
1488573915,4,0
1488575321,8,4
1488576146,9,0
1488577301,9,7
1488580939,18,11
1488581883,4,0
1488582855,6,1
1488583820,8,4
1488584771,2,1
1488585644,4,1
1488587106,4,0
1488588017,5,6
1488588987,0,1
1488589821,3,8
1488590875,6,0
1488591923,1,8
1488592847,4,5
1488593718,3,0
1488594495,5,0
1488596276,8,6
1488597324,5,2
1488598221,5,7
1488599122,2,1
1488599772,7,0
1488600621,1,6
1488602720,14,9
1488604526,7,4
1488605419,13,7
1488606140,3,2
1488608055,9,4
1488609018,4,8
1488609928,6,4
1488611126,3,4
1488611657,4,0
1488612493,6,1
1488613336,4,7
1488614721,7,8
1488615615,12,0
1488616816,13,7
1488617716,3,0
1488618618,2,9
1488619694,9,0
1488620564,4,7
1488622427,15,6
1488623422,10,9
1488625667,11,8
1488627618,18,14
1488628573,3,1
1488629417,8,5
1488629658,2,1
1488630624,7,3
1488631341,3,3
1488632450,10,6
1488633320,3,0
1488634227,7,5
1488634943,2,3
1488636323,11,4
1488637220,6,0
1488638055,2,8
1488638540,3,5
1488640061,11,7
1488641867,49,8
1488642661,21,0
1488644123,21,4
1488645234,22,10
1488646265,46,8
1488647128,37,3
1488648021,21,0
1488648497,4,1
1488649527,44,3
1488650723,39,4
1488652093,24,2
1488653124,63,10
1488654323,60,3
1488655226,42,1
1488656417,49,5
1488657313,49,0
1488660144,144,8
1488660976,44,1
1488661820,24,5
1488662059,7,1
1488663027,42,4
1488663743,40,0
1488664756,53,4
1488665722,48,0
1488666582,25,8
1488667342,32,4
1488668464,48,4
1488669271,22,1
1488670227,27,4
1488671124,30,4
1488672119,25,5
1488672855,18,1
1488673695,23,0
1488674550,23,2
1488675922,29,8
1488676821,22,0
1488678148,26,8
1488679518,32,10
1488680421,16,0
1488681315,24,6
1488681743,7,8
1488683127,30,19
1488684027,23,0
1488684914,24,8
1488686119,26,0
1488687016,32,6
1488688094,32,0
1488690701,73,12
1488692422,56,10
1488693374,32,1
1488694216,33,6
1488695421,45,7
1488696822,48,5
1488697819,64,10
1488699027,26,11
1488699745,23,0
1488701123,38,10
1488702017,26,2
1488702916,41,10
1488704985,75,5
1488706945,83,11
1488708854,80,9
1488709824,38,8
1488710543,36,4
1488711374,36,0
1488712216,11,5
1488713297,37,0
1488714148,46,8
1488714973,30,0
1488715819,27,6
1488716895,57,1
1488717925,59,16
1488718983,41,6
1488719965,35,1
1488721530,70,16
1488722367,48,10
1488723258,25,0
1488724220,35,14
1488724948,31,5
1488726328,57,8
1488727222,23,2
1488728543,60,17
1488729458,60,1
1488730525,37,12
1488732554,135,22
1488733526,47,10
1488734420,46,0
1488734895,16,1
1488735925,77,9
1488737123,51,9
1488738021,36,0
1488739000,57,7
1488739342,22,0
1488741257,83,4
1488742223,77,11
1488742950,47,0
1488743943,50,9
1488744919,43,2
1488745820,43,10
1488746728,47,3
1488747568,49,6
1488748523,32,0
1488749426,28,7
1488750152,30,5
1488750982,37,0
1488752419,44,4
1488753817,39,12
1488755328,41,9
1488756391,35,0
1488757350,35,9
1488758395,33,2
1488759261,16,0
1488760823,55,11
1488761773,26,0
1488762620,20,4
1488763658,25,0
1488764725,22,8
1488765990,31,8
1488768320,50,9
1488769519,19,8
1488770358,27,0
1488770903,12,0
1488771741,27,7
1488773653,40,3
1488774625,24,16
1488775522,28,6
1488776181,21,0
1488777020,38,3
1488778189,37,7
1488779118,41,3
1488780318,43,2
1488781219,36,0
1488782349,45,19
1488783392,51,2
1488784216,38,10
1488785296,43,0
1488786318,50,10
1488787302,39,11
1488788443,36,1
1488789323,32,6
1488790456,58,0
1488791722,66,12
1488792628,46,16
1488793527,44,0
1488794180,28,1
1488795019,36,10
1488796219,64,10
1488797684,51,7
1488798645,48,5
1488799446,44,0
1488800541,70,11
1488802218,116,7
1488803924,83,7
1488805516,85,12
1488806420,32,1
1488807627,6,12
1488808578,3,0
1488810622,9,45
1488811520,2,17
1488812364,2,25
1488813264,6,1
1488814221,6,25
1488815126,3,1
1488816046,4,72
1488816854,5,0
1488817820,1,42
1488818536,5,18
1488819389,1,1
1488820219,4,38
1488821431,4,42
1488822571,4,0
1488823525,3,94
1488825172,6,74
1488825735,2,0
1488826770,3,71
1488827724,4,17
1488828629,3,81
1488829346,3,0
1488830623,3,76
1488831620,1,1
1488832103,2,0
1488833123,6,86
1488834323,3,61
1488834871,4,0
1488835826,3,56
1488836969,4,0
1488837914,4,76
1488839327,5,1
1488840318,4,51
1488841962,4,48
1488843745,4,57
1488844568,4,0
1488845419,1,24
1488846493,6,0
1488847520,0,29
1488848552,1,38
1488849914,6,1
1488850823,6,43
1488851785,2,1
1488852620,3,31
1488853642,6,0
1488854723,5,36
1488855373,2,0
1488856456,2,40
1488857298,1,0
1488859603,37,92
1488860420,2,0
1488861501,3,52
1488862868,4,50
1488864099,4,0
1488865223,1,64
