DateTime,Entries,UniqueIPs
1488298821,17799,17799
1488299614,17664,17664
1488300145,17577,17577
1488301528,17528,17528
1488302421,17532,17532
1488303631,17260,17260
1488304750,17132,17132
1488305655,17128,17128
1488306626,16779,16779
1488307705,16780,16780
1488308859,16389,16389
1488310603,16283,16283
1488311419,16284,16284
1488312585,16219,16219
1488314543,16132,16132
1488315923,16054,16054
1488316819,16056,16056
1488317614,15905,15905
1488318514,15888,15888
1488319415,15713,15713
1488320425,15716,15716
1488321313,15592,15592
1488322281,15594,15594
1488323125,15519,15519
1488324017,15520,15520
1488324494,15521,15521
1488325523,15428,15428
1488326718,15370,15370
1488327619,15371,15371
1488328093,15372,15372
1488329458,15284,15284
1488330472,15238,15238
1488331422,15240,15240
1488332431,15176,15176
1488334222,15093,15093
1488336145,14988,14988
1488338421,14941,14941
1488339313,14857,14857
1488339745,14830,14830
1488340572,14833,14833
1488341421,14751,14751
1488342493,14755,14755
1488343341,14589,14589
1488344487,14501,14501
1488345322,14504,14504
1488346097,14504,14504
1488346941,14361,14361
1488348615,14265,14265
1488349513,14264,14264
1488350540,14137,14137
1488351917,13943,13943
1488352825,13945,13945
1488353632,13817,13817
1488354650,13762,13762
1488354973,13763,13763
1488355819,13649,13649
1488356775,13651,13651
1488357618,13456,13456
1488358504,13458,13458
1488359413,13343,13343
1488361340,13207,13207
1488362266,13212,13212
1488363240,13006,13006
1488364223,12857,12857
1488366296,12612,12612
1488367243,12616,12616
1488368114,12468,12468
1488369019,12380,12380
1488369918,12242,12242
1488370824,12245,12245
1488371899,12146,12146
1488373530,11935,11935
1488374056,11936,11936
1488374982,11783,11783
1488375818,11709,11709
1488376762,11591,11591
1488377721,11572,11572
1488378740,11487,11487
1488380118,11389,11389
1488381016,11279,11279
1488382095,11287,11287
1488382943,11016,11016
1488383948,10905,10905
1488384870,10903,10903
1488385828,10791,10791
1488387313,10713,10713
1488389298,10564,10564
1488390151,10249,10249
1488390981,10251,10251
1488391816,10034,10034
1488392893,10037,10037
1488393740,9760,9760
1488394725,9652,9652
1488395723,9647,9647
1488396623,9537,9537
1488397771,9470,9470
1488399024,9303,9303
1488400820,9102,9102
1488401780,9104,9104
1488402616,8949,8949
1488403826,8932,8932
1488404694,8934,8934
1488405373,8935,8935
1488406223,8929,8929
1488408317,8914,8914
1488409527,8911,8911
1488410422,8913,8913
1488412513,8913,8913
1488413420,8896,8896
1488414625,8898,8898
1488415891,8899,8899
