DateTime,AddedIPs,RemovedIPs
1488275777,9,3
1488276628,8,8
1488278722,21,9
1488279566,8,8
1488280899,9,1
1488281937,9,7
1488283525,8,8
1488284430,6,0
1488285317,10,8
1488286302,5,2
1488287121,5,7
1488288023,6,0
1488288892,8,8
1488289947,4,6
1488291017,6,8
1488292433,10,10
1488293494,5,4
1488294319,10,12
1488295290,5,1
1488296436,9,17
1488297922,6,12
1488298825,7,2
1488299617,6,7
1488300149,3,4
1488301533,5,4
1488302428,6,0
1488303637,9,20
1488304764,6,5
1488305658,5,0
1488306630,7,17
1488307708,5,0
1488308863,7,15
1488309758,7,0
1488310609,4,13
1488311423,9,1
1488312588,8,8
1488314546,9,14
1488315927,12,9
1488316826,4,2
1488317618,5,8
1488318517,5,4
1488319422,9,11
1488320432,9,1
1488321316,11,18
1488322283,8,1
1488323128,7,16
1488324024,5,0
1488324497,2,1
1488325529,4,23
1488326723,11,12
1488327626,6,0
1488328096,2,0
1488329461,4,23
1488330475,6,10
1488331425,2,2
1488332439,14,9
1488332547,0,1
1488334225,12,12
1488335298,9,0
1488336152,6,23
1488338429,27,7
1488339316,8,9
1488339752,2,2
1488340575,4,1
1488341424,7,12
1488342496,5,1
1488343349,5,16
1488344493,11,9
1488345325,10,1
1488346100,7,0
1488346950,8,18
1488347776,3,2
1488348618,6,9
1488349516,6,0
1488350546,9,15
1488351920,10,13
1488352832,7,2
1488353635,11,18
1488354656,5,4
1488354976,2,0
1488355822,14,10
1488356781,8,2
1488357623,10,21
1488358507,15,1
1488359416,6,10
1488361347,27,11
1488362268,8,0
1488363248,8,10
1488364226,11,6
1488366299,17,20
1488367252,14,4
1488368117,11,16
1488369024,11,7
1488369921,14,9
1488370832,5,0
1488371903,10,11
1488373533,15,10
1488374059,7,0
1488374987,13,11
1488375821,6,0
1488376765,8,11
1488377724,4,2
1488378745,9,12
1488380121,17,11
1488381021,10,4
1488382098,9,1
1488382951,8,16
1488383962,14,9
1488384873,9,1
1488385831,11,14
1488387316,11,4
1488389301,16,10
1488390161,5,14
1488390984,5,0
1488391820,4,18
1488392896,12,7
1488393749,7,20
1488394728,13,8
1488395729,7,1
1488396626,12,9
1488397774,8,10
1488399028,9,9
1488400826,24,19
1488401783,8,2
1488402621,6,14
1488402859,1,1
1488403831,11,8
1488404697,11,7
1488405376,5,0
1488406227,7,11
1488408323,14,20
1488409537,8,11
1488410429,8,1
1488412516,10,14
1488413423,9,10
1488414628,13,11
1488415894,13,4
1488417586,12,11
