DateTime,Entries,UniqueIPs
1488271346,1631,1631
1488272879,1640,1640
1488273717,1643,1643
1488274829,1637,1637
1488275777,1643,1643
1488276628,1643,1643
1488278722,1655,1655
1488279566,1655,1655
1488280899,1663,1663
1488281937,1665,1665
1488283525,1665,1665
1488284430,1671,1671
1488285317,1673,1673
1488286302,1676,1676
1488287121,1674,1674
1488288023,1680,1680
1488288892,1680,1680
1488289947,1678,1678
1488291017,1676,1676
1488292433,1676,1676
1488293494,1677,1677
1488294319,1675,1675
1488295290,1679,1679
1488296436,1671,1671
1488297922,1665,1665
1488298825,1670,1670
1488299617,1669,1669
1488300149,1668,1668
1488301533,1669,1669
1488302428,1675,1675
1488303637,1664,1664
1488304764,1665,1665
1488305658,1670,1670
1488306630,1660,1660
1488307708,1665,1665
1488308863,1657,1657
1488309758,1664,1664
1488310609,1655,1655
1488311423,1663,1663
1488312588,1663,1663
1488314546,1658,1658
1488315927,1661,1661
1488316826,1663,1663
1488317618,1660,1660
1488318517,1661,1661
1488319422,1659,1659
1488320432,1667,1667
1488321316,1660,1660
1488322283,1667,1667
1488323128,1658,1658
1488324024,1663,1663
1488324497,1664,1664
1488325529,1645,1645
1488326723,1644,1644
1488327626,1650,1650
1488328096,1652,1652
1488329461,1633,1633
1488330475,1629,1629
1488331425,1629,1629
1488332439,1634,1634
1488332547,1633,1633
1488334225,1633,1633
1488335298,1642,1642
1488336152,1625,1625
1488338429,1645,1645
1488339316,1644,1644
1488339752,1644,1644
1488340575,1647,1647
1488341424,1642,1642
1488342496,1646,1646
1488343349,1635,1635
1488344493,1637,1637
1488345325,1646,1646
1488346100,1653,1653
1488346950,1643,1643
1488347776,1644,1644
1488348618,1641,1641
1488349516,1647,1647
1488350546,1641,1641
1488351920,1638,1638
1488352832,1643,1643
1488353635,1636,1636
1488354656,1637,1637
1488354976,1639,1639
1488355822,1643,1643
1488356781,1649,1649
1488357623,1638,1638
1488358507,1652,1652
1488359416,1648,1648
1488361347,1664,1664
1488362268,1672,1672
1488363248,1670,1670
1488364226,1675,1675
1488366299,1672,1672
1488367252,1682,1682
1488368117,1677,1677
1488369024,1681,1681
1488369921,1686,1686
1488370832,1691,1691
1488371903,1690,1690
1488373533,1695,1695
1488374059,1702,1702
1488374987,1704,1704
1488375821,1710,1710
1488376765,1707,1707
1488377724,1709,1709
1488378745,1706,1706
1488380121,1712,1712
1488381021,1718,1718
1488382098,1726,1726
1488382951,1718,1718
1488383962,1723,1723
1488384873,1731,1731
1488385831,1728,1728
1488387316,1735,1735
1488389301,1741,1741
1488390161,1732,1732
1488390984,1737,1737
1488391820,1723,1723
1488392896,1728,1728
1488393749,1715,1715
1488394728,1720,1720
1488395729,1726,1726
1488396626,1729,1729
1488397774,1727,1727
1488399028,1727,1727
1488400826,1732,1732
1488401783,1738,1738
1488402621,1730,1730
1488402859,1730,1730
1488403831,1733,1733
1488404697,1737,1737
1488405376,1742,1742
1488406227,1738,1738
1488408323,1732,1732
1488409537,1729,1729
1488410429,1736,1736
1488412516,1732,1732
1488413423,1731,1731
1488414628,1733,1733
1488415894,1742,1742
1488417586,1743,1743
1488418961,1739,1739
1488419782,1750,1750
1488420622,1753,1753
1488421482,1761,1761
1488422426,1747,1747
1488423376,1753,1753
1488424224,1746,1746
1488425223,1752,1752
1488426150,1730,1730
1488427535,1724,1724
1488428430,1729,1729
1488429749,1728,1728
1488431124,1733,1733
1488432623,1733,1733
1488433360,1735,1735
1488435260,1739,1739
1488436225,1740,1740
1488437131,1742,1742
1488438343,1742,1742
1488439230,1750,1750
1488440117,1750,1750
1488440564,1746,1746
1488441377,1752,1752
1488442225,1752,1752
1488444324,1749,1749
1488445258,1750,1750
1488446071,1754,1754
1488446899,1758,1758
1488448341,1751,1751
1488449163,1741,1741
1488450027,1749,1749
1488451357,1749,1749
1488452734,1762,1762
1488453636,1771,1771
1488454955,1772,1772
1488456083,1766,1766
1488456922,1782,1782
1488457820,1781,1781
1488458632,1794,1794
1488460228,1807,1807
1488461122,1828,1828
1488461914,1820,1820
1488462718,1830,1830
1488464152,1839,1839
1488465028,1844,1844
1488466139,1855,1855
1488467112,1857,1857
1488468028,1869,1869
1488469237,1875,1875
1488470125,1885,1885
1488471025,1887,1887
1488472189,1886,1886
1488473128,1895,1895
1488473780,1902,1902
1488474627,1907,1907
1488475698,1921,1921
1488476634,1916,1916
1488477472,1925,1925
1488478303,1923,1923
1488479119,1936,1936
1488480153,1943,1943
1488481546,1949,1949
1488482902,1969,1969
1488483926,1970,1970
