DateTime,AddedIPs,RemovedIPs
1488291021,2,337
1488292436,3,437
1488293497,1,211
1488294323,1,320
1488296442,3,72
1488297925,4,82
1488298830,1,0
1488299716,2,136
1488300153,1,86
1488301537,3,54
1488302434,2,0
1488303643,5,281
1488304769,2,130
1488305662,0,7
1488306634,1,349
1488307711,1,0
1488308866,3,392
1488310613,3,109
1488311427,3,4
1488312592,0,64
1488314551,4,88
1488315930,2,80
1488316831,1,1
1488317687,1,152
1488318520,1,20
1488319427,2,177
1488320437,3,1
1488321319,0,124
1488322287,1,2
1488323131,2,77
1488324501,1,0
1488325532,2,93
1488326726,1,58
1488327632,0,1
1488329464,3,91
1488330478,0,45
1488331429,1,1
1488332446,2,67
1488334228,1,84
1488336159,2,105
1488338435,7,55
1488339320,0,87
1488339759,0,26
1488341427,0,77
1488342499,2,1
1488343355,1,166
1488344500,0,87
1488345328,1,0
1488346103,2,2
1488346956,2,144
1488348622,1,100
1488349519,0,1
1488350552,0,129
1488351923,3,190
1488353639,1,128
1488354659,0,56
1488355826,2,114
1488357629,3,195
1488359420,1,115
1488361355,4,141
1488362272,4,0
1488363258,1,205
1488364230,1,151
1488366302,3,244
1488367260,4,0
1488368120,0,148
1488369030,0,89
1488369925,1,138
1488370838,2,0
1488371906,24,125
1488373537,3,212
1488374063,1,0
1488374994,1,154
1488375824,0,73
1488376768,2,118
1488377727,2,21
1488378754,0,83
1488380124,3,102
1488381024,2,110
1488382102,4,0
1488382960,6,275
1488383967,3,115
1488384877,1,4
1488385836,2,111
1488387320,6,88
1488389305,4,155
1488390169,3,315
1488390987,0,1
1488391826,0,216
1488392899,3,1
1488393757,2,279
1488394732,2,109
1488395733,1,7
1488396631,1,109
1488397778,4,71
1488399032,1,164
1488400833,3,202
1488402625,0,152
1488403835,3,19
1488404700,3,1
1488405379,1,0
1488406230,2,9
1488408326,1,14
1488409544,2,4
1488410434,2,0
1488412519,1,2
1488413427,1,12
1488414631,1,1
1488417589,2,11
1488418988,4,4
1488419787,3,0
1488420626,1,2
1488421485,1,0
1488422433,1,3
1488423379,1,0
1488426158,3,13
1488427538,3,0
1488428436,3,0
1488429758,0,4
1488431127,1,4
1488432627,2,4
1488433368,1,1
1488435263,3,2
1488436229,0,2
1488438346,0,3
1488439239,1,0
1488440121,2,2
1488440573,0,1
1488441380,3,0
1488442228,1,2
1488444328,2,2
1488445267,3,2
1488446075,1,0
1488448351,2,2
1488449176,1,3
1488450036,1,0
1488451364,1,2
1488452743,3,4
1488453644,1,0
1488454966,5,3
1488456089,1,1
1488457825,0,2
1488458642,1,0
1488460232,1,5
1488462014,0,1
1488463440,3,1
1488467124,0,5
1488468038,3,0
1488469245,3,4
1488470128,3,0
1488471029,1,3
1488472192,4,6
1488473132,1,2
1488474630,2,2
1488475702,6,0
1488476644,1,5
1488478309,1,2
1488479123,1,0
1488480161,0,5
1488481556,2,3
1488482906,1,1
1488483930,1,5
1488484865,2,1
1488487383,3,3
1488488221,1,0
1488489328,1,3
1488490953,2,5
1488491862,1,0
1488492858,0,2
1488493825,2,1
1488494555,2,0
1488495378,1,1
1488497305,1,3
1488498323,2,3
1488499280,1,0
1488501885,1,1
1488504625,2,2
1488506735,5,6
1488507655,2,0
1488508844,3,4
1488510341,2,0
1488511828,1,4
1488513688,10,1
1488515428,0,2
1488516877,2,2
1488517820,0,1
1488519761,1,1
1488521140,1,4
1488522037,2,0
1488523238,0,2
1488524039,4,0
1488525323,4,0
1488526940,6,6
1488528335,5,3
1488529243,3,0
1488530438,0,3
1488531689,2,5
1488532476,2,0
1488533439,3,0
1488534161,1,0
1488535822,3,1
1488537025,1,2
1488537758,1,0
1488539675,3,1
1488541244,2,14
1488542107,1,0
1488543142,4,5
1488544238,3,1
1488546339,5,2
1488547703,2,0
1488549683,7,9
1488550462,1,0
1488551399,6,9
1488552465,7,3
1488553339,12,2
1488554402,11,0
1488555383,11,2
1488556224,5,0
1488557138,10,6
1488558035,7,0
1488558920,5,5
1488559361,5,0
1488560741,6,2
1488561638,8,0
1488562836,4,4
1488563726,4,0
1488564627,4,2
1488564861,2,0
1488565821,1,1
1488566732,0,1
1488567583,4,1
1488568535,2,0
1488569300,1,0
1488570261,4,4
1488571277,0,1
1488572122,2,0
1488573023,1,2
1488573921,2,0
1488575327,3,2
1488576168,4,0
1488577325,3,3
1488580952,5,4
1488581921,2,0
1488582862,1,0
1488583827,2,2
1488584781,1,0
1488585655,1,1
1488587113,2,0
1488588038,1,2
1488589827,2,3
1488590882,1,0
1488591937,1,2
1488592870,1,3
1488594502,2,0
1488596306,2,2
1488597331,1,0
1488598228,0,4
1488599137,2,0
1488599778,2,0
1488600627,0,3
1488602728,5,1
1488604533,4,0
1488605427,3,2
1488606163,2,0
1488608062,4,1
1488609025,1,0
1488609945,0,2
1488611141,2,2
1488611664,2,0
1488612499,2,0
1488613355,1,4
1488614744,2,5
1488615628,2,0
1488616834,2,3
1488618625,0,3
1488619701,1,0
1488620582,0,4
1488622434,5,2
1488623429,7,3
1488625675,5,1
1488627635,8,6
1488628580,1,0
1488629423,3,2
1488630632,1,1
1488631365,1,0
1488632463,3,0
1488633327,1,0
1488634234,2,1
1488634963,1,0
1488636346,3,1
1488637240,1,0
1488638067,0,5
1488638561,2,5
1488640068,4,2
1488641873,43,5
1488642668,19,0
1488644130,18,1
1488645240,18,4
1488646285,44,1
1488647151,34,3
1488648048,17,0
1488648504,4,0
1488649548,41,1
1488650748,31,1
1488652100,21,0
1488653148,64,5
1488654339,56,2
1488655245,43,0
1488656441,41,1
1488657320,46,0
1488660166,146,4
1488660982,35,0
1488661826,21,3
1488662066,7,0
1488663036,35,2
1488663771,37,0
1488664762,49,3
1488665728,43,0
1488666588,26,2
1488667369,30,2
1488668488,51,2
1488669279,14,1
1488670235,24,0
1488671145,29,1
1488672149,22,1
1488672861,17,0
1488673702,21,0
1488674582,21,1
1488675949,28,2
1488676844,20,0
1488678166,25,7
1488679538,31,2
1488680450,11,0
1488681321,21,1
1488681758,7,5
1488683149,29,16
1488684049,20,0
1488684920,20,2
1488686126,25,0
1488687023,29,3
1488688100,30,0
1488690712,66,3
1488692448,51,1
1488693380,28,0
1488694223,33,2
1488695427,44,6
1488696828,45,3
1488697826,60,5
1488699034,24,6
1488699775,21,0
1488701145,33,1
1488702035,22,0
1488702925,40,5
1488704992,68,2
1488706975,81,3
1488708861,73,2
1488709832,37,3
1488710568,34,2
1488711380,34,0
1488712224,11,2
1488713304,30,0
1488714175,45,4
1488714980,28,0
1488715826,24,2
1488716903,51,0
1488717942,56,6
1488719012,39,4
1488719973,35,0
1488721552,69,6
1488722373,46,7
1488723265,22,0
1488724229,32,8
1488724973,30,2
1488726358,50,6
1488727245,23,1
1488728575,55,15
1488729465,57,1
1488730533,32,10
1488732561,127,14
1488733549,45,6
1488734448,40,0
1488734902,15,0
1488735943,72,4
1488737146,46,3
1488738048,38,0
1488739007,52,4
1488739365,22,0
1488741267,74,1
1488742233,74,5
1488742980,44,0
1488743963,52,5
1488744928,38,1
1488745829,45,2
1488746755,42,1
1488747574,46,2
1488748535,28,0
1488749436,27,1
1488750186,30,4
1488750988,37,0
1488752442,39,2
1488753843,35,2
1488755334,36,4
1488756416,34,0
1488757380,32,2
1488758401,31,1
1488759268,16,0
1488760830,51,5
1488761779,24,0
1488762626,18,1
1488763667,24,0
1488764731,20,3
1488765997,29,3
1488768327,46,0
1488769526,16,3
1488770365,24,0
1488770910,11,0
1488771747,24,1
1488773659,32,2
1488774632,22,4
1488775528,23,3
1488776187,19,0
1488777026,37,0
1488778196,35,3
1488779127,41,0
1488780324,43,2
1488781230,34,0
1488782359,44,10
1488783398,50,1
1488784223,33,3
1488785303,33,0
1488786325,50,1
1488787315,36,1
1488788451,35,1
1488789330,32,2
1488790465,59,0
1488791737,60,4
1488792637,48,9
1488793537,41,0
1488794187,29,1
1488795026,35,3
1488796226,58,5
1488797690,48,4
1488798655,48,4
1488799466,42,0
1488800552,67,5
1488802225,114,2
1488803930,83,3
1488805522,81,5
1488806430,26,1
1488807637,5,3
1488808584,2,0
1488810629,6,33
1488811527,0,15
1488812371,2,21
1488813272,4,1
1488814231,2,20
1488815133,1,1
1488816056,2,67
1488816861,3,0
1488817832,0,37
1488818542,3,16
1488819395,1,1
1488820227,1,34
1488821439,3,36
1488822578,4,0
1488823532,2,91
1488825183,3,68
1488826777,3,70
1488827732,1,15
1488828637,0,80
1488829358,2,0
1488830632,2,73
1488831629,0,1
1488832109,2,0
1488833132,4,78
1488834332,2,58
1488834879,1,0
1488835833,2,53
1488836980,2,0
1488837921,3,70
1488839333,5,1
1488840324,1,46
1488841971,2,44
1488843758,0,53
1488844579,2,0
1488845425,1,21
1488846500,6,0
1488847526,0,29
1488848563,1,34
1488849923,3,1
1488850831,5,38
1488851791,1,1
1488852629,1,28
1488853648,2,0
1488854731,4,30
1488855380,1,0
1488856463,1,37
1488859609,34,85
1488860432,2,0
1488861508,1,48
