DateTime,Entries,UniqueIPs
1488269668,14943,14943
1488270506,14942,14942
1488271350,14902,14902
1488272883,14897,14897
1488273725,14898,14898
1488274833,14886,14886
1488275781,14887,14887
1488276634,14876,14876
1488278726,13409,13409
1488279569,12916,12916
1488280909,12869,12869
1488281940,12506,12506
1488283528,12001,12001
1488284435,12003,12003
1488285322,11714,11714
1488286308,11544,11544
1488287125,11268,11268
1488288028,11269,11269
1488288896,10920,10920
1488289951,10715,10715
1488291021,10380,10380
1488292436,9946,9946
1488293497,9736,9736
1488294323,9417,9417
1488296442,9348,9348
1488297925,9270,9270
1488298830,9271,9271
1488299716,9137,9137
1488300153,9052,9052
1488301537,9001,9001
1488302434,9003,9003
1488303643,8727,8727
1488304769,8599,8599
1488305662,8592,8592
1488306634,8244,8244
1488307711,8245,8245
1488308866,7856,7856
1488310613,7750,7750
1488311427,7749,7749
1488312592,7685,7685
1488314551,7601,7601
1488315930,7523,7523
1488316831,7523,7523
1488317687,7372,7372
1488318520,7353,7353
1488319427,7178,7178
1488320437,7180,7180
1488321319,7056,7056
1488322287,7055,7055
1488323131,6980,6980
1488324501,6981,6981
1488325532,6890,6890
1488326726,6833,6833
1488327632,6832,6832
1488329464,6744,6744
1488330478,6699,6699
1488331429,6699,6699
1488332446,6634,6634
1488334228,6551,6551
1488336159,6448,6448
1488338435,6400,6400
1488339320,6313,6313
1488339759,6287,6287
1488341427,6210,6210
1488342499,6211,6211
1488343355,6046,6046
1488344500,5959,5959
1488345328,5960,5960
1488346103,5960,5960
1488346956,5818,5818
1488348622,5719,5719
1488349519,5718,5718
1488350552,5589,5589
1488351923,5402,5402
1488353639,5275,5275
1488354659,5219,5219
1488355826,5107,5107
1488357629,4915,4915
1488359420,4801,4801
1488361355,4664,4664
1488362272,4668,4668
1488363258,4464,4464
1488364230,4314,4314
1488366302,4073,4073
1488367260,4077,4077
1488368120,3929,3929
1488369030,3840,3840
1488369925,3703,3703
1488370838,3705,3705
1488371906,3604,3604
1488373537,3395,3395
1488374063,3396,3396
1488374994,3243,3243
1488375824,3170,3170
1488376768,3054,3054
1488377727,3035,3035
1488378754,2952,2952
1488380124,2853,2853
1488381024,2745,2745
1488382102,2749,2749
1488382960,2480,2480
1488383967,2368,2368
1488384877,2365,2365
1488385836,2256,2256
1488387320,2174,2174
1488389305,2023,2023
1488390169,1711,1711
1488390987,1710,1710
1488391826,1494,1494
1488392899,1496,1496
1488393757,1219,1219
1488394732,1112,1112
1488395733,1106,1106
1488396631,998,998
1488397778,931,931
1488399032,768,768
1488400833,569,569
1488402625,417,417
1488403835,401,401
1488404700,403,403
1488405379,404,404
1488406230,397,397
1488408326,384,384
1488409544,382,382
1488410434,384,384
1488412519,383,383
1488413427,372,372
1488414631,372,372
1488417589,363,363
1488418988,363,363
1488419787,366,366
1488420626,365,365
1488421485,366,366
1488422433,364,364
1488423379,365,365
1488426158,355,355
1488427538,358,358
1488428436,361,361
1488429758,357,357
1488431127,354,354
1488432627,352,352
1488433368,352,352
1488435263,353,353
1488436229,351,351
1488438346,348,348
1488439239,349,349
1488440121,349,349
1488440573,348,348
1488441380,351,351
1488442228,350,350
1488444328,350,350
1488445267,351,351
1488446075,352,352
1488448351,352,352
1488449176,350,350
1488450036,351,351
1488451364,350,350
1488452743,349,349
1488453644,350,350
1488454966,352,352
1488456089,352,352
1488457825,350,350
1488458642,351,351
1488460232,347,347
1488462014,346,346
1488463440,348,348
1488467124,343,343
1488468038,346,346
1488469245,345,345
1488470128,348,348
1488471029,346,346
1488472192,344,344
1488473132,343,343
1488474630,343,343
1488475702,349,349
1488476644,345,345
1488478309,344,344
1488479123,345,345
1488480161,340,340
1488481556,339,339
1488482906,339,339
1488483930,335,335
1488484865,336,336
