DateTime,AddedIPs,RemovedIPs
1488324020,1,2
1488324496,2,1
1488325527,4,1
1488326722,4,1
1488327623,2,1
1488328095,1,0
1488329460,1,4
1488330473,2,1
1488331424,2,3
1488332436,2,4
1488332543,1,0
1488334224,3,7
1488335297,1,2
1488336149,5,4
1488338425,9,2
1488339315,2,3
1488339749,2,2
1488340574,1,1
1488341423,0,3
1488342495,2,2
1488343345,1,5
1488344491,6,1
1488345324,1,2
1488346099,0,4
1488346945,1,2
1488347775,1,0
1488348617,1,4
1488349515,3,3
1488350543,2,2
1488351919,3,4
1488352829,5,0
1488353634,2,1
1488354655,3,3
1488354975,0,2
1488355821,2,4
1488356780,2,1
1488357620,5,4
1488358506,2,1
1488359415,2,4
1488361345,3,7
1488362267,1,0
1488363242,3,4
1488364225,0,7
1488366298,4,7
1488367248,2,0
1488368116,3,6
1488369023,2,3
1488369920,3,3
1488370828,2,3
1488371902,2,4
1488373532,8,2
1488374058,2,0
1488374985,2,1
1488375820,1,3
1488376764,3,2
1488377723,4,3
1488378742,1,7
1488380120,4,2
1488381020,1,4
1488382097,1,3
1488382947,1,6
1488383955,4,1
1488384872,4,1
1488385830,2,2
1488387315,6,6
1488389300,5,3
1488390156,4,2
1488390983,2,1
1488391819,2,2
1488392895,2,2
1488393745,5,0
1488394727,4,3
1488395727,2,1
1488396625,2,1
1488397773,4,1
1488399027,0,3
1488400823,7,2
1488401782,1,2
1488402620,3,0
1488402858,1,0
1488403830,1,1
1488404696,1,1
1488405375,1,0
1488406225,1,2
1488408322,3,3
1488409532,10,3
1488410426,2,0
1488412515,4,5
1488413422,4,2
1488414627,1,3
1488415893,3,0
1488417585,1,5
1488418957,1,2
1488419780,1,0
1488420621,2,0
1488421481,2,0
1488422423,2,2
1488423375,0,3
1488424223,1,1
1488425222,1,0
1488426145,2,4
1488427532,2,2
1488429745,1,3
1488431123,1,1
1488432622,5,5
1488433354,2,3
1488435259,3,4
1488436224,0,9
1488437130,1,1
1488438338,1,12
1488439225,2,1
1488440116,1,3
1488441375,0,1
1488442224,0,4
1488444323,1,4
1488445255,5,3
1488446070,6,3
1488446898,10,1
1488448340,17,2
1488449162,8,4
1488450021,9,1
1488451348,6,2
1488452729,8,3
1488453633,6,1
1488454950,11,1
1488456074,9,5
1488456920,5,2
1488457813,5,4
1488458628,3,1
1488460227,6,3
1488461120,6,0
1488461912,6,2
1488462717,3,3
1488464151,7,2
1488465027,4,4
1488466138,8,1
1488467103,5,3
1488468022,3,0
1488469233,9,5
1488470124,6,3
1488471024,3,4
1488472188,6,2
1488473127,7,5
1488473779,4,2
1488474626,6,5
1488475696,5,1
1488476629,3,1
1488477471,3,2
1488478302,6,4
1488479118,6,3
1488480150,4,1
1488481540,6,4
1488482901,8,4
1488483925,5,2
1488484854,10,2
1488485723,3,1
