DateTime,Entries,UniqueIPs
1488301505,44966,44966
1488302405,45089,45089
1488303605,44670,44670
1488304737,44552,44552
1488305644,44698,44698
1488306605,44274,44274
1488307691,44463,44463
1488308850,44036,44036
1488309729,44164,44164
1488310594,43951,43951
1488311404,44019,44019
1488312576,43964,43964
1488314526,43927,43927
1488315904,43873,43873
1488316804,43997,43997
1488317599,43780,43780
1488318505,43821,43821
1488319400,43612,43612
1488320409,43804,43804
1488321305,43643,43643
1488322268,43794,43794
1488323108,43647,43647
1488324005,43769,43769
1488324485,43847,43847
1488325504,43608,43608
1488326704,43596,43596
1488327605,43722,43722
1488328084,43790,43790
1488329449,43600,43600
1488330463,43502,43502
1488331413,43625,43625
1488332410,43471,43471
1488332527,43486,43486
1488334204,43383,43383
1488335285,43556,43556
1488336132,43262,43262
1488338405,43447,43447
1488339304,43322,43322
1488339726,43297,43297
1488340564,43399,43399
1488341405,43298,43298
1488342484,43486,43486
1488343325,43166,43166
1488344467,43094,43094
1488345304,43227,43227
1488346084,43326,43326
1488346925,43028,43028
1488347764,43126,43126
1488348605,42978,42978
1488349504,43057,43057
1488350527,42854,42854
1488351904,42642,42642
1488352805,42770,42770
1488353623,42526,42526
1488354641,42548,42548
1488354965,42600,42600
1488355804,42460,42460
1488356757,42592,42592
1488357606,42251,42251
1488358496,42395,42395
1488359405,42270,42270
1488361326,42149,42149
1488362257,42300,42300
1488363231,41975,41975
1488364209,41680,41680
1488366287,41543,41543
1488367229,41671,41671
1488368104,41399,41399
1488369001,41319,41319
1488369904,41153,41153
1488370806,41285,41285
1488371891,41096,41096
1488373520,40838,40838
1488374045,40915,40915
1488374968,40688,40688
1488375809,40681,40681
1488376748,40594,40594
1488377704,40731,40731
1488378720,40599,40599
1488380105,40738,40738
1488381005,40653,40653
1488382084,40875,40875
1488382927,40486,40486
1488383935,40485,40485
1488384857,40645,40645
1488385810,40466,40466
1488387305,40555,40555
1488389284,40574,40574
1488390132,40103,40103
1488390964,40230,40230
1488391797,40001,40001
1488392884,40200,40200
1488393727,39765,39765
1488394716,39647,39647
1488395706,39765,39765
1488396503,39889,39889
1488397761,39597,39597
1488399010,39464,39464
1488400804,39253,39253
1488401764,39392,39392
1488402604,39203,39203
1488402844,39228,39228
1488403805,39154,39154
