DateTime,AddedIPs,RemovedIPs
1488316821,15,8
1488317616,12,13
1488318515,11,18
1488319418,18,12
1488320427,18,1
1488321314,17,11
1488322282,11,10
1488323126,10,15
1488324019,11,12
1488324495,12,3
1488325527,23,16
1488326721,12,8
1488327621,15,10
1488328094,10,4
1488329459,21,29
1488330473,20,18
1488331423,18,9
1488332434,23,11
1488332542,1,4
1488334223,29,24
1488335296,14,7
1488336147,13,21
1488338424,35,14
1488339315,13,13
1488339747,3,4
1488340573,12,5
1488341422,9,11
1488342494,18,2
1488343344,8,25
1488344490,19,14
1488345323,13,3
1488346098,13,4
1488346944,6,18
1488347774,14,2
1488348617,15,12
1488349514,7,3
1488350542,16,20
1488351918,18,17
1488352827,21,4
1488353633,9,12
1488354652,22,6
1488354975,6,2
1488355820,12,11
1488356778,22,3
1488357619,15,22
1488358505,13,4
1488359415,18,14
1488361343,31,24
1488362267,25,3
1488363242,18,22
1488364224,20,19
1488366297,42,16
1488367246,12,7
1488368115,15,22
1488369022,12,15
1488369920,20,18
1488370828,21,8
1488371902,29,24
1488373531,24,25
1488374057,13,2
1488374984,18,21
1488375819,12,11
1488376763,14,20
1488377722,19,7
1488378742,18,20
1488380119,24,11
1488381019,21,25
1488382096,19,7
1488382945,13,30
1488383952,19,12
1488384871,21,5
1488385829,15,20
1488387315,26,15
1488389299,35,21
1488390154,12,41
1488390982,15,6
1488391818,15,16
1488392894,14,8
1488393743,18,22
1488394727,9,19
1488395724,5,7
1488396624,17,30
1488397772,16,16
1488399026,22,15
1488400822,32,35
1488401782,13,2
1488402619,14,13
1488402857,3,1
1488403829,9,21
1488404695,17,13
1488405374,12,2
1488406225,9,16
1488408320,28,26
1488409530,22,22
1488410425,13,6
1488412514,22,27
1488413422,11,14
1488414626,11,25
1488415892,10,12
1488417584,25,21
1488418955,16,21
1488419779,9,4
1488420620,13,13
1488421480,11,7
1488422421,11,23
1488423374,14,2
1488424223,18,16
1488425221,11,4
1488426143,15,16
1488427530,11,15
1488428426,10,7
1488429742,17,19
1488431122,19,12
1488432621,13,16
1488433352,17,7
1488435258,19,15
1488436223,22,22
1488437129,24,4
1488438336,13,11
1488439223,9,4
1488440115,6,26
1488440558,6,11
1488441375,9,3
1488442223,16,13
1488444323,37,27
1488445252,12,19
1488446069,22,3
1488446897,12,8
1488448339,34,26
1488449161,20,23
1488450022,9,4
1488451347,90,31
1488452726,192,34
1488453628,110,5
1488454946,212,32
1488456068,72,33
1488456920,55,6
1488457810,51,28
1488458627,33,6
1488460226,89,28
1488461119,46,8
1488461912,44,31
1488462716,44,9
1488464151,85,28
1488465026,38,26
1488466137,65,9
1488467100,50,24
1488468020,49,6
1488469230,61,41
1488470123,41,7
1488471024,58,20
1488472187,56,21
1488473126,50,13
1488473778,36,6
1488474625,42,22
1488475696,47,9
1488476626,38,26
1488477470,50,15
1488478301,37,18
1488479117,40,5
1488480149,37,22
1488481538,55,23
1488482900,44,9
1488483924,42,34
1488484851,25,19
1488485722,32,4
1488487366,55,25
1488488216,27,12
1488489322,30,28
1488490943,55,37
1488491857,32,4
1488492853,18,12
1488493821,23,31
1488494540,21,7
1488495373,12,3
1488497300,46,20
1488498318,18,43
1488499267,16,16
1488501019,27,23
1488501880,28,8
1488502682,25,7
1488503719,18,20
1488504618,11,16
1488506724,50,21
1488507642,23,9
1488508826,32,39
1488510327,53,13
1488510857,18,6
1488511823,39,24
1488513673,66,24
1488515423,70,24
1488516872,59,9
1488517815,42,18
1488519745,102,39
1488521126,62,27
1488522019,50,11
1488524034,100,50
1488525318,80,19
1488526930,99,37
1488528324,59,43
1488529223,47,2
1488530425,58,36
1488531674,57,36
1488532466,30,4
1488533433,35,25
1488534150,23,15
1488534982,28,4
1488535817,28,20
1488536059,7,4
1488537020,31,22
1488537743,33,4
1488539669,59,29
1488541229,49,31
1488542097,35,6
1488543125,29,29
1488544232,41,31
1488546321,74,29
1488546858,23,3
1488547697,31,13
1488549668,63,54
1488550456,14,5
1488551394,30,29
1488552460,27,15
1488553320,21,23
1488554120,24,3
1488555379,49,31
1488556219,19,3
1488557127,33,24
1488558021,19,8
1488558915,27,23
1488559342,14,0
1488560728,48,25
1488561620,32,9
1488562829,24,30
1488563721,31,9
1488564621,30,12
1488564856,11,2
1488565816,32,22
1488566725,25,11
1488567578,21,18
1488568529,27,7
1488569295,26,9
1488570238,16,39
1488571268,27,16
1488572117,26,1
1488573018,19,22
1488573916,19,0
1488575322,26,21
1488576148,22,5
1488577305,19,19
1488580940,71,47
1488581906,12,13
1488582856,22,7
1488583821,18,17
1488584773,16,7
1488585645,12,11
1488587108,28,2
1488588019,23,28
1488588988,14,5
1488589822,19,13
1488590877,30,4
1488591925,16,18
1488592850,17,20
1488593720,10,6
1488594497,18,4
1488596277,29,28
1488597325,18,16
1488598223,9,15
1488599124,16,8
1488599773,9,8
1488600622,19,13
1488602723,42,27
1488604527,33,10
1488605421,15,27
1488606143,17,15
1488608056,45,15
1488609020,17,13
1488609932,16,6
1488611130,34,19
1488611659,7,1
1488612494,20,3
1488613338,11,30
1488614724,25,23
1488615617,9,4
1488616820,15,27
1488617717,9,4
1488618620,8,34
1488619695,16,6
1488620566,15,50
1488622428,18,105
1488623424,18,223
1488625669,28,164
1488627620,27,111
1488628575,16,3
1488629419,11,51
1488629660,7,3
1488630627,8,88
1488631343,8,37
1488632452,11,54
1488633322,17,5
