DateTime,Entries,UniqueIPs
1488339315,1962,1962
1488339747,1961,1961
1488340573,1968,1968
1488341422,1966,1966
1488342494,1982,1982
1488343344,1965,1965
1488344490,1970,1970
1488345323,1980,1980
1488346098,1989,1989
1488346944,1977,1977
1488347774,1989,1989
1488348617,1992,1992
1488349514,1996,1996
1488350542,1992,1992
1488351918,1993,1993
1488352827,2010,2010
1488353633,2007,2007
1488354652,2023,2023
1488354975,2027,2027
1488355820,2028,2028
1488356778,2047,2047
1488357619,2040,2040
1488358505,2049,2049
1488359415,2053,2053
1488361343,2060,2060
1488362267,2082,2082
1488363242,2078,2078
1488364224,2079,2079
1488366297,2105,2105
1488367246,2110,2110
1488368115,2103,2103
1488369022,2100,2100
1488369920,2102,2102
1488370828,2115,2115
1488371902,2120,2120
1488373531,2119,2119
1488374057,2130,2130
1488374984,2127,2127
1488375819,2128,2128
1488376763,2122,2122
1488377722,2134,2134
1488378742,2132,2132
1488380119,2145,2145
1488381019,2141,2141
1488382096,2153,2153
1488382945,2136,2136
1488383952,2143,2143
1488384871,2159,2159
1488385829,2154,2154
1488387315,2165,2165
1488389299,2179,2179
1488390154,2150,2150
1488390982,2159,2159
1488391818,2158,2158
1488392894,2164,2164
1488393743,2160,2160
1488394727,2150,2150
1488395724,2148,2148
1488396624,2135,2135
1488397772,2135,2135
1488399026,2142,2142
1488400822,2139,2139
1488401782,2150,2150
1488402619,2151,2151
1488402857,2153,2153
1488403829,2141,2141
1488404695,2145,2145
1488405374,2155,2155
1488406225,2148,2148
1488408320,2150,2150
1488409530,2150,2150
1488410425,2157,2157
1488412514,2152,2152
1488413422,2149,2149
1488414626,2135,2135
1488415892,2133,2133
1488417584,2137,2137
1488418955,2132,2132
1488419779,2137,2137
1488420620,2137,2137
1488421480,2141,2141
1488422421,2129,2129
1488423374,2141,2141
1488424223,2143,2143
1488425221,2150,2150
1488426143,2149,2149
1488427530,2145,2145
1488428426,2148,2148
1488429742,2146,2146
1488431122,2153,2153
1488432621,2150,2150
1488433352,2160,2160
1488435258,2164,2164
1488436223,2164,2164
1488437129,2184,2184
1488438336,2186,2186
1488439223,2191,2191
1488440115,2171,2171
1488440558,2166,2166
1488441375,2172,2172
1488442223,2175,2175
1488444323,2185,2185
1488445252,2178,2178
1488446069,2197,2197
1488446897,2201,2201
1488448339,2209,2209
1488449161,2206,2206
1488450022,2211,2211
1488451347,2270,2270
1488452726,2428,2428
1488453628,2533,2533
1488454946,2713,2713
1488456068,2752,2752
1488456920,2801,2801
1488457810,2824,2824
1488458627,2851,2851
1488460226,2912,2912
1488461119,2950,2950
1488461912,2963,2963
1488462716,2998,2998
1488464151,3055,3055
1488465026,3067,3067
1488466137,3123,3123
1488467100,3149,3149
1488468020,3192,3192
1488469230,3212,3212
1488470123,3246,3246
1488471024,3284,3284
1488472187,3319,3319
1488473126,3356,3356
1488473778,3386,3386
1488474625,3406,3406
1488475696,3444,3444
1488476626,3456,3456
1488477470,3491,3491
1488478301,3510,3510
1488479117,3545,3545
1488480149,3560,3560
1488481538,3592,3592
1488482900,3627,3627
1488483924,3635,3635
1488484851,3641,3641
1488485722,3669,3669
1488487366,3699,3699
1488488216,3714,3714
1488489322,3716,3716
1488490943,3734,3734
1488491857,3762,3762
1488492853,3768,3768
1488493821,3760,3760
1488494540,3774,3774
1488495373,3783,3783
1488497300,3809,3809
1488498318,3784,3784
1488499267,3784,3784
1488501019,3788,3788
1488501880,3808,3808
1488502682,3826,3826
1488503719,3824,3824
1488504618,3819,3819
1488506724,3848,3848
1488507642,3862,3862
1488508826,3855,3855
1488510327,3895,3895
1488510857,3907,3907
1488511823,3922,3922
1488513673,3964,3964
1488515423,4010,4010
1488516872,4060,4060
1488517815,4084,4084
1488519745,4147,4147
1488521126,4182,4182
1488522019,4221,4221
1488524034,4271,4271
1488525318,4332,4332
1488526930,4394,4394
1488528324,4410,4410
1488529223,4455,4455
1488530425,4477,4477
1488531674,4498,4498
1488532466,4524,4524
1488533433,4534,4534
1488534150,4542,4542
1488534982,4566,4566
1488535817,4574,4574
1488536059,4577,4577
1488537020,4586,4586
1488537743,4615,4615
1488539669,4645,4645
1488541229,4663,4663
1488542097,4692,4692
1488543125,4692,4692
1488544232,4702,4702
1488546321,4747,4747
1488546858,4767,4767
1488547697,4785,4785
1488549668,4794,4794
1488550456,4803,4803
1488551394,4804,4804
1488552460,4816,4816
1488553320,4814,4814
1488554120,4835,4835
1488555379,4853,4853
1488556219,4869,4869
1488557127,4878,4878
1488558021,4889,4889
1488558915,4893,4893
1488559342,4907,4907
1488560728,4930,4930
1488561620,4953,4953
1488562829,4947,4947
1488563721,4969,4969
1488564621,4987,4987
1488564856,4996,4996
1488565816,5006,5006
1488566725,5020,5020
1488567578,5023,5023
1488568529,5043,5043
1488569295,5060,5060
1488570238,5037,5037
1488571268,5048,5048
1488572117,5073,5073
1488573018,5070,5070
1488573916,5089,5089
1488575322,5094,5094
1488576148,5111,5111
1488577305,5111,5111
1488580940,5135,5135
1488581906,5134,5134
1488582856,5149,5149
1488583821,5150,5150
1488584773,5159,5159
1488585645,5160,5160
1488587108,5186,5186
1488588019,5181,5181
1488588988,5190,5190
1488589822,5196,5196
1488590877,5222,5222
1488591925,5220,5220
1488592850,5217,5217
1488593720,5221,5221
1488594497,5235,5235
1488596277,5236,5236
1488597325,5238,5238
1488598223,5232,5232
1488599124,5240,5240
1488599773,5241,5241
1488600622,5247,5247
1488602723,5262,5262
1488604527,5285,5285
1488605421,5273,5273
1488606143,5275,5275
1488608056,5305,5305
1488609020,5309,5309
1488609932,5319,5319
1488611130,5334,5334
1488611659,5340,5340
1488612494,5357,5357
1488613338,5338,5338
1488614724,5340,5340
1488615617,5345,5345
1488616820,5333,5333
1488617717,5338,5338
1488618620,5312,5312
1488619695,5322,5322
1488620566,5287,5287
1488622428,5200,5200
1488623424,4995,4995
1488625669,4859,4859
1488627620,4775,4775
1488628575,4788,4788
1488629419,4748,4748
1488629660,4752,4752
1488630627,4672,4672
1488631343,4643,4643
1488632452,4600,4600
1488633322,4612,4612
1488634228,4555,4555
1488634945,4534,4534
1488636327,4484,4484
1488637222,4492,4492
1488638059,4412,4412
1488638542,4387,4387
1488640063,4339,4339
1488641868,4279,4279
1488642662,4262,4262
1488644124,4235,4235
1488645235,4199,4199
1488646268,4192,4192
1488647130,4157,4157
1488648026,4157,4157
1488648498,4158,4158
1488649530,4078,4078
1488650725,4058,4058
1488652095,4061,4061
1488653126,4007,4007
1488654327,3976,3976
1488655231,3982,3982
1488656419,3916,3916
1488657314,3921,3921
1488660148,3857,3857
1488660978,3872,3872
1488661821,3825,3825
1488662060,3830,3830
1488663030,3813,3813
1488663745,3821,3821
1488664757,3786,3786
1488665723,3791,3791
1488666583,3767,3767
1488667347,3766,3766
1488668469,3768,3768
1488669272,3776,3776
1488670229,3761,3761
1488671126,3760,3760
1488672123,3737,3737
1488672856,3745,3745
1488673697,3755,3755
1488674554,3747,3747
1488675926,3725,3725
1488676825,3728,3728
1488678149,3692,3692
1488679523,3674,3674
1488680426,3688,3688
1488681316,3653,3653
1488681748,3643,3643
1488683128,3610,3610
1488684030,3620,3620
1488684915,3573,3573
1488686121,3589,3589
1488687018,3534,3534
1488688095,3543,3543
1488690703,3410,3410
1488692425,3352,3352
1488693375,3360,3360
1488694217,3300,3300
1488695422,3199,3199
1488696824,3180,3180
1488697820,3128,3128
1488699028,3050,3050
1488699750,3063,3063
1488701126,2989,2989
1488702022,2996,2996
1488702918,2935,2935
1488704987,2892,2892
1488706948,2842,2842
1488708856,2826,2826
1488709826,2798,2798
1488710545,2786,2786
1488711375,2793,2793
1488712218,2760,2760
1488713298,2768,2768
1488714151,2704,2704
1488714975,2710,2710
1488715821,2686,2686
1488716898,2698,2698
1488717926,2639,2639
1488718986,2583,2583
1488719967,2593,2593
1488721533,2546,2546
1488722368,2526,2526
1488723259,2531,2531
1488724223,2490,2490
1488724950,2465,2465
1488726333,2441,2441
1488727223,2455,2455
1488728548,2434,2434
1488729460,2448,2448
1488730527,2415,2415
1488732555,2358,2358
1488733528,2331,2331
1488734426,2349,2349
1488734897,2354,2354
1488735926,2313,2313
1488737125,2280,2280
1488738023,2287,2287
1488739002,2245,2245
1488739347,2252,2252
1488741259,2229,2229
1488742227,2201,2201
1488742954,2203,2203
1488743945,2188,2188
1488744920,2192,2192
1488745824,2163,2163
1488746731,2166,2166
1488747569,2161,2161
1488748527,2168,2168
1488749430,2133,2133
1488750157,2119,2119
1488750983,2130,2130
1488752420,2124,2124
1488753820,2098,2098
1488755329,2086,2086
1488756394,2093,2093
1488757355,2063,2063
1488758396,2050,2050
1488759262,2059,2059
1488760824,2025,2025
1488761774,2023,2023
1488762621,2012,2012
1488763660,2012,2012
1488764726,1994,1994
1488765992,1984,1984
1488768321,1980,1980
1488769521,1962,1962
1488770360,1960,1960
1488770905,1965,1965
1488771742,1932,1932
1488773654,1919,1919
1488774626,1894,1894
1488775523,1883,1883
1488776182,1882,1882
1488777021,1869,1869
1488778190,1840,1840
1488779122,1837,1837
1488780319,1827,1827
1488781223,1832,1832
1488782352,1802,1802
1488783393,1810,1810
1488784218,1787,1787
1488785297,1794,1794
1488786319,1786,1786
1488787305,1771,1771
1488788445,1786,1786
1488789325,1774,1774
1488790459,1784,1784
1488791726,1779,1779
1488792629,1772,1772
1488793531,1781,1781
1488794182,1788,1788
1488795020,1786,1786
1488796220,1784,1784
1488797685,1793,1793
1488798647,1778,1778
1488799453,1779,1779
1488800544,1773,1773
1488802219,1777,1777
1488803925,1760,1760
1488805517,1753,1753
1488806423,1758,1758
1488807629,1744,1744
1488808579,1755,1755
1488810624,1743,1743
1488811521,1739,1739
1488812365,1734,1734
1488813266,1746,1746
1488814225,1741,1741
1488815127,1745,1745
1488816048,1732,1732
1488816856,1740,1740
1488817823,1745,1745
1488818537,1745,1745
1488819390,1752,1752
1488820221,1740,1740
1488821432,1743,1743
1488822573,1753,1753
1488823526,1743,1743
1488825176,1755,1755
1488825737,1762,1762
1488826771,1762,1762
1488827726,1766,1766
1488828631,1763,1763
1488829348,1768,1768
1488830624,1760,1760
1488831622,1768,1768
1488832104,1773,1773
1488833125,1754,1754
1488834327,1763,1763
1488834873,1773,1773
1488835827,1770,1770
1488836972,1785,1785
1488837915,1780,1780
1488839328,1790,1790
1488840319,1787,1787
1488841964,1793,1793
1488843747,1783,1783
1488844572,1792,1792
1488845420,1790,1790
1488846495,1801,1801
1488847521,1802,1802
1488848553,1803,1803
1488849916,1827,1827
1488850825,1815,1815
1488851786,1815,1815
1488852624,1819,1819
1488853643,1835,1835
1488854726,1832,1832
1488855375,1843,1843
1488856457,1833,1833
1488857299,1839,1839
1488859604,1833,1833
1488860422,1838,1838
1488861503,1827,1827
1488862870,1829,1829
1488864101,1842,1842
1488865225,1844,1844
1488865341,1845,1845
1488866719,1830,1830
1488867611,1841,1841
1488868094,1841,1841
1488869261,1820,1820
