DateTime,AddedIPs,RemovedIPs
1488324492,37,2
1488325518,61,71
1488326714,81,22
1488327614,50,1
1488328090,26,1
1488329456,76,76
1488330469,35,43
1488331420,53,0
1488332427,30,49
1488332536,6,0
1488334217,60,58
1488335292,59,2
1488336141,49,58
1488338418,123,35
1488339311,46,50
1488339739,20,12
1488340570,31,2
1488341419,32,45
1488342491,54,0
1488343337,56,71
1488344483,62,27
1488345319,52,3
1488346095,43,1
1488346937,40,45
1488347771,35,3
1488348613,39,43
1488349511,15,1
1488350536,35,49
1488351913,45,60
1488352820,41,1
1488353630,28,55
1488354648,53,22
1488354971,19,1
1488355817,41,36
1488356767,46,4
1488357615,32,56
1488358502,37,1
1488359411,32,28
1488361335,61,45
1488362263,41,2
1488363238,55,68
1488364220,45,42
1488366294,104,52
1488367239,48,1
1488368111,38,57
1488369015,27,38
1488369916,42,59
1488370820,42,0
1488371897,44,59
1488373528,48,83
1488374053,18,1
1488374978,43,56
1488375816,51,27
1488376760,77,44
1488377717,68,6
1488378736,54,56
1488380114,131,27
1488381012,71,55
1488382092,98,1
1488382938,72,74
1488383942,66,38
1488384867,59,3
1488385821,45,54
1488387311,71,25
1488389294,113,40
1488390146,34,89
1488390977,50,2
1488391810,80,44
1488392891,89,7
1488393737,46,82
1488394723,28,40
1488395717,43,4
1488396620,44,58
1488397769,47,20
1488399022,55,36
1488400816,85,65
1488401776,48,2
1488402612,45,26
1488402853,10,1
1488403818,47,46
1488404692,42,20
1488405371,23,0
1488406219,34,30
1488408310,113,63
1488409523,54,46
1488410417,45,2
1488412511,98,49
1488413418,35,37
1488414623,46,53
1488415889,45,1
1488417581,64,43
1488418948,78,73
1488419774,35,1
1488420612,27,23
1488421477,43,0
1488422415,50,64
1488423371,45,1
1488424219,44,31
1488425218,70,0
1488426136,56,56
1488427523,60,33
1488428419,59,0
1488429735,72,72
1488431116,65,37
1488432615,83,28
1488433344,54,10
1488435253,115,30
1488436220,96,46
1488437124,61,19
1488438329,79,43
1488439216,62,1
1488440111,50,52
1488440542,15,24
1488441371,48,0
1488442220,58,42
1488444315,155,77
1488445244,45,94
1488446059,91,1
1488446892,64,1
1488448335,115,181
1488449158,98,71
1488450006,120,3
1488451341,162,97
1488452720,364,130
1488453622,199,0
1488454938,269,126
1488456061,170,93
1488456912,135,1
1488457806,151,99
1488458620,101,0
1488460221,168,136
1488461112,118,8
1488461908,104,65
1488462712,126,21
1488464146,147,51
1488465023,70,67
1488466134,110,2
1488467092,94,88
1488468017,93,2
1488469224,128,107
1488470115,82,3
1488471020,97,38
1488472182,116,55
1488473116,88,24
1488473775,49,5
1488474621,58,52
1488475692,66,5
1488476618,103,91
1488477467,106,2
1488478298,76,63
1488479114,79,4
1488480141,73,82
1488481530,83,48
1488482896,101,5
1488483921,81,74
1488484843,53,31
1488485717,46,3
1488487360,94,55
1488488212,57,3
1488489317,74,90
1488490938,90,135
1488491854,56,0
1488492849,71,41
1488493814,38,91
1488494535,35,0
1488495370,29,0
1488497294,106,95
1488498312,42,136
1488499263,40,46
1488501015,57,68
1488501877,37,24
1488502679,50,0
1488503713,53,57
1488504612,44,93
1488506716,77,121
1488507634,44,1
1488508816,73,211
1488510320,111,84
1488510853,34,0
1488511817,62,144
1488513665,140,182
1488515419,140,134
1488516869,114,20
1488517812,84,55
1488519741,179,73
1488521116,146,49
1488522013,105,1
1488524030,164,98
1488525313,101,56
1488526925,189,60
1488528316,122,75
1488529219,97,0
1488530417,142,73
1488531664,128,80
1488532455,84,0
1488533427,69,84
1488534146,56,26
1488534976,66,0
1488535813,86,56
1488536055,19,0
1488537014,128,76
1488537736,74,0
1488539662,116,58
1488541220,131,70
1488542094,86,1
1488543121,79,75
1488544229,86,90
1488546314,218,130
1488546854,54,1
1488547693,76,1
1488549663,159,241
1488550452,64,0
1488551391,99,168
1488552457,123,60
1488553313,57,104
1488554114,60,0
1488555370,128,89
1488556210,54,0
1488557119,95,108
1488558017,56,0
1488558911,79,109
1488559336,30,0
1488560721,105,111
1488561614,70,0
1488562822,80,119
1488563716,66,1
1488564616,74,35
1488564852,17,0
1488565813,90,69
1488566718,73,24
1488567575,57,37
1488568524,58,3
1488569292,46,3
1488570232,47,100
1488571265,59,57
1488572113,57,1
1488573012,50,74
1488573911,63,1
1488575319,66,91
1488576143,43,1
1488577296,48,79
1488580936,168,226
1488581881,38,0
1488582853,68,61
1488583815,45,60
1488584769,40,17
1488585642,36,44
1488587104,62,1
1488588015,46,106
1488588985,40,0
1488589819,45,55
1488590873,68,0
1488591920,42,88
1488592844,52,53
1488593714,40,0
1488594493,58,0
1488596274,74,182
1488597320,62,74
1488598217,47,91
1488599118,40,25
1488599770,27,1
1488600617,66,53
1488602714,107,100
1488604522,93,56
1488605415,42,101
1488606136,20,40
1488608052,99,54
1488609014,71,84
1488609925,27,18
1488611121,49,58
1488611655,16,0
1488612491,37,1
1488613333,37,133
1488614719,99,65
1488615613,58,2
1488616814,73,135
1488617714,54,0
1488618614,73,137
1488619692,44,1
1488620558,48,239
1488622425,126,223
1488623420,77,365
1488625665,89,315
1488627615,103,327
1488628571,49,0
1488629415,45,126
1488629654,13,1
1488630620,50,238
1488631338,56,93
1488632448,96,148
1488633315,83,0
1488634225,103,141
1488634940,84,59
1488636321,150,120
1488637215,83,0
1488638052,87,179
1488638538,59,51
1488640059,178,125
1488641865,228,174
1488642659,82,41
1488644121,147,87
1488645232,92,100
1488646259,56,49
1488647120,38,132
1488648015,28,1
1488648495,23,0
1488649523,47,191
1488650720,78,70
1488652091,59,0
1488653119,48,170
1488654320,44,73
1488655223,24,2
1488656413,52,129
1488657311,39,2
1488660139,103,210
1488660974,48,0
1488661816,26,117
1488662056,14,0
1488663023,42,88
1488663740,38,1
1488664753,34,79
1488665717,38,5
1488666580,30,90
1488667337,39,26
1488668460,36,55
1488669269,22,0
1488670223,31,47
1488671118,35,24
1488672116,45,63
1488672852,38,1
1488673693,48,2
1488674547,36,86
1488675918,60,72
1488676815,38,0
1488678142,59,112
1488679513,72,89
1488680416,47,0
1488681312,38,93
1488681737,15,37
1488683120,56,92
1488684020,51,0
1488684912,51,120
1488686117,74,3
1488687014,33,133
1488688092,42,2
1488690699,102,334
1488692416,114,208
1488693371,56,1
1488694214,19,100
1488695416,55,189
1488696820,44,70
1488697817,32,129
1488699022,64,215
1488699736,33,1
1488701117,65,197
1488702014,44,0
1488702912,34,160
1488704983,81,185
1488706942,90,262
1488708852,106,80
1488709820,43,130
1488710537,34,62
1488711371,22,1
1488712214,29,120
1488713292,51,0
1488714144,38,168
1488714971,67,1
1488715817,47,145
1488716891,44,0
1488717922,42,184
1488718979,59,169
1488719963,59,0
1488721525,91,244
1488722362,43,90
1488723255,55,5
1488724216,63,161
1488724945,34,60
1488726324,81,105
1488727218,91,1
1488728538,91,126
1488729456,75,3
1488730521,48,134
1488732552,107,189
1488733523,67,99
1488734416,46,0
1488734892,27,1
1488735921,48,146
1488737118,54,118
1488738015,34,0
1488738998,40,108
1488739338,13,0
1488741254,87,116
1488742217,35,113
1488742947,26,0
1488743941,45,100
1488744915,32,10
1488745816,41,73
1488746723,32,28
1488747566,40,52
1488748517,33,4
1488749418,39,111
1488750144,22,28
1488750978,30,0
1488752415,72,55
1488753812,69,108
1488755326,72,80
1488756387,38,2
1488757345,39,92
1488758393,32,50
1488759256,25,7
1488760819,40,140
1488761771,32,1
1488762618,24,77
1488763656,43,0
1488764720,46,106
1488765988,86,84
1488768317,130,100
1488769517,42,130
1488770356,34,3
1488770899,32,0
1488771736,72,124
1488773651,104,68
1488774623,59,82
1488775517,27,34
1488776178,36,0
1488777018,42,71
1488778186,41,124
1488779114,65,15
1488780316,74,56
1488781217,52,2
1488782342,51,64
1488783390,54,0
1488784214,35,138
1488785291,45,4
1488786315,38,108
1488787297,56,137
1488788441,41,3
1488789319,64,76
1488790451,91,3
1488791713,81,139
1488792622,61,113
1488793522,37,1
1488794176,27,1
1488795015,44,71
1488796216,89,62
1488797681,96,42
1488798640,40,70
1488799443,43,1
1488800536,56,128
1488802216,61,99
1488803921,88,159
1488805514,119,196
1488806415,56,0
1488807624,56,232
1488808576,61,0
1488810618,121,343
1488811515,58,73
1488812362,39,120
1488813262,59,11
1488814216,69,165
1488815121,62,0
1488816042,55,94
1488816852,46,0
1488817817,51,72
1488818534,19,25
1488819386,44,4
1488820217,31,88
1488821429,68,79
1488822569,72,6
1488823518,44,99
1488825169,93,52
1488825733,33,4
1488826767,65,62
1488827719,46,6
1488828624,34,51
1488829343,34,1
1488830621,96,88
1488831617,75,14
1488832099,55,3
1488833116,138,96
