DateTime,Entries,UniqueIPs
1488324014,16103,16103
1488324492,16138,16138
1488325518,16128,16128
1488326714,16187,16187
1488327614,16236,16236
1488328090,16261,16261
1488329456,16261,16261
1488330469,16253,16253
1488331420,16306,16306
1488332427,16287,16287
1488332536,16293,16293
1488334217,16295,16295
1488335292,16352,16352
1488336141,16343,16343
1488338418,16431,16431
1488339311,16427,16427
1488339739,16435,16435
1488340570,16464,16464
1488341419,16451,16451
1488342491,16505,16505
1488343337,16490,16490
1488344483,16525,16525
1488345319,16574,16574
1488346095,16616,16616
1488346937,16611,16611
1488347771,16643,16643
1488348613,16639,16639
1488349511,16653,16653
1488350536,16639,16639
1488351913,16624,16624
1488352820,16664,16664
1488353630,16637,16637
1488354648,16668,16668
1488354971,16686,16686
1488355817,16691,16691
1488356767,16733,16733
1488357615,16709,16709
1488358502,16745,16745
1488359411,16749,16749
1488361335,16765,16765
1488362263,16804,16804
1488363238,16791,16791
1488364220,16794,16794
1488366294,16846,16846
1488367239,16893,16893
1488368111,16874,16874
1488369015,16863,16863
1488369916,16846,16846
1488370820,16888,16888
1488371897,16873,16873
1488373528,16838,16838
1488374053,16855,16855
1488374978,16842,16842
1488375816,16866,16866
1488376760,16899,16899
1488377717,16961,16961
1488378736,16959,16959
1488380114,17063,17063
1488381012,17079,17079
1488382092,17176,17176
1488382938,17174,17174
1488383942,17202,17202
1488384867,17258,17258
1488385821,17249,17249
1488387311,17295,17295
1488389294,17368,17368
1488390146,17313,17313
1488390977,17361,17361
1488391810,17397,17397
1488392891,17479,17479
1488393737,17443,17443
1488394723,17431,17431
1488395717,17470,17470
1488396620,17456,17456
1488397769,17483,17483
1488399022,17502,17502
1488400816,17522,17522
1488401776,17568,17568
1488402612,17587,17587
1488402853,17596,17596
1488403818,17597,17597
1488404692,17619,17619
1488405371,17642,17642
1488406219,17646,17646
1488408310,17696,17696
1488409523,17704,17704
1488410417,17747,17747
1488412511,17796,17796
1488413418,17794,17794
1488414623,17787,17787
1488415889,17831,17831
1488417581,17852,17852
1488418948,17857,17857
1488419774,17891,17891
1488420612,17895,17895
1488421477,17938,17938
1488422415,17924,17924
1488423371,17968,17968
1488424219,17981,17981
1488425218,18051,18051
1488426136,18051,18051
1488427523,18078,18078
1488428419,18137,18137
1488429735,18137,18137
1488431116,18165,18165
1488432615,18220,18220
1488433344,18264,18264
1488435253,18349,18349
1488436220,18399,18399
1488437124,18441,18441
1488438329,18477,18477
1488439216,18538,18538
1488440111,18536,18536
1488440542,18527,18527
1488441371,18575,18575
1488442220,18591,18591
1488444315,18669,18669
1488445244,18620,18620
1488446059,18710,18710
1488446892,18773,18773
1488448335,18707,18707
1488449158,18734,18734
1488450006,18851,18851
1488451341,18916,18916
1488452720,19150,19150
1488453622,19349,19349
1488454938,19492,19492
1488456061,19569,19569
1488456912,19703,19703
1488457806,19755,19755
1488458620,19856,19856
1488460221,19888,19888
1488461112,19998,19998
1488461908,20037,20037
1488462712,20142,20142
1488464146,20238,20238
1488465023,20241,20241
1488466134,20349,20349
1488467092,20355,20355
1488468017,20446,20446
1488469224,20467,20467
1488470115,20546,20546
1488471020,20605,20605
1488472182,20666,20666
1488473116,20730,20730
1488473775,20774,20774
1488474621,20780,20780
1488475692,20841,20841
1488476618,20853,20853
1488477467,20957,20957
1488478298,20970,20970
1488479114,21045,21045
1488480141,21036,21036
1488481530,21071,21071
1488482896,21167,21167
1488483921,21174,21174
1488484843,21196,21196
1488485717,21239,21239
1488487360,21278,21278
1488488212,21332,21332
1488489317,21316,21316
1488490938,21271,21271
1488491854,21327,21327
1488492849,21357,21357
1488493814,21304,21304
1488494535,21339,21339
1488495370,21368,21368
1488497294,21379,21379
1488498312,21285,21285
1488499263,21279,21279
1488501015,21268,21268
1488501877,21281,21281
1488502679,21331,21331
1488503713,21327,21327
1488504612,21278,21278
1488506716,21234,21234
1488507634,21277,21277
1488508816,21139,21139
1488510320,21166,21166
1488510853,21200,21200
1488511817,21118,21118
1488513665,21076,21076
1488515419,21082,21082
1488516869,21176,21176
1488517812,21205,21205
1488519741,21311,21311
1488521116,21408,21408
1488522013,21512,21512
1488524030,21578,21578
1488525313,21623,21623
1488526925,21752,21752
1488528316,21799,21799
1488529219,21896,21896
1488530417,21965,21965
1488531664,22013,22013
1488532455,22097,22097
1488533427,22082,22082
1488534146,22112,22112
1488534976,22178,22178
1488535813,22208,22208
1488536055,22227,22227
1488537014,22279,22279
1488537736,22353,22353
1488539662,22411,22411
1488541220,22472,22472
1488542094,22557,22557
1488543121,22561,22561
1488544229,22557,22557
1488546314,22645,22645
1488546854,22698,22698
1488547693,22773,22773
1488549663,22691,22691
1488550452,22755,22755
1488551391,22686,22686
1488552457,22749,22749
1488553313,22702,22702
1488554114,22762,22762
1488555370,22801,22801
1488556210,22855,22855
1488557119,22842,22842
1488558017,22898,22898
1488558911,22868,22868
1488559336,22898,22898
1488560721,22892,22892
1488561614,22962,22962
1488562822,22923,22923
1488563716,22988,22988
1488564616,23027,23027
1488564852,23044,23044
1488565813,23065,23065
1488566718,23114,23114
1488567575,23134,23134
1488568524,23189,23189
1488569292,23232,23232
1488570232,23179,23179
1488571265,23181,23181
1488572113,23237,23237
1488573012,23213,23213
1488573911,23275,23275
1488575319,23250,23250
1488576143,23292,23292
1488577296,23261,23261
1488580936,23203,23203
1488581881,23241,23241
1488582853,23248,23248
1488583815,23233,23233
1488584769,23256,23256
1488585642,23248,23248
1488587104,23309,23309
1488588015,23249,23249
1488588985,23289,23289
1488589819,23279,23279
1488590873,23347,23347
1488591920,23301,23301
1488592844,23300,23300
1488593714,23340,23340
1488594493,23398,23398
1488596274,23290,23290
1488597320,23278,23278
1488598217,23234,23234
1488599118,23249,23249
1488599770,23275,23275
1488600617,23288,23288
1488602714,23295,23295
1488604522,23332,23332
1488605415,23273,23273
1488606136,23253,23253
1488608052,23298,23298
1488609014,23285,23285
1488609925,23294,23294
1488611121,23285,23285
1488611655,23301,23301
1488612491,23337,23337
1488613333,23241,23241
1488614719,23275,23275
1488615613,23331,23331
1488616814,23269,23269
1488617714,23323,23323
1488618614,23259,23259
1488619692,23302,23302
1488620558,23111,23111
1488622425,23014,23014
1488623420,22726,22726
1488625665,22500,22500
1488627615,22276,22276
1488628571,22325,22325
1488629415,22244,22244
1488629654,22256,22256
1488630620,22068,22068
1488631338,22031,22031
1488632448,21979,21979
1488633315,22062,22062
1488634225,22024,22024
1488634940,22049,22049
1488636321,22079,22079
1488637215,22162,22162
1488638052,22070,22070
1488638538,22078,22078
1488640059,22131,22131
1488641865,22185,22185
1488642659,22226,22226
1488644121,22286,22286
1488645232,22278,22278
1488646259,22285,22285
1488647120,22191,22191
1488648015,22218,22218
1488648495,22241,22241
1488649523,22097,22097
1488650720,22105,22105
1488652091,22164,22164
1488653119,22042,22042
1488654320,22013,22013
1488655223,22035,22035
1488656413,21958,21958
1488657311,21995,21995
1488660139,21888,21888
1488660974,21936,21936
1488661816,21845,21845
1488662056,21859,21859
1488663023,21813,21813
1488663740,21850,21850
1488664753,21805,21805
1488665717,21838,21838
1488666580,21778,21778
1488667337,21791,21791
1488668460,21772,21772
1488669269,21794,21794
1488670223,21778,21778
1488671118,21789,21789
1488672116,21771,21771
1488672852,21808,21808
1488673693,21854,21854
1488674547,21804,21804
1488675918,21792,21792
1488676815,21830,21830
1488678142,21777,21777
1488679513,21760,21760
1488680416,21807,21807
1488681312,21752,21752
1488681737,21730,21730
1488683120,21694,21694
1488684020,21745,21745
1488684912,21676,21676
1488686117,21747,21747
1488687014,21647,21647
1488688092,21687,21687
1488690699,21455,21455
1488692416,21361,21361
1488693371,21416,21416
1488694214,21335,21335
1488695416,21201,21201
1488696820,21175,21175
1488697817,21078,21078
1488699022,20927,20927
1488699736,20959,20959
1488701117,20827,20827
1488702014,20871,20871
1488702912,20745,20745
1488704983,20641,20641
1488706942,20469,20469
1488708852,20495,20495
1488709820,20408,20408
1488710537,20380,20380
1488711371,20401,20401
1488712214,20310,20310
1488713292,20361,20361
1488714144,20231,20231
1488714971,20297,20297
1488715817,20199,20199
1488716891,20243,20243
1488717922,20101,20101
1488718979,19991,19991
1488719963,20050,20050
1488721525,19897,19897
1488722362,19850,19850
1488723255,19900,19900
1488724216,19802,19802
1488724945,19776,19776
1488726324,19752,19752
1488727218,19842,19842
1488728538,19807,19807
1488729456,19879,19879
1488730521,19793,19793
1488732552,19711,19711
1488733523,19679,19679
1488734416,19725,19725
1488734892,19751,19751
1488735921,19653,19653
1488737118,19589,19589
1488738015,19623,19623
1488738998,19555,19555
1488739338,19568,19568
1488741254,19539,19539
1488742217,19461,19461
1488742947,19487,19487
1488743941,19432,19432
1488744915,19454,19454
1488745816,19422,19422
1488746723,19426,19426
1488747566,19414,19414
1488748517,19443,19443
1488749418,19371,19371
1488750144,19365,19365
1488750978,19395,19395
1488752415,19412,19412
1488753812,19373,19373
1488755326,19365,19365
1488756387,19401,19401
1488757345,19348,19348
1488758393,19330,19330
1488759256,19348,19348
1488760819,19248,19248
1488761771,19279,19279
1488762618,19226,19226
1488763656,19269,19269
1488764720,19209,19209
1488765988,19211,19211
1488768317,19241,19241
1488769517,19153,19153
1488770356,19184,19184
1488770899,19216,19216
1488771736,19164,19164
1488773651,19200,19200
1488774623,19177,19177
1488775517,19170,19170
1488776178,19206,19206
1488777018,19177,19177
1488778186,19094,19094
1488779114,19144,19144
1488780316,19162,19162
1488781217,19212,19212
1488782342,19199,19199
1488783390,19253,19253
1488784214,19150,19150
1488785291,19191,19191
1488786315,19121,19121
1488787297,19040,19040
1488788441,19078,19078
1488789319,19066,19066
1488790451,19154,19154
1488791713,19096,19096
1488792622,19044,19044
1488793522,19080,19080
1488794176,19106,19106
1488795015,19079,19079
1488796216,19106,19106
1488797681,19160,19160
1488798640,19130,19130
1488799443,19172,19172
1488800536,19100,19100
1488802216,19062,19062
1488803921,18991,18991
1488805514,18914,18914
1488806415,18970,18970
1488807624,18794,18794
1488808576,18855,18855
1488810618,18633,18633
1488811515,18618,18618
1488812362,18537,18537
1488813262,18585,18585
1488814216,18489,18489
1488815121,18551,18551
1488816042,18512,18512
1488816852,18558,18558
1488817817,18537,18537
1488818534,18531,18531
1488819386,18571,18571
1488820217,18514,18514
1488821429,18503,18503
1488822569,18569,18569
1488823518,18514,18514
1488825169,18555,18555
1488825733,18584,18584
1488826767,18587,18587
1488827719,18627,18627
1488828624,18610,18610
1488829343,18643,18643
1488830621,18651,18651
1488831617,18712,18712
1488832099,18764,18764
1488833116,18806,18806
1488834316,18918,18918
1488834866,18991,18991
1488835821,19040,19040
1488836965,19159,19159
1488837911,19209,19209
1488839325,19367,19367
1488840314,19443,19443
1488841959,19569,19569
1488843740,19618,19618
1488844565,19694,19694
1488845416,19731,19731
1488846491,19881,19881
1488847516,19917,19917
1488848549,19933,19933
1488849912,20073,20073
1488850820,20070,20070
1488851781,20158,20158
1488852616,20211,20211
1488853640,20342,20342
