DateTime,Entries,UniqueIPs
1488169221,244,244
1488170115,243,243
1488170535,244,244
1488171919,244,244
1488172767,245,245
1488173724,244,244
1488175822,245,245
1488177927,244,244
1488180618,243,243
1488183019,245,245
1488184818,244,244
1488186626,255,255
1488187468,256,256
1488188427,253,253
1488189265,252,252
1488190457,253,253
1488191317,254,254
1488193531,255,255
1488195317,252,252
1488195748,230,230
1488196581,231,231
1488198495,230,230
1488199397,230,230
1488201258,230,230
1488202172,227,227
1488203123,229,229
1488203986,227,227
1488205329,228,228
1488206717,231,231
1488207924,230,230
1488210146,231,231
1488212055,229,229
1488213929,230,230
1488215062,229,229
1488217343,226,226
1488219324,223,223
1488220226,223,223
1488222926,222,222
1488223942,221,221
1488224549,222,222
1488226826,224,224
1488227937,224,224
1488229001,225,225
1488229816,224,224
1488232584,225,225
1488233425,225,225
1488235336,223,223
1488237024,220,220
1488238224,218,218
1488239507,219,219
1488241005,219,219
1488241827,218,218
1488242722,219,219
1488243934,216,216
1488244457,218,218
1488245295,218,218
1488246122,216,216
1488247122,215,215
1488248395,217,217
1488249316,211,211
1488250214,211,211
1488251127,212,212
1488252024,213,213
1488252500,214,214
1488253897,211,211
1488255426,211,211
1488256515,209,209
1488257494,210,210
1488258065,209,209
1488260123,210,210
1488261108,209,209
1488261919,208,208
1488264085,206,206
1488264980,207,207
1488266909,208,208
1488267749,208,208
1488269664,209,209
1488271345,204,204
1488272878,202,202
1488274827,203,203
1488275776,205,205
1488276627,203,203
1488278722,204,204
1488279565,203,203
1488280898,205,205
1488281936,206,206
1488283524,206,206
1488284429,207,207
1488285316,208,208
1488286301,208,208
1488287120,199,199
1488288021,201,201
1488288891,198,198
1488289927,194,194
1488291016,192,192
1488292432,185,185
1488293493,184,184
1488294318,184,184
1488295288,185,185
1488296434,182,182
1488297921,181,181
1488298823,182,182
1488299616,181,181
1488300148,180,180
1488301532,184,184
1488303635,187,187
1488304762,185,185
1488308862,183,183
1488309756,187,187
1488310608,185,185
1488312587,185,185
1488314545,187,187
1488315926,185,185
1488317617,184,184
1488318516,183,183
1488319421,183,183
1488324022,184,184
1488324496,185,185
1488326722,187,187
1488327624,189,189
1488329460,188,188
1488330474,188,188
1488332437,186,186
1488334224,185,185
1488335297,186,186
1488339315,185,185
1488339750,184,184
1488340574,185,185
1488341423,184,184
1488342495,184,184
1488343347,182,182
1488344491,181,181
1488346948,180,180
1488348617,180,180
1488350544,180,180
1488351919,178,178
1488352830,179,179
1488353634,180,180
1488354655,181,181
1488354975,182,182
1488355821,174,174
1488356780,175,175
1488357621,171,171
1488359415,176,176
1488361345,177,177
1488362268,177,177
1488363243,175,175
1488364225,174,174
1488366298,177,177
1488367250,176,176
1488368116,188,188
1488369023,186,186
1488369920,185,185
1488370829,186,186
1488371902,185,185
1488373532,184,184
1488374058,187,187
1488374985,184,184
1488375820,181,181
1488377723,181,181
1488378743,180,180
1488380120,181,181
1488381020,183,183
1488382097,184,184
1488382949,183,183
1488383959,184,184
1488385830,184,184
1488387315,185,185
1488389300,186,186
1488390158,186,186
1488390983,187,187
1488394728,188,188
1488395728,189,189
1488396625,188,188
1488397773,186,186
1488399027,186,186
1488400824,187,187
1488401783,188,188
1488403830,188,188
1488405375,189,189
1488408322,188,188
1488409534,190,190
1488410428,192,192
1488412515,191,191
1488414627,192,192
1488415893,192,192
1488417585,192,192
