DateTime,AddedIPs,RemovedIPs
1488314532,165,148
1488315911,159,161
1488316811,74,2
1488317608,75,154
1488318509,79,67
1488319405,72,141
1488320417,97,1
1488321309,85,149
1488322274,85,0
1488323113,68,143
1488324010,72,0
1488324489,41,2
1488325511,76,195
1488326709,94,110
1488327611,71,4
1488328088,38,0
1488329453,121,201
1488330467,58,100
1488331417,71,1
1488332420,73,144
1488332532,9,0
1488334210,133,151
1488335289,109,1
1488336137,59,223
1488338411,231,113
1488339309,96,132
1488339731,38,42
1488340568,67,2
1488341412,107,103
1488342488,127,2
1488343331,72,194
1488344477,90,115
1488345312,74,1
1488346091,54,0
1488346934,66,204
1488347768,64,0
1488348610,60,101
1488349509,59,0
1488350532,79,135
1488351910,129,126
1488352812,76,1
1488353628,77,157
1488354645,87,47
1488354969,32,0
1488355810,83,107
1488356762,80,1
1488357612,88,196
1488358500,94,2
1488359409,87,100
1488361333,172,187
1488362261,100,1
1488363236,79,181
1488364216,91,237
1488366291,200,141
1488367235,68,1
1488368109,73,183
1488369010,88,68
1488369910,81,98
1488370814,82,0
1488371895,103,174
1488373525,154,175
1488374050,49,1
1488374973,94,156
1488375813,87,45
1488376756,78,79
1488377710,98,6
1488378728,106,142
1488380111,172,46
1488381009,87,85
1488382089,110,0
1488382934,85,185
1488383939,159,88
1488384862,103,7
1488385818,95,151
1488387309,166,53
1488389291,179,93
1488390139,92,185
1488390970,74,0
1488391802,65,104
1488392888,109,0
1488393733,68,182
1488394720,90,94
1488395714,87,10
1488396609,77,163
1488397766,126,47
1488399016,111,94
1488400810,142,183
1488401770,87,2
1488402609,61,109
1488402850,15,0
1488403810,108,168
1488404689,89,58
1488405368,65,1
1488406213,76,101
1488408308,188,186
1488409516,166,76
1488410414,73,0
1488412509,191,155
1488413414,85,149
1488414617,105,155
1488415887,127,1
1488417578,152,150
1488418934,115,175
1488419770,60,1
1488420609,71,103
1488421474,72,1
1488422412,84,181
1488423369,91,1
1488424214,75,85
1488425216,102,0
1488426132,98,167
1488427517,135,79
1488428413,129,0
1488429731,145,188
1488431113,132,97
1488432610,139,133
1488433334,93,40
1488435250,209,108
1488436213,87,135
1488437121,77,47
1488438322,115,109
1488439209,83,1
1488440109,83,165
1488440534,45,39
1488441369,74,0
1488442215,77,102
1488444312,195,210
1488445240,100,102
1488446054,117,0
1488446889,113,1
1488448331,208,152
1488449156,104,149
1488450002,108,0
1488451336,159,198
1488452716,194,104
1488453613,88,0
1488454933,145,144
1488456057,118,171
1488456910,94,1
1488457801,114,142
1488458615,100,0
1488460218,177,161
1488461109,131,1
1488461905,87,191
1488462706,82,51
1488464144,167,98
1488465018,110,158
1488466131,136,2
1488467087,117,177
1488468012,105,1
1488469217,135,197
1488470109,107,1
1488471013,137,112
1488472175,127,149
1488473109,104,55
1488473772,66,0
1488474614,74,111
1488475689,120,0
1488476612,113,250
1488477465,86,2
1488478295,91,90
1488479109,77,0
1488480136,106,199
1488481518,126,116
1488482893,120,4
1488483916,92,179
1488484839,95,101
1488485710,84,4
1488487352,146,154
1488488208,95,2
1488489310,93,167
1488490933,163,192
1488491851,86,1
1488492847,88,97
1488493811,74,147
1488494531,71,0
1488495368,82,0
1488497291,160,167
1488498310,90,188
1488499257,86,115
1488501011,172,131
1488501874,79,46
1488502676,81,1
1488503711,103,85
1488504609,78,168
1488506711,208,145
1488507630,91,1
1488508812,99,283
1488510312,147,117
1488510850,63,0
1488511813,87,151
1488513660,194,166
1488515415,224,144
1488516866,122,55
1488517809,74,97
1488519734,160,167
1488521110,112,132
1488522011,78,0
1488524028,173,187
1488525309,125,97
1488526922,129,160
1488528313,151,166
1488529211,79,0
1488530413,124,153
1488531659,132,169
1488532452,83,1
1488533419,81,139
1488534137,72,58
1488534970,74,0
1488535811,67,110
1488536052,21,0
1488537011,74,144
1488537730,77,0
1488539654,180,180
1488541213,120,159
1488542091,75,0
1488543117,105,173
1488544226,85,164
1488546312,180,174
1488546850,44,1
1488547690,87,0
1488549658,172,383
1488550449,65,0
1488551389,73,175
1488552454,90,59
1488553308,62,117
1488554110,70,1
1488555367,112,174
1488556206,78,3
1488557112,119,188
1488558010,81,2
1488558909,79,153
1488559333,38,0
1488560713,162,178
1488561610,80,0
1488562813,102,214
1488563709,68,0
1488564610,85,115
1488564849,22,0
1488565810,73,157
1488566711,75,50
1488567572,77,116
1488568516,97,9
1488569289,60,1
1488570228,80,201
1488571260,94,107
1488572109,73,0
1488573009,87,176
1488573908,67,0
1488575316,113,156
1488576140,62,0
1488577290,107,166
1488580933,322,804
1488581878,76,2
1488582850,63,139
1488583813,65,162
1488584767,77,58
1488585637,57,117
1488587102,119,1
1488588012,69,197
1488588982,73,1
1488589814,59,114
1488590871,104,2
1488591914,84,192
1488592840,67,125
1488593710,63,0
1488594490,56,3
1488596271,174,203
1488597316,97,98
1488598210,72,227
1488599113,78,45
1488599768,65,2
1488600611,80,109
1488602711,224,234
1488604515,196,106
1488605411,95,159
1488606133,73,56
1488608049,197,113
1488609011,79,197
1488609920,76,78
1488611114,104,98
1488611651,51,1
1488612489,69,0
1488613330,83,212
1488614712,137,136
1488615610,72,2
1488616811,96,209
1488617709,69,1
1488618611,72,231
1488619689,80,2
1488620552,80,271
1488622422,179,182
1488623413,88,205
1488625663,205,222
1488627612,168,254
1488628569,93,0
1488629411,68,152
1488629651,26,0
1488630613,75,212
1488631333,69,72
1488632444,103,150
1488633312,87,1
1488634220,105,190
1488634937,65,77
1488636313,110,147
1488637212,86,1
1488638045,88,209
1488638533,50,65
1488640057,132,153
1488641862,161,212
1488642656,73,60
1488644118,138,120
1488645228,106,189
1488646261,158,60
1488647113,83,131
1488648012,97,2
1488648491,41,0
1488649515,95,265
1488650713,95,125
1488652089,142,1
1488653112,90,213
1488654313,149,118
1488655220,97,1
1488656410,103,213
1488657309,58,0
1488660132,274,324
1488660970,63,0
1488661810,75,161
1488662053,23,0
1488663015,85,146
1488663737,56,0
1488664750,73,175
1488665711,78,15
1488666577,85,170
1488667330,124,54
1488668455,164,135
