DateTime,Entries,UniqueIPs
1488298814,18300,18300
1488299610,18233,18233
1488300133,18247,18247
1488301511,18300,18300
1488302412,18376,18376
1488303616,18242,18242
1488304741,18211,18211
1488305649,18291,18291
1488306614,18203,18203
1488307697,18309,18309
1488308854,18226,18226
1488309743,18276,18276
1488310598,18184,18184
1488311411,18229,18229
1488312580,18215,18215
1488314532,18232,18232
1488315911,18230,18230
1488316811,18302,18302
1488317608,18223,18223
1488318509,18235,18235
1488319405,18166,18166
1488320417,18262,18262
1488321309,18198,18198
1488322274,18283,18283
1488323113,18208,18208
1488324010,18280,18280
1488324489,18319,18319
1488325511,18200,18200
1488326709,18184,18184
1488327611,18251,18251
1488328088,18289,18289
1488329453,18209,18209
1488330467,18167,18167
1488331417,18237,18237
1488332420,18166,18166
1488332532,18175,18175
1488334210,18157,18157
1488335289,18265,18265
1488336137,18101,18101
1488338411,18219,18219
1488339309,18183,18183
1488339731,18179,18179
1488340568,18244,18244
1488341412,18248,18248
1488342488,18373,18373
1488343331,18251,18251
1488344477,18226,18226
1488345312,18299,18299
1488346091,18353,18353
1488346934,18215,18215
1488347768,18279,18279
1488348610,18238,18238
1488349509,18297,18297
1488350532,18241,18241
1488351910,18244,18244
1488352812,18319,18319
1488353628,18239,18239
1488354645,18279,18279
1488354969,18311,18311
1488355810,18287,18287
1488356762,18366,18366
1488357612,18258,18258
1488358500,18350,18350
1488359409,18337,18337
1488361333,18322,18322
1488362261,18421,18421
1488363236,18319,18319
1488364216,18173,18173
1488366291,18232,18232
1488367235,18299,18299
1488368109,18189,18189
1488369010,18209,18209
1488369910,18192,18192
1488370814,18274,18274
1488371895,18203,18203
1488373525,18182,18182
1488374050,18230,18230
1488374973,18168,18168
1488375813,18210,18210
1488376756,18209,18209
1488377710,18301,18301
1488378728,18265,18265
1488380111,18391,18391
1488381009,18393,18393
1488382089,18503,18503
1488382934,18403,18403
1488383939,18474,18474
1488384862,18570,18570
1488385818,18514,18514
1488387309,18627,18627
1488389291,18713,18713
1488390139,18620,18620
1488390970,18694,18694
1488391802,18655,18655
1488392888,18764,18764
1488393733,18650,18650
1488394720,18646,18646
1488395714,18723,18723
1488396609,18637,18637
1488397766,18716,18716
1488399016,18733,18733
1488400810,18692,18692
1488401770,18777,18777
1488402609,18729,18729
1488402850,18744,18744
1488403810,18684,18684
1488404689,18715,18715
1488405368,18779,18779
1488406213,18754,18754
1488408308,18756,18756
1488409516,18846,18846
1488410414,18919,18919
1488412509,18955,18955
1488413414,18891,18891
1488414617,18841,18841
1488415887,18967,18967
1488417578,18969,18969
1488418934,18909,18909
1488419770,18968,18968
1488420609,18936,18936
1488421474,19007,19007
1488422412,18910,18910
1488423369,19000,19000
1488424214,18990,18990
1488425216,19092,19092
1488426132,19023,19023
1488427517,19079,19079
1488428413,19208,19208
1488429731,19165,19165
1488431113,19200,19200
1488432610,19206,19206
1488433334,19259,19259
1488435250,19360,19360
1488436213,19312,19312
1488437121,19342,19342
1488438322,19348,19348
1488439209,19430,19430
1488440109,19348,19348
1488440534,19354,19354
1488441369,19428,19428
1488442215,19403,19403
1488444312,19388,19388
1488445240,19386,19386
1488446054,19503,19503
1488446889,19615,19615
1488448331,19671,19671
1488449156,19626,19626
1488450002,19734,19734
1488451336,19695,19695
1488452716,19785,19785
1488453613,19873,19873
1488454933,19874,19874
1488456057,19821,19821
1488456910,19914,19914
1488457801,19886,19886
1488458615,19986,19986
1488460218,20002,20002
1488461109,20132,20132
1488461905,20028,20028
1488462706,20059,20059
1488464144,20128,20128
1488465018,20080,20080
1488466131,20214,20214
1488467087,20154,20154
1488468012,20258,20258
1488469217,20196,20196
1488470109,20302,20302
1488471013,20327,20327
1488472175,20305,20305
1488473109,20354,20354
1488473772,20420,20420
1488474614,20383,20383
1488475689,20503,20503
1488476612,20366,20366
1488477465,20450,20450
1488478295,20451,20451
1488479109,20528,20528
1488480136,20435,20435
1488481518,20445,20445
1488482893,20561,20561
1488483916,20474,20474
1488484839,20468,20468
1488485710,20548,20548
1488487352,20540,20540
1488488208,20633,20633
1488489310,20559,20559
1488490933,20530,20530
1488491851,20615,20615
1488492847,20606,20606
1488493811,20533,20533
1488494531,20604,20604
1488495368,20686,20686
1488497291,20679,20679
1488498310,20581,20581
1488499257,20552,20552
1488501011,20593,20593
1488501874,20626,20626
1488502676,20706,20706
1488503711,20724,20724
1488504609,20634,20634
1488506711,20697,20697
1488507630,20787,20787
1488508812,20603,20603
1488510312,20633,20633
1488510850,20696,20696
1488511813,20632,20632
1488513660,20660,20660
1488515415,20740,20740
1488516866,20807,20807
1488517809,20784,20784
1488519734,20777,20777
1488521110,20757,20757
1488522011,20835,20835
1488524028,20821,20821
1488525309,20849,20849
1488526922,20818,20818
1488528313,20803,20803
1488529211,20882,20882
1488530413,20853,20853
1488531659,20816,20816
1488532452,20898,20898
1488533419,20840,20840
1488534137,20854,20854
1488534970,20928,20928
1488535811,20885,20885
1488536052,20906,20906
1488537011,20836,20836
1488537730,20913,20913
1488539654,20913,20913
1488541213,20874,20874
1488542091,20949,20949
1488543117,20881,20881
1488544226,20802,20802
1488546312,20808,20808
1488546850,20851,20851
1488547690,20938,20938
1488549658,20727,20727
1488550449,20792,20792
1488551389,20690,20690
1488552454,20721,20721
1488553308,20666,20666
1488554110,20735,20735
1488555367,20673,20673
1488556206,20748,20748
1488557112,20679,20679
1488558010,20758,20758
1488558909,20684,20684
1488559333,20722,20722
1488560713,20706,20706
1488561610,20786,20786
1488562813,20674,20674
1488563709,20742,20742
1488564610,20712,20712
1488564849,20734,20734
1488565810,20650,20650
1488566711,20675,20675
1488567572,20636,20636
1488568516,20724,20724
1488569289,20783,20783
1488570228,20662,20662
1488571260,20649,20649
1488572109,20722,20722
1488573009,20633,20633
1488573908,20700,20700
1488575316,20657,20657
1488576140,20719,20719
1488577290,20660,20660
1488580933,20178,20178
1488581878,20252,20252
1488582850,20176,20176
1488583813,20079,20079
1488584767,20098,20098
1488585637,20038,20038
1488587102,20156,20156
1488588012,20028,20028
1488588982,20100,20100
1488589814,20045,20045
1488590871,20147,20147
1488591914,20039,20039
1488592840,19981,19981
1488593710,20044,20044
1488594490,20097,20097
1488596271,20068,20068
1488597316,20067,20067
1488598210,19912,19912
1488599113,19945,19945
1488599768,20008,20008
1488600611,19979,19979
1488602711,19969,19969
1488604515,20059,20059
1488605411,19995,19995
1488606133,20012,20012
1488608049,20096,20096
1488609011,19978,19978
1488609920,19976,19976
1488611114,19982,19982
1488611651,20032,20032
1488612489,20101,20101
1488613330,19972,19972
1488614712,19973,19973
1488615610,20043,20043
1488616811,19930,19930
1488617709,19998,19998
1488618611,19839,19839
1488619689,19917,19917
1488620552,19726,19726
1488622422,19723,19723
1488623413,19606,19606
1488625663,19589,19589
1488627612,19503,19503
1488628569,19596,19596
1488629411,19512,19512
1488629651,19538,19538
1488630613,19401,19401
1488631333,19398,19398
1488632444,19351,19351
1488633312,19437,19437
1488634220,19352,19352
1488634937,19340,19340
1488636313,19303,19303
1488637212,19388,19388
1488638045,19267,19267
1488638533,19252,19252
1488640057,19231,19231
1488641862,19180,19180
1488642656,19193,19193
1488644118,19211,19211
1488645228,19128,19128
1488646261,19226,19226
1488647113,19178,19178
1488648012,19273,19273
1488648491,19314,19314
1488649515,19144,19144
1488650713,19114,19114
1488652089,19255,19255
1488653112,19132,19132
1488654313,19163,19163
1488655220,19259,19259
1488656410,19149,19149
1488657309,19207,19207
1488660132,19157,19157
1488660970,19220,19220
1488661810,19134,19134
1488662053,19157,19157
1488663015,19096,19096
1488663737,19152,19152
1488664750,19050,19050
1488665711,19113,19113
1488666577,19028,19028
1488667330,19098,19098
1488668455,19127,19127
1488669260,19196,19196
1488670215,19087,19087
1488671115,19100,19100
1488672111,19057,19057
1488672850,19128,19128
1488673691,19198,19198
1488674544,19126,19126
1488675911,19055,19055
1488676812,19133,19133
1488678136,19028,19028
1488679507,19028,19028
1488680410,19117,19117
1488681310,19021,19021
1488681731,18991,18991
1488683114,18966,18966
1488684013,19032,19032
1488684909,18917,18917
1488686110,19016,19016
1488687010,18935,18935
1488688089,19031,19031
1488690696,18978,18978
1488692413,18937,18937
1488693369,19019,19019
1488694211,19017,19017
1488695409,18957,18957
1488696818,19013,19013
1488697811,18954,18954
1488699018,18897,18897
1488699733,18948,18948
1488701110,18895,18895
1488702011,19088,19088
1488702909,19027,19027
1488704980,19039,19039
1488706935,19009,19009
1488708849,19078,19078
1488709812,19008,19008
1488710534,19020,19020
1488711369,19085,19085
1488712211,19044,19044
1488713289,19118,19118
1488714141,19020,19020
1488714969,19085,19085
1488715810,19059,19059
1488716889,19165,19165
1488717915,19109,19109
1488718977,19029,19029
1488719961,19117,19117
1488721518,19058,19058
1488722355,19056,19056
1488723250,19129,19129
1488724212,19082,19082
1488724937,19104,19104
1488726315,19094,19094
1488727211,19179,19179
1488728536,19142,19142
1488729454,19256,19256
1488730514,19174,19174
1488732530,19146,19146
1488733515,19128,19128
1488734410,19201,19201
1488734890,19254,19254
1488735914,19218,19218
1488737110,19187,19187
1488738012,19280,19280
1488738996,19216,19216
1488739335,19251,19251
1488741251,19286,19286
1488742213,19229,19229
1488742939,19303,19303
1488743938,19236,19236
1488744912,19310,19310
1488745813,19251,19251
1488746716,19278,19278
1488747563,19256,19256
1488748513,19322,19322
1488749415,19227,19227
1488750138,19256,19256
1488750971,19326,19326
1488752411,19357,19357
1488753806,19343,19343
1488755323,19331,19331
1488756383,19425,19425
1488757338,19333,19333
1488758390,19331,19331
1488759249,19399,19399
1488760812,19338,19338
1488761768,19414,19414
1488762611,19409,19409
1488763654,19493,19493
1488764713,19438,19438
1488765985,19413,19413
1488768312,19486,19486
1488769510,19463,19463
1488770349,19534,19534
1488770893,19578,19578
1488771734,19399,19399
1488773648,19438,19438
1488774620,19327,19327
1488775511,19338,19338
1488776172,19396,19396
1488777013,19331,19331
1488778183,19278,19278
1488779112,19319,19319
1488780311,19353,19353
1488781212,19448,19448
1488782340,19413,19413
1488783387,19489,19489
1488784211,19411,19411
1488785289,19531,19531
1488786312,19510,19510
1488787294,19464,19464
1488788438,19596,19596
1488789312,19523,19523
1488790445,19615,19615
1488791705,19572,19572
1488792618,19476,19476
1488793514,19570,19570
1488794171,19619,19619
1488795012,19545,19545
1488796213,19505,19505
1488797679,19600,19600
1488798634,19563,19563
1488799441,19647,19647
1488800531,19558,19558
1488802211,19596,19596
1488803919,19560,19560
1488805511,19564,19564
1488806407,19657,19657
1488807618,19531,19531
1488808569,19637,19637
1488810612,19586,19586
1488811513,19615,19615
1488812359,19613,19613
1488813253,19750,19750
1488814213,19727,19727
1488815114,19827,19827
1488816038,19723,19723
1488816849,19837,19837
1488817813,19804,19804
1488818531,19836,19836
1488819384,19956,19956
1488820213,19989,19989
1488821420,20089,20089
1488822566,20287,20287
1488823511,20288,20288
1488825166,20436,20436
1488825730,20520,20520
1488826765,20522,20522
1488827716,20646,20646
