DateTime,AddedIPs,RemovedIPs
1485970956,3,0
1485977724,1,0
1485987633,1,0
1486001666,1,0
1486006231,0,1
1486008623,0,1
1486010551,0,1
1486014324,1,0
1486020919,0,1
1486034063,0,1
1486035030,0,1
1486039462,0,1
1486040722,0,1
1486046551,0,3
1486049721,0,2
1486057357,0,3
1486060226,1,0
1486061793,1,0
1486064248,0,1
1486066221,0,1
1486092949,0,1
1486094723,0,1
1486096831,0,1
1486100552,0,2
1486101375,1,0
1486102226,0,1
1486112602,0,1
1486118039,2,0
1486121246,2,0
1486125314,1,0
1486139304,2,0
1486141141,0,3
1486166728,1,0
1486174834,0,1
1486182625,0,1
1486184670,0,1
1486186953,1,0
1486196435,1,0
1486197316,0,1
1486203756,2,0
1486204836,3,0
1486206183,2,0
1486207234,2,0
1486233921,0,2
1486234780,2,0
1486236629,2,0
1486244553,0,1
1486260331,1,0
1486264833,2,0
1486268441,12,0
1486271425,0,1
1486272629,1,0
1486276104,1,0
1486277125,1,0
1486279238,1,0
1486280786,1,0
1486284158,0,1
1486291360,0,3
1486296055,0,1
1486305789,0,1
1486306732,1,0
1486309230,0,1
1486314625,0,1
1486330223,3,0
1486333236,1,0
1486336830,1,1
1486337987,2,2
1486341923,0,1
1486348517,1,1
1486354763,2,0
1486357516,0,1
1486361418,1,0
1486364726,0,1
1486365530,1,0
1486367721,2,0
1486368620,2,0
1486369484,1,0
1486391266,3,1
1486398026,1,0
1486433120,0,7
1486434917,0,3
1486436522,1,11
1486438835,0,1
1486446033,0,1
1486447531,1,0
1486456001,1,0
1486461819,0,1
1486463720,0,1
1486465546,1,0
1486467776,0,1
1486498527,1,0
1486499424,0,1
1486505143,0,1
1486523055,0,5
1486532882,1,0
1486543715,0,1
1486549726,0,1
1486554189,0,1
1486557025,0,1
1486560441,1,0
1486568333,0,1
1486573819,0,1
1486588461,1,0
1486590745,0,1
1486599642,1,0
1486605522,1,1
1486606524,1,0
1486612089,2,0
1486612962,1,0
1486615385,1,0
1486617259,1,0
1486627812,1,0
1486633427,0,1
1486634683,0,1
1486646472,1,0
1486653273,1,1
1486654231,0,1
1486656830,7,0
1486657923,1,0
1486661686,0,1
1486671028,0,1
1486673170,1,0
1486678528,1,0
1486688725,0,1
1486692510,1,0
1486703052,0,1
1486716989,0,1
1486717820,0,1
1486722631,2,0
1486732230,0,1
1486737218,1,0
1486758835,0,1
1486775420,0,2
1486803810,0,1
1486810077,0,2
1486810963,0,1
1486820542,0,2
1486824070,0,2
1486825406,0,1
1486827824,0,2
1486829090,0,1
1486832245,2,0
1486833332,1,0
1486841988,0,1
1486846978,1,0
1486863605,0,1
1486866891,0,1
1486870941,1,0
1486875663,0,1
1486886817,0,1
1486890309,0,1
1486892060,0,1
1486902626,1,0
1486909446,1,0
1486912531,7,0
1486918949,0,1
1486922677,2,1
1486926277,2,0
1486934534,1,1
1486938003,1,0
1486939246,1,0
1486940545,1,1
1486941406,1,1
1486944857,1,0
1486948822,1,0
1486955658,0,1
1486962906,0,1
1486965738,1,0
1486970061,1,1
1486974626,0,1
1486977539,1,0
1486978956,0,1
1486982556,1,0
1486986935,1,0
1486995323,1,0
1486996230,0,1
1486999824,0,1
1487000726,0,3
1487001599,0,3
1487006066,1,0
1487010631,1,0
1487016119,0,1
1487022330,1,0
1487029339,1,0
1487039503,2,0
1487044910,0,1
1487050946,1,1
1487057431,8,0
1487069776,1,0
1487071518,2,0
1487072543,0,2
1487084366,0,1
1487099730,1,0
1487118624,1,0
1487122228,1,0
1487147397,0,1
1487149248,1,0
1487158355,0,1
1487171859,1,0
1487172498,1,0
1487173351,1,0
1487176947,1,0
1487182824,1,0
1487183715,1,0
1487192311,0,1
1487204544,1,0
1487205973,0,1
1487208611,0,1
1487210366,0,1
1487214923,1,0
1487222122,1,0
1487222993,0,1
1487224849,0,1
1487225657,1,0
1487228124,1,4
1487229020,0,2
1487233801,0,1
1487234718,0,1
