DateTime,AddedIPs,RemovedIPs
1488581405,28,14
1488582004,24,20
1488583206,32,65
1488583804,3,4
1488584404,9,8
1488585304,112,3
1488585905,10,23
1488586505,154,13
1488587103,5,16
1488587703,3,6
1488588005,4,6
1488588605,104,2
1488589207,11,46
1488589803,4,2
1488590404,4,6
1488591004,96,11
1488591604,2,7
1488592203,19,3
1488592805,6,5
1488593403,12,3
1488594004,58,3
1488594605,4,22
1488595206,6,6
1488595804,5,4
1488596403,6,6
1488597003,5,4
1488597604,8,5
1488598203,13,1
1488598804,2,3
1488599403,4,3
1488600004,7,10
1488600307,2,83
1488600903,2,3
1488601503,2,1
1488602105,47,3
1488602704,1,3
1488603304,34,4
1488603903,2,7
1488604504,3,7
1488605104,112,6
1488605705,3,21
1488606304,8,4
1488606904,12,4
1488607504,2,3
1488608106,2,5
1488608703,4,2
1488609305,111,7
1488609904,6,3
1488610504,8,4
1488611103,3,6
1488611703,39,4
1488612318,100,101
1488612903,6,3
1488613504,5,4
1488614103,4,4
1488614702,4,1
1488615004,7,7
1488615604,4,5
1488616203,50,4
1488616803,2,16
1488617405,4,8
1488618002,5,3
1488618305,2,18
1488618904,14,4
1488619503,103,3
1488620106,98,8
1488620703,106,4
1488621006,6,7
1488621605,17,4
1488622205,3,3
1488622804,5,3
1488623107,4,46
1488623703,1,4
1488624304,11,7
1488624906,6,12
1488625502,2,3
1488625804,2,3
1488626404,6,8
1488627004,5,7
1488627605,7,12
1488628202,35,0
1488628804,3,4
1488629403,2,3
1488630004,10,5
1488630603,2,3
1488631203,10,4
1488631507,6,33
1488632103,106,14
1488632705,7,7
1488633304,4,8
1488633904,10,8
1488634504,20,6
1488635104,3,8
1488635704,12,20
1488636303,3,7
1488636904,4,7
1488637504,8,11
1488638104,4,6
1488638705,5,15
1488639303,6,3
1488639606,5,29
1488640205,39,13
1488640804,86,5
1488641707,246,54
1488642306,190,14
1488642904,155,26
1488643504,152,10
1488644105,76,11
1488644705,81,9
1488645304,302,3
1488645607,183,10
1488646206,401,36
1488646509,170,104
1488647103,169,6
1488647705,272,10
1488648305,189,11
1488648905,234,12
1488649505,401,15
1488650106,224,15
1488650704,115,10
1488651305,160,6
1488651904,243,10
1488652505,318,15
1488653106,277,12
1488653705,188,44
1488654304,114,8
1488654905,134,7
1488655213,110,106
1488655804,133,7
1488656404,122,13
1488656709,36,96
1488657306,13,19
1488657905,6,7
1488658507,79,64
1488659104,4,7
1488659706,6,25
1488660010,52,109
1488660608,4,88
1488661204,9,10
1488661804,9,8
1488662405,24,32
1488663005,107,7
1488663603,5,9
1488664207,131,39
1488664804,8,31
1488665404,112,16
1488665714,1,92
1488666304,5,4
1488666905,4,15
1488667513,2,27
1488668105,7,4
1488668410,1,21
1488669008,23,19
1488669606,36,15
1488670204,14,6
1488670806,10,10
1488671406,0,12
1488671732,89,97
1488672306,20,12
1488672936,4,136
1488673504,96,4
1488674104,3,3
1488674733,5,106
1488675304,18,5
1488675607,3,7
1488676205,4,5
1488676805,5,3
1488677426,34,88
1488678003,97,2
1488678608,6,15
1488679208,6,8
1488679810,14,12
1488681006,79,63
1488681606,7,5
1488682204,5,7
1488682805,3,7
1488683405,2,6
1488684005,1,8
1488684308,3,13
1488684905,12,3
1488685505,3,5
1488686104,3,6
1488686705,6,5
1488687303,1,2
1488687906,96,3
1488688243,4,35
1488688813,45,11
1488689425,13,31
1488690007,1,7
1488690604,6,2
1488691204,5,7
1488691513,4,111
1488692106,11,4
