DateTime,Entries,UniqueIPs
1488551104,21823,21823
1488551705,21818,21818
1488552304,21817,21817
1488552904,21812,21812
1488553504,21842,21842
1488554105,21837,21837
1488554409,21738,21738
1488555006,21735,21735
1488555605,21775,21775
1488556204,21797,21797
1488556506,21764,21764
1488557105,21753,21753
1488557705,21755,21755
1488558306,21744,21744
1488558911,21666,21666
1488559504,21668,21668
1488560105,21805,21805
1488560704,21803,21803
1488561319,21503,21503
1488561919,21193,21193
1488562528,20910,20910
1488563112,20759,20759
1488563705,20581,20581
1488564024,20310,20310
1488564620,19920,19920
1488565226,19149,19149
1488565534,18676,18676
1488566143,17973,17973
1488566723,17286,17286
1488567316,16769,16769
1488567929,16136,16136
1488568521,15611,15611
1488568828,15294,15294
1488569421,14835,14835
1488570003,14731,14731
1488570605,14823,14823
1488571204,14832,14832
1488571805,14837,14837
1488572403,14870,14870
1488573003,14879,14879
1488573604,14993,14993
1488574204,15085,15085
1488574804,15067,15067
1488575107,15021,15021
1488575703,15043,15043
1488576304,15054,15054
1488576904,15054,15054
1488577503,15057,15057
1488577805,15095,15095
1488578404,15112,15112
1488579004,15129,15129
1488579604,15211,15211
1488580204,15215,15215
1488580804,15214,15214
1488581405,15228,15228
1488582004,15232,15232
1488583206,15199,15199
1488583804,15198,15198
1488584404,15199,15199
1488585304,15308,15308
1488585905,15295,15295
1488586505,15436,15436
1488587103,15425,15425
1488587703,15422,15422
1488588005,15420,15420
1488588605,15522,15522
1488589207,15487,15487
1488589803,15489,15489
1488590404,15487,15487
1488591004,15572,15572
1488591604,15567,15567
1488592203,15583,15583
1488592805,15584,15584
1488593403,15593,15593
1488594004,15648,15648
1488594605,15630,15630
1488595206,15630,15630
1488595804,15631,15631
1488596403,15631,15631
1488597003,15632,15632
1488597604,15635,15635
1488598203,15647,15647
1488598804,15646,15646
1488599403,15647,15647
1488600004,15644,15644
1488600307,15563,15563
1488600903,15562,15562
1488601503,15563,15563
1488602105,15607,15607
1488602704,15605,15605
1488603304,15635,15635
1488603903,15630,15630
1488604504,15626,15626
1488605104,15732,15732
1488605705,15714,15714
1488606304,15718,15718
1488606904,15726,15726
1488607504,15725,15725
1488608106,15722,15722
1488608703,15724,15724
1488609305,15828,15828
1488609904,15831,15831
1488610504,15835,15835
1488611103,15832,15832
1488611703,15867,15867
1488612318,15866,15866
1488612903,15869,15869
1488613504,15870,15870
1488614103,15870,15870
1488614702,15873,15873
1488615004,15873,15873
1488615604,15872,15872
1488616203,15918,15918
1488616803,15904,15904
1488617405,15900,15900
1488618002,15902,15902
1488618305,15886,15886
1488618904,15896,15896
1488619503,15996,15996
1488620106,16086,16086
1488620703,16188,16188
1488621006,16187,16187
1488621605,16200,16200
1488622205,16200,16200
1488622804,16202,16202
1488623107,16160,16160
1488623703,16157,16157
1488624304,16161,16161
1488624906,16155,16155
1488625502,16154,16154
1488625804,16153,16153
1488626404,16151,16151
1488627004,16149,16149
1488627605,16144,16144
1488628202,16179,16179
1488628804,16178,16178
1488629403,16177,16177
1488630004,16182,16182
1488630603,16181,16181
1488631203,16187,16187
1488631507,16160,16160
1488632103,16252,16252
1488632705,16252,16252
1488633304,16248,16248
1488633904,16250,16250
1488634504,16264,16264
1488635104,16259,16259
1488635704,16251,16251
1488636303,16247,16247
1488636904,16244,16244
1488637504,16241,16241
1488638104,16239,16239
1488638705,16229,16229
1488639303,16232,16232
1488639606,16208,16208
1488640205,16234,16234
1488640804,16315,16315
1488641707,16507,16507
1488642306,16683,16683
1488642904,16812,16812
1488643504,16954,16954
1488644105,17019,17019
1488644705,17091,17091
1488645304,17390,17390
1488645607,17563,17563
1488646206,17928,17928
1488646509,17994,17994
1488647103,18157,18157
1488647705,18419,18419
1488648305,18597,18597
1488648905,18819,18819
1488649505,19205,19205
1488650106,19414,19414
1488650704,19519,19519
1488651305,19673,19673
1488651904,19906,19906
1488652505,20209,20209
1488653106,20474,20474
1488653705,20618,20618
1488654304,20724,20724
1488654905,20851,20851
1488655213,20855,20855
1488655804,20981,20981
1488656404,21090,21090
1488656709,21030,21030
1488657306,21024,21024
1488657905,21023,21023
1488658507,21038,21038
1488659104,21035,21035
1488659706,21016,21016
1488660010,20959,20959
1488660608,20875,20875
1488661204,20874,20874
1488661804,20875,20875
1488662405,20867,20867
1488663005,20967,20967
1488663603,20963,20963
1488664207,21055,21055
1488664804,21032,21032
1488665404,21128,21128
1488665714,21037,21037
1488666304,21038,21038
1488666905,21027,21027
1488667513,21002,21002
1488668105,21005,21005
1488668410,20985,20985
1488669008,20989,20989
1488669606,21010,21010
1488670204,21018,21018
1488670806,21018,21018
1488671406,21006,21006
1488671732,20998,20998
1488672306,21006,21006
1488672936,20874,20874
1488673504,20966,20966
1488674104,20966,20966
1488674733,20865,20865
1488675304,20878,20878
1488675607,20874,20874
1488676205,20873,20873
1488676805,20875,20875
1488677426,20821,20821
1488678003,20916,20916
1488678608,20907,20907
1488679208,20905,20905
1488679810,20907,20907
1488681006,20923,20923
1488681606,20925,20925
1488682204,20923,20923
1488682805,20919,20919
1488683405,20915,20915
1488684005,20908,20908
1488684308,20898,20898
1488684905,20907,20907
1488685505,20905,20905
1488686104,20902,20902
1488686705,20903,20903
1488687303,20902,20902
1488687906,20995,20995
1488688243,20964,20964
1488688813,20998,20998
1488689425,20980,20980
1488690007,20974,20974
1488690604,20978,20978
1488691204,20976,20976
1488691513,20869,20869
1488692106,20876,20876
1488692705,20869,20869
