DateTime,Entries,UniqueIPs
1486143606,7107,7107
1486145523,7123,7123
1486151524,7146,7146
1486157282,7145,7145
1486161122,7134,7134
1486164972,7104,7104
1486168816,7094,7094
1486172882,7105,7105
1486176722,7101,7101
1486180562,7096,7096
1486186324,7093,7093
1486190165,7081,7081
1486194004,7094,7094
1486197849,7118,7118
1486203842,7136,7136
1486207684,7158,7158
1486211775,7177,7177
1486213924,7164,7164
1486219682,7160,7160
1486223522,7156,7156
1486229283,7163,7163
1486236972,7157,7157
1486242723,7160,7160
1486244883,7148,7148
1486248964,7130,7130
1486250884,7109,7109
1486256643,7118,7118
1486264323,7096,7096
1486270323,7083,7083
1486274163,7080,7080
1486279922,7091,7091
1486285682,7112,7112
1486293363,7137,7137
1486301044,7158,7158
1486307044,7174,7174
1486315208,7177,7177
1486319044,7177,7177
1486326977,7190,7190
1486332964,7129,7129
1486336803,7106,7106
1486342809,7088,7088
1486350484,7097,7097
1486354322,7092,7092
1486362003,7070,7070
1486367763,7113,7113
1486373523,7118,7118
1486377364,7126,7126
1486379282,7134,7134
1486385054,7139,7139
1486388883,7134,7134
1486394644,7131,7131
1486398483,7122,7122
1486404483,7143,7143
1486410242,7146,7146
1486414083,7142,7142
1486419842,7129,7129
1486425613,7089,7089
1486433284,7102,7102
1486437123,7075,7075
1486442885,7097,7097
1486450564,7121,7121
1486456324,7120,7120
1486462085,7147,7147
1486467844,7159,7159
1486470022,7164,7164
1486477686,7167,7167
1486483684,7157,7157
1486487524,7171,7171
1486491604,7156,7156
1486495445,7163,7163
1486503124,7143,7143
1486506964,7125,7125
1486510814,7092,7092
1486518726,7103,7103
1486522566,7065,7065
1486528324,7059,7059
1486532405,7060,7060
1486536244,7073,7073
1486543926,7104,7104
1486549686,7112,7112
1486553525,7117,7117
1486557365,7113,7113
1486561211,7123,7123
1486566963,7129,7129
1486571043,7122,7122
1486577044,7130,7130
1486582808,7123,7123
1486586884,7125,7125
1486594564,7086,7086
1486602485,7070,7070
1486606326,7068,7068
1486614007,7057,7057
1486619766,7045,7045
1486625524,7066,7066
1486631525,7097,7097
1486635365,7096,7096
1486639204,7094,7094
1486645212,7087,7087
1486652887,7062,7062
1486658645,7079,7079
1486662484,7111,7111
1486670176,7118,7118
1486675925,7084,7084
1486683604,7036,7036
1486691766,7052,7052
1486695611,7036,7036
1486703285,7035,7035
1486709045,7049,7049
1486717222,7058,7058
1486722964,7064,7064
1486728724,7079,7079
1486736406,7098,7098
1486744083,7094,7094
1486750085,7097,7097
1486758008,7084,7084
1486761845,7067,7067
1486765685,7054,7054
1486771685,7023,7023
1486779363,7037,7037
1486783204,7023,7023
1486787044,7020,7020
1486794965,7010,7010
1486798805,7033,7033
1486800724,7029,7029
1486804575,7042,7042
1486810324,7064,7064
1486816324,7069,7069
1486822083,7075,7075
1486825924,7066,7066
1486831692,7083,7083
1486839365,7075,7075
1486847284,7073,7073
1486853044,7060,7060
1486856883,7031,7031
1486862645,7041,7041
1486866484,7046,7046
1486870324,7032,7032
1486874404,7008,7008
1486882324,7031,7031
1486888083,7027,7027
1486893844,7069,7069
1486899605,7087,7087
1486907284,7066,7066
1486911133,7100,7100
1486916886,7097,7097
1486922643,7099,7099
1486928405,7091,7091
1486930324,7080,7080
1486938483,7065,7065
1486942324,7044,7044
1486944486,7020,7020
1486950244,7022,7022
1486960086,7008,7008
1486962014,7001,7001
1486967766,7030,7030
1486975446,7027,7027
1486977604,7045,7045
1486981445,7040,7040
1486987446,7043,7043
1486991284,7040,7040
1486997283,7035,7035
1487003285,7063,7063
1487007123,7064,7064
1487011205,7069,7069
1487015044,7071,7071
1487016965,7065,7065
1487022724,7058,7058
1487026567,7058,7058
1487030411,7014,7014
1487036173,7029,7029
1487046005,7015,7015
1487051763,7005,7005
1487057524,7028,7028
1487059684,7028,7028
1487065445,7044,7044
1487069525,7040,7040
1487073375,7035,7035
1487075283,7042,7042
1487081044,7044,7044
1487086808,7040,7040
1487092563,7046,7046
1487098324,7066,7066
1487107925,7061,7061
1487113685,7046,7046
1487121364,7028,7028
1487125204,7020,7020
1487129068,7009,7009
1487134808,6986,6986
1487138644,6994,6994
1487144406,7024,7024
1487150405,7014,7014
1487156409,7021,7021
1487162164,7041,7041
1487166015,7027,7027
1487171764,7025,7025
1487177538,7030,7030
1487181364,7052,7052
1487187605,7053,7053
1487193365,7040,7040
1487197445,7056,7056
1487203444,7020,7020
1487209217,7030,7030
1487214964,6999,6999
1487218804,6999,6999
1487224565,6989,6989
1487226484,6988,6988
1487230323,7007,7007
1487234409,7022,7022
1487240406,7026,7026
1487246176,7024,7024
1487248084,7030,7030
1487255765,7028,7028
1487263444,7032,7032
1487269445,7049,7049
1487273524,7064,7064
1487281214,7070,7070
1487283124,7056,7056
1487286964,7041,7041
1487292724,7017,7017
1487296564,7032,7032
1487304483,7016,7016
1487310243,7000,7000
1487317925,7020,7020
1487325611,7043,7043
1487331365,7038,7038
1487337124,7038,7038
1487342883,7045,7045
1487346724,7049,7049
