DateTime,Entries,UniqueIPs
1487679163,4752,4851
1487681066,4751,4850
1487682987,4752,4853
1487686853,4753,4854
1487689391,4756,4857
1487691380,4747,4848
1487693302,4740,4842
1487695245,4735,4837
1487700987,4701,4802
1487702917,4720,4823
1487704829,4727,4830
1487706766,4707,4810
1487708649,4713,4816
1487710577,4726,4829
1487712502,4734,4836
1487714494,4743,4845
1487716347,4749,4852
1487718252,4761,4864
1487720182,4768,4871
1487722126,4777,4880
1487724052,4787,4890
1487725957,4793,4896
1487727880,4795,4898
1487729784,4794,4896
1487731702,4795,4898
1487733621,4797,4900
1487735567,4795,4898
1487737453,4795,4898
1487739378,4790,4892
1487741308,4796,4898
1487743318,4795,4897
1487745141,4784,4886
1487747328,4773,4874
1487749284,4766,4866
1487751170,4760,4860
1487753068,4747,4847
1487755249,4742,4843
1487757151,4756,4857
1487759056,4759,4862
1487760977,4755,4858
1487767000,4720,4823
1487768911,4704,4806
1487770821,4712,4814
1487772762,4709,4811
1487776589,4700,4802
1487778766,4696,4798
1487780668,4694,4796
1487782587,4696,4798
1487784510,4690,4793
1487786518,4708,4811
1487788340,4711,4814
1487790281,4697,4800
1487792197,4704,4807
1487794118,4699,4801
1487796026,4691,4793
1487797989,4680,4782
1487799860,4693,4795
1487801794,4675,4777
1487803719,4669,4771
1487805643,4672,4775
1487807568,4690,4794
1487809473,4703,4807
1487811384,4722,4827
1487813312,4722,4827
1487815305,4712,4817
1487817170,4725,4831
1487819061,4726,4832
1487820992,4720,4826
1487824829,4700,4808
1487826761,4692,4800
1487828670,4702,4810
1487830591,4681,4791
1487832508,4689,4799
1487834433,4695,4805
1487838259,4676,4784
1487840186,4685,4794
1487842112,4676,4785
1487844133,4666,4774
1487847878,4652,4760
1487849791,4641,4749
1487851704,4655,4764
1487853639,4639,4748
1487857454,4640,4749
1487859383,4639,4748
1487861308,4642,4752
1487867058,4635,4742
1487868996,4642,4749
1487870930,4645,4752
1487872916,4642,4748
1487876678,4622,4728
1487878601,4620,4727
1487880514,4611,4718
1487883175,4591,4698
1487887000,4579,4685
1487888921,4596,4702
1487890940,4609,4713
1487894677,4591,4695
1487896588,4603,4708
1487898522,4589,4692
1487900494,4592,4694
1487902354,4608,4710
1487904250,4603,4705
1487906186,4587,4688
1487908100,4611,4712
1487910048,4585,4685
1487911962,4601,4701
1487913871,4605,4705
1487915810,4605,4706
1487919728,4591,4693
1487921560,4607,4710
1487925640,4584,4687
1487927571,4582,4685
1487929465,4582,4685
1487931397,4572,4675
1487933317,4579,4682
1487937156,4565,4666
1487939066,4563,4664
1487940996,4564,4664
1487942899,4566,4666
1487946756,4548,4648
1487948675,4537,4637
1487950855,4540,4640
1487952742,4537,4637
1487956586,4527,4627
1487962356,4486,4585
1487964276,4496,4595
1487966193,4500,4599
1487968098,4503,4601
1487974134,4472,4570
1487976035,4473,4571
1487979853,4496,4595
1487981792,4504,4603
1487983717,4512,4612
1487985640,4527,4627
1487989465,4520,4620
1487993318,4533,4633
1487995311,4546,4646
1488001229,4510,4610
1488003150,4517,4616
1488006988,4500,4599
1488008898,4506,4606
1488010820,4499,4598
1488012737,4508,4607
1488016607,4498,4595
1488018511,4498,4594
1488020520,4496,4592
1488022352,4499,4595
1488026429,4488,4584
1488028387,4482,4578
1488032196,4479,4575
1488034122,4489,4584
1488037956,4491,4586
1488039854,4508,4603
1488041781,4505,4599
1488043696,4522,4616
1488045698,4520,4614
1488047560,4538,4632
1488049478,4537,4631
1488051394,4533,4629
1488053320,4532,4627
1488055236,4522,4617
1488057171,4528,4622
1488059062,4538,4632
1488062919,4533,4627
1488064818,4545,4639
1488066750,4551,4645
1488068655,4566,4661
1488070591,4577,4672
1488072522,4574,4669
1488074516,4569,4664
1488076352,4575,4670
1488084051,4541,4636
1488087863,4535,4629
1488091701,4532,4626
1488093627,4541,4635
1488095547,4549,4643
1488103318,4516,4610
1488105160,4514,4608
1488107068,4518,4612
1488108995,4522,4613
1488112849,4510,4601
1488120495,4491,4581
1488128195,4448,4537
1488130115,4466,4556
1488132116,4472,4564
1488133970,4467,4556
1488135872,4464,4553
1488139730,4454,4543
1488141632,4466,4555
1488143563,4485,4574
1488145465,4498,4587
1488147411,4512,4601
1488149335,4522,4612
1488151217,4525,4615
1488155066,4520,4609
1488156994,4519,4608
1488158925,4514,4603
1488160896,4511,4600
1488162749,4511,4600
1488164674,4512,4601
1488166597,4519,4607
1488168539,4513,4599
1488170429,4501,4587
1488172359,4494,4580
1488174249,4492,4579
1488178101,4468,4557
1488180044,4472,4561
1488181950,4470,4559
1488193720,4421,4510
1488195631,4425,4514
1488197803,4429,4518
1488199706,4439,4528
1488201635,4442,4531
1488203553,4433,4522
1488205451,4427,4516
1488207377,4409,4498
