DateTime,AddedIPs,RemovedIPs
1487648423,38,33
1487650352,52,40
1487652255,47,52
1487654189,46,46
1487656099,49,45
1487658042,53,50
1487659950,36,48
1487661865,46,37
1487665713,28,51
1487667732,24,29
1487669559,24,17
1487671479,26,24
1487675309,17,30
1487677219,20,20
1487679163,24,21
1487681066,28,25
1487682987,25,26
1487686853,50,22
1487689391,49,51
1487691380,25,51
1487693302,27,19
1487695245,28,32
1487700987,52,28
1487702917,45,49
1487704829,31,48
1487706766,14,30
1487708649,34,17
1487710577,37,29
1487712502,42,41
1487714494,40,42
1487716347,30,40
1487718252,44,28
1487720182,43,41
1487722126,40,42
1487724052,44,41
1487725957,43,47
1487727880,41,39
1487729784,41,38
1487731702,46,42
1487733621,38,48
1487735567,27,40
1487737453,48,27
1487739378,36,50
1487741308,46,34
1487743318,39,47
1487745141,41,36
1487747328,30,42
1487749284,51,27
1487751170,28,52
1487753068,28,39
1487755249,26,25
1487757151,38,24
1487759056,19,40
1487760977,26,20
1487767000,16,21
1487768911,19,19
1487770821,20,18
1487772762,56,21
1487776589,41,54
1487778766,34,43
1487780668,37,35
1487782587,35,38
1487784510,49,31
1487786518,47,46
1487788340,52,46
1487790281,31,54
1487792197,32,37
1487794118,31,24
1487796026,29,35
1487797989,30,25
1487799860,46,32
1487801794,25,47
1487803719,43,27
1487805643,46,38
1487807568,43,42
1487809473,54,47
1487811384,51,56
1487813312,30,57
1487815305,45,26
1487817170,34,36
1487819061,31,39
1487820992,40,35
1487824829,35,35
1487826761,45,40
1487828670,48,44
1487830591,44,48
1487832508,50,41
1487834433,30,45
1487838259,31,35
1487840186,23,36
1487842112,39,28
1487844133,41,35
1487847878,19,38
1487849791,33,24
1487851704,32,29
1487853639,23,34
1487857454,28,25
1487859383,46,25
1487861308,46,43
1487867058,43,46
1487868996,36,40
1487870930,37,40
1487872916,36,39
1487876678,32,36
1487878601,35,30
1487880514,40,35
1487883175,44,38
1487887000,43,45
1487888921,54,41
1487890940,46,55
1487894677,35,46
1487896588,42,37
1487898522,48,39
1487900494,42,50
1487902354,45,41
1487904250,52,44
1487906186,48,52
1487908100,50,51
1487910048,43,48
1487911962,41,43
1487913871,49,45
1487915810,49,46
1487919728,42,52
1487921560,41,38
1487925640,30,45
1487927571,28,29
1487929465,35,30
1487931397,21,36
1487933317,31,22
1487937156,21,31
1487939066,21,21
1487940996,26,20
1487942899,21,26
1487946756,42,22
1487948675,33,40
1487950855,42,32
1487952742,33,41
1487956586,51,32
1487962356,51,55
1487964276,51,45
1487966193,35,50
1487968098,39,40
1487974134,23,42
1487976035,46,17
1487979853,48,49
1487981792,51,46
1487983717,51,52
1487985640,47,50
1487989465,47,46
1487993318,47,49
1487995311,40,48
1488001229,42,39
1488003150,49,45
1488006988,45,47
1488008898,51,44
1488010820,37,52
1488012737,24,35
1488016607,37,28
1488018511,23,34
1488020520,18,25
1488022352,9,17
1488026429,26,10
1488028387,19,26
1488032196,34,21
1488034122,43,34
1488037956,33,41
1488039854,49,32
1488041781,23,51
1488043696,54,24
1488045698,40,51
1488047560,35,34
1488049478,34,36
1488051394,30,38
1488053320,19,27
1488055236,22,22
1488057171,42,21
1488059062,43,41
1488062919,50,45
1488064818,52,50
1488066750,43,49
1488068655,49,46
1488070591,54,50
1488072522,21,51
1488074516,43,23
1488076352,32,45
1488084051,44,31
1488087863,39,38
1488091701,42,44
1488093627,41,40
1488095547,34,41
1488103318,27,37
1488105160,20,24
1488107068,29,23
1488108995,28,29
1488112849,24,26
1488120495,45,28
1488128195,32,45
1488130115,45,30
1488132116,25,48
1488133970,23,21
1488135872,21,20
1488139730,27,22
1488141632,36,28
1488143563,50,32
1488145465,54,52
1488147411,39,50
1488149335,44,38
1488151217,47,50
1488155066,51,44
1488156994,35,50
1488158925,19,41
1488160896,38,22
1488162749,51,32
1488164674,49,48
1488166597,45,45
1488168539,34,54
1488170429,22,35
1488172359,22,21
1488174249,39,18
