DateTime,Entries,UniqueIPs
1483376424,1443,1443
1483387438,1442,1442
1483398482,1443,1443
1483409466,1446,1446
1483420572,1448,1448
1483431560,1453,1453
1483442607,1454,1454
1483453615,1445,1445
1483464744,1447,1447
1483475945,1445,1445
1483487042,1452,1452
1483498029,1453,1453
1483508772,1456,1456
1483519297,1453,1453
1483530010,1452,1452
1483540898,1456,1456
1483551240,1456,1456
1483562100,1458,1458
1483573191,1466,1466
1483584113,1472,1472
1483595054,1476,1476
1483606036,1474,1474
1483617117,1477,1477
1483628023,1476,1476
1483638447,1478,1478
1483649279,1477,1477
1483660183,1477,1477
1483671074,1478,1478
1483682140,1484,1484
1483693223,1484,1484
1483704258,1485,1485
1483715003,1487,1487
1483726077,1490,1490
1483737128,1496,1496
1483748384,1497,1497
1483759455,1503,1503
1483770472,1502,1502
1483781380,1502,1502
1483792160,1503,1503
1483802954,1503,1503
1483813909,1502,1502
1483824636,1506,1506
1483835417,1508,1508
1483846576,1507,1507
1483857779,1503,1503
1483868904,1505,1505
1483879784,1502,1502
1483890983,1509,1509
1483901836,1510,1510
1483912856,1513,1513
1483923809,1512,1512
1483935022,1516,1516
1483946191,1522,1522
1483957227,1521,1521
1483968170,1523,1523
1483979301,1526,1526
1483990230,1533,1533
1484001230,1541,1541
1484012194,1546,1546
1484023160,1550,1550
1484034226,1546,1546
1484045292,1548,1548
1484056342,1548,1548
1484067458,1551,1551
1484078451,1558,1558
1484089714,1561,1561
1484100627,1568,1568
1484111523,1567,1567
1484122776,1574,1574
1484133794,1576,1576
1484144903,1579,1579
1484155847,1580,1580
1484166900,1579,1579
1484178016,1584,1584
1484189056,1586,1586
1484200022,1589,1589
1484211122,1590,1590
1484222183,1599,1599
1484233084,1607,1607
1484244059,1606,1606
1484255221,1608,1608
1484266286,1607,1607
1484277356,1614,1614
1484288171,1618,1618
1484299171,1625,1625
1484310210,1630,1630
1484320999,1627,1627
1484332088,1624,1624
1484343094,1621,1621
1484354139,1612,1612
1484365171,1614,1614
1484376233,1608,1608
1484387303,1607,1607
1484398390,1616,1616
1484409386,1619,1619
1484420426,1622,1622
1484431622,1622,1622
1484442690,1618,1618
1484453737,1621,1621
1484464739,1619,1619
1484475858,1620,1620
1484486709,1613,1613
1484497583,1616,1616
1484508553,1616,1616
1484519473,1624,1624
1484530431,1622,1622
1484541255,1626,1626
1484552127,1632,1632
1484563170,1634,1634
1484573997,1633,1633
1484584804,1632,1632
1484595738,1629,1629
1484606602,1625,1625
1484617559,1622,1622
1484628474,1624,1624
1484639461,1630,1630
1484650554,1630,1630
1484661636,1625,1625
1484672453,1623,1623
1484683441,1626,1626
1484694355,1627,1627
1484705179,1631,1631
1484715827,1641,1641
1484726870,1646,1646
1484737892,1647,1647
1484748946,1650,1650
1484759948,1654,1654
1484771066,1653,1653
1484782088,1657,1657
1484793078,1655,1655
1484803987,1659,1659
1484814947,1666,1666
1484825672,1661,1661
1484836772,1665,1665
1484847538,1666,1666
1484858204,1661,1661
1484869036,1661,1661
1484880256,1662,1662
1484890786,1661,1661
1484901433,1662,1662
1484912369,1670,1670
1484923261,1670,1670
1484934041,1665,1665
1484944842,1670,1670
1484955850,1671,1671
1484966458,1670,1670
1484977260,1672,1672
1484988059,1675,1675
1484998926,1673,1673
1485009833,1676,1676
1485020871,1676,1676
1485031904,1671,1671
1485042315,1671,1671
1485053047,1676,1676
1485064351,1681,1681
1485075147,1683,1683
1485086207,1684,1684
1485097165,1683,1683
1485108450,1671,1671
1485119523,1668,1668
1485130766,1672,1672
1485141641,1662,1662
1485152559,1662,1662
1485163622,1658,1658
1485174653,1662,1662
1485185658,1669,1669
1485196583,1662,1662
1485207608,1662,1662
1485218558,1667,1667
1485229633,1662,1662
1485240716,1660,1660
1485251702,1663,1663
1485262879,1654,1654
1485273705,1648,1648
1485284660,1644,1644
1485295488,1642,1642
1485306486,1637,1637
1485317513,1643,1643
1485328565,1639,1639
1485339465,1637,1637
1485350336,1638,1638
1485361309,1635,1635
1485372195,1632,1632
1485383284,1632,1632
1485394047,1625,1625
1485404880,1628,1628
1485415859,1623,1623
1485426939,1622,1622
1485437691,1618,1618
1485448772,1622,1622
1485459812,1615,1615
1485470852,1603,1603
1485481822,1601,1601
1485492732,1594,1594
1485503771,1588,1588
1485514784,1582,1582
1485526095,1593,1593
1485536918,1584,1584
1485548153,1575,1575
1485559102,1574,1574
1485569874,1566,1566
1485580809,1559,1559
1485591828,1549,1549
1485602839,1548,1548
1485613925,1543,1543
1485624978,1533,1533
1485636000,1532,1532
1485646973,1522,1522
1485657991,1526,1526
1485669075,1523,1523
1485680014,1524,1524
1485690830,1522,1522
1485701707,1516,1516
1485712882,1519,1519
1485723709,1516,1516
1485734780,1512,1512
1485745701,1508,1508
1485756495,1506,1506
1485767526,1507,1507
1485778581,1505,1505
1485789879,1504,1504
1485800972,1504,1504
1485811918,1511,1511
1485822840,1511,1511
1485833613,1510,1510
1485844404,1512,1512
1485855281,1515,1515
1485866208,1511,1511
1485877170,1508,1508
1485888200,1499,1499
1485899231,1506,1506
1485910326,1507,1507
1485921288,1503,1503
1485932366,1499,1499
1485943229,1497,1497
1485954472,1498,1498
1485965479,1504,1504
1485976699,1506,1506
1485987758,1504,1504
1485998869,1502,1502
1486009774,1499,1499
1486020624,1490,1490
1486031775,1483,1483
1486042681,1481,1481
1486053573,1483,1483
1486064375,1482,1482
1486075470,1479,1479
1486086465,1472,1472
1486097120,1467,1467
1486108056,1466,1466
1486119022,1466,1466
1486130158,1463,1463
1486141239,1463,1463
1486151859,1458,1458
1486162663,1453,1453
1486173418,1444,1444
1486184160,1447,1447
1486195240,1448,1448
1486206468,1448,1448
