DateTime,Entries,UniqueIPs
1488387396,61968,61968
1488388353,61974,61974
1488389350,61974,61974
1488390271,61973,61973
1488391309,61969,61969
1488392460,61975,61975
1488393391,61979,61979
1488394344,61998,61998
1488395318,62002,62002
1488396259,62016,62016
1488397214,62014,62014
1488398207,62000,62000
1488399150,62011,62011
1488400132,61996,61996
1488401075,61998,61998
1488402105,62011,62011
1488403242,62021,62021
1488404177,62019,62019
1488405149,62033,62033
1488406143,62032,62032
1488407050,62045,62045
1488408029,62037,62037
1488408984,62035,62035
1488409964,62040,62040
1488410914,62038,62038
1488411875,62007,62007
1488412907,62007,62007
1488413805,62010,62010
1488414036,62015,62015
1488414753,62026,62026
1488414988,62026,62026
1488415721,62018,62018
1488415936,62020,62020
1488416667,62024,62024
1488416912,62021,62021
1488417694,62008,62008
1488418113,62012,62012
1488418613,62004,62004
1488419077,62004,62004
1488419564,62013,62013
1488420111,62011,62011
1488420525,62006,62006
1488421211,62008,62008
1488421475,62017,62017
1488422226,62021,62021
1488422671,62020,62020
1488423144,62015,62015
1488423695,61992,61992
1488424103,61993,61993
1488424831,61999,61999
1488425059,62001,62001
1488425801,62006,62006
1488426019,62004,62004
1488426762,61992,61992
1488426972,61992,61992
1488427713,62008,62008
1488427957,62012,62012
1488428673,62005,62005
1488428895,62006,62006
1488429630,61996,61996
1488429848,61996,61996
1488430595,61991,61991
1488430972,61991,61991
1488431543,61999,61999
1488432031,62003,62003
1488432501,62003,62003
1488432976,62002,62002
1488433448,61996,61996
1488433948,61994,61994
1488434503,61998,61998
1488434895,61996,61996
1488435649,61980,61980
1488435850,61985,61985
1488436594,61967,61967
1488436830,61969,61969
1488437565,61976,61976
1488437772,61974,61974
1488438497,61974,61974
1488438764,61978,61978
1488439454,61964,61964
1488439712,61972,61972
1488440429,61951,61951
1488440660,61947,61947
1488441384,61952,61952
1488441693,61949,61949
1488442348,61950,61950
1488442598,61956,61956
1488443302,61953,61953
1488443555,61951,61951
1488444285,61925,61925
1488444766,61923,61923
1488445298,61925,61925
1488445710,61935,61935
1488446441,61942,61942
1488446655,61941,61941
1488447395,61910,61910
1488447611,61915,61915
1488448346,61922,61922
