DateTime,AddedIPs,RemovedIPs
1488414753,17,8
1488414988,4,7
1488415721,3,12
1488415936,9,12
1488416667,12,11
1488416912,5,11
1488417694,12,8
1488418113,18,12
1488418613,5,9
1488419077,6,15
1488419564,12,9
1488420111,8,1
1488420525,9,9
1488421211,5,16
1488421475,17,10
1488422226,6,17
1488422671,15,7
1488423144,5,5
1488423695,11,10
1488424103,8,13
1488424831,6,6
1488425059,11,13
1488425801,16,10
1488426019,6,3
1488426762,5,11
1488426972,6,7
1488427713,16,10
1488427957,15,11
1488428673,8,9
1488428895,7,13
1488429630,2,8
1488429848,6,11
1488430595,7,5
1488430972,10,3
1488431543,8,6
1488432031,18,13
1488432501,8,8
1488432976,12,17
1488433448,9,4
1488433948,10,16
1488434503,13,10
1488434895,10,12
1488435649,14,6
1488435850,18,13
1488436594,6,4
1488436830,13,10
1488437565,7,6
1488437772,11,7
1488438497,6,9
1488438764,6,8
1488439454,5,3
1488439712,15,6
1488440429,8,16
1488440660,8,6
1488441384,5,9
1488441693,20,11
1488442348,17,4
1488442598,8,4
1488443302,3,12
1488443555,10,12
1488444285,7,7
1488444766,8,15
1488445298,3,10
1488445710,28,20
1488446441,14,6
1488446655,10,8
1488447395,6,6
1488447611,15,9
1488448346,7,13
1488448608,9,12
1488449314,9,8
1488449546,16,10
1488450254,8,7
1488450519,11,2
1488451309,12,12
1488451468,10,10
1488452503,36,12
1488453624,20,13
1488454585,13,19
1488455543,12,5
1488456513,31,32
1488457457,26,12
1488458413,21,15
1488459387,22,30
1488460355,26,22
1488461313,11,14
1488462253,19,27
1488463304,20,13
1488464418,34,20
1488465397,15,20
1488466343,27,20
1488467305,21,28
1488468262,23,15
1488469214,20,22
1488470190,17,28
1488471163,9,24
1488472111,12,14
1488473061,23,23
1488474129,23,16
1488475273,37,34
1488476187,18,23
1488477159,11,17
1488478107,24,27
1488479053,21,20
1488480011,81,36
1488480998,65,22
1488481963,66,16
1488482913,61,30
1488483888,49,18
1488484912,40,23
1488486036,60,21
1488486976,32,29
1488487958,20,1
1488488905,19,36
1488489851,22,2
1488490826,20,28
1488491791,22,18
1488492764,35,36
1488493728,23,3
1488494670,38,43
1488495710,16,0
1488496849,27,40
1488497787,24,6
1488498755,13,39
1488499712,32,43
1488500675,13,21
1488501625,18,26
1488502604,24,19
1488503555,21,18
1488504524,10,16
1488505462,19,22
1488506517,10,22
1488507624,33,1
1488508601,23,45
1488509539,14,1
1488510509,25,30
1488511471,11,16
1488512413,22,1
1488513391,15,26
1488514374,25,12
1488515308,30,23
1488516261,9,1
1488517324,27,43
1488518468,31,14
1488519423,20,23
1488520362,12,15
1488521295,17,2
1488522264,28,39
1488523228,10,27
1488524174,18,2
1488525160,29,55
1488526111,11,12
1488527053,7,1
1488528104,12,55
1488529006,14,1
1488529951,45,36
1488530928,88,37
1488531869,51,34
1488532858,58,26
1488533794,24,38
1488534761,31,43
1488535730,73,32
1488536670,27,17
1488537640,29,32
1488538589,23,15
1488539820,37,24
1488540767,21,24
1488541715,19,12
1488542920,19,25
1488543861,16,19
1488544839,22,17
1488545794,18,29
1488546763,18,23
1488547708,9,6
1488548673,17,33
1488549703,18,29
1488550608,13,17
1488551565,27,17
1488552525,13,21
1488553475,22,37
1488554443,19,27
1488555387,17,14
1488556366,20,38
1488557332,16,18
1488558267,8,36
1488559232,17,19
1488560202,27,33
1488561153,18,23
1488562126,11,17
1488563063,30,25
1488564095,27,21
1488565223,19,18
1488566190,16,18
1488567134,20,15
1488568107,26,49
1488569060,15,25
1488570014,24,17
1488570976,26,29
1488571966,25,32
1488572908,11,20
1488573861,23,30
1488574912,27,36
1488576038,15,17
1488577256,18,28
1488578208,17,24
1488579160,17,17
1488580116,12,14
1488581068,14,27
1488582109,27,27
1488583558,20,16
1488584998,29,23
1488586110,18,21
1488587059,17,15
1488588015,20,24
1488588979,17,11
1488589973,27,29
1488590909,11,17
1488591871,13,16
1488592906,21,28
1488594029,19,39
1488594985,18,1
1488595963,19,32
1488596898,21,2
1488597860,10,8
1488598820,34,27
