DateTime,Entries,UniqueIPs
1488450519,2724,2724
1488451309,2717,2717
1488451468,2717,2717
1488452503,2716,2716
1488453624,2717,2717
1488454585,2718,2718
1488455543,2708,2708
1488456513,2709,2709
1488457457,2711,2711
1488458413,2711,2711
1488459387,2710,2710
1488460355,2712,2712
1488461313,2703,2703
1488462253,2696,2696
1488463304,2688,2688
1488464418,2687,2687
1488465397,2685,2685
1488466343,2684,2684
1488467305,2680,2680
1488468262,2678,2678
1488469214,2677,2677
1488470190,2673,2673
1488471163,2663,2663
1488472111,2660,2660
1488473061,2657,2657
1488474129,2654,2654
1488475273,2650,2650
1488476187,2644,2644
1488477159,2636,2636
1488478107,2636,2636
1488479053,2620,2620
1488480011,2616,2616
1488480998,2617,2617
1488481963,2624,2624
1488482913,2632,2632
1488483888,2633,2633
1488484912,2634,2634
1488486036,2625,2625
1488486976,2629,2629
1488487958,2629,2629
1488488905,2628,2628
1488489851,2629,2629
1488490826,2620,2620
1488491791,2614,2614
1488492764,2618,2618
1488493728,2620,2620
1488494670,2622,2622
1488495710,2617,2617
1488496849,2617,2617
1488497787,2618,2618
1488498755,2611,2611
1488499712,2614,2614
1488500675,2614,2614
1488501625,2607,2607
1488502604,2617,2617
1488503555,2622,2622
1488504524,2617,2617
1488505462,2618,2618
1488506517,2610,2610
1488507624,2609,2609
1488508601,2613,2613
1488509539,2611,2611
1488510509,2614,2614
1488511471,2615,2615
1488512413,2620,2620
1488513391,2617,2617
1488514374,2616,2616
1488515308,2623,2623
1488516261,2621,2621
1488517324,2628,2628
1488518468,2626,2626
1488519423,2630,2630
1488520362,2626,2626
1488521295,2628,2628
1488522264,2635,2635
1488523228,2629,2629
1488524174,2634,2634
1488525160,2638,2638
1488526111,2640,2640
1488527053,2632,2632
1488528104,2622,2622
1488529006,2602,2602
1488529951,2594,2594
1488530928,2586,2586
1488531869,2580,2580
1488532858,2591,2591
1488533794,2589,2589
1488534761,2587,2587
1488535730,2592,2592
1488536670,2599,2599
