DateTime,AddedIPs,RemovedIPs
1488379460,7,7
1488380508,13,10
1488381616,14,3
1488382574,5,8
1488383541,12,5
1488384531,9,11
1488385449,5,5
1488386415,18,9
1488387394,9,3
1488388350,12,13
1488389348,8,4
1488390269,10,3
1488391307,10,9
1488392458,21,3
1488393388,6,9
1488394342,15,3
1488395315,6,9
1488396257,13,8
1488397212,6,11
1488398205,4,4
1488399148,7,4
1488400130,11,9
1488401073,11,6
1488402103,8,8
1488403240,14,4
1488404174,9,6
1488405146,13,6
1488406140,12,6
1488407047,7,6
1488408027,7,1
1488408982,2,7
1488409961,9,6
1488410912,7,5
1488411873,10,6
1488412904,12,2
1488413805,3,10
1488414753,17,8
1488415721,4,11
1488416667,12,11
1488417694,12,8
1488418613,5,9
1488419564,12,9
1488420525,10,8
1488421475,17,10
1488422671,16,6
1488423695,11,10
1488424831,6,6
1488425801,16,10
1488426762,5,11
1488427713,16,10
1488428673,8,9
1488429630,2,8
1488430595,7,5
1488431543,8,6
1488432501,8,8
1488433448,9,4
1488434503,13,10
1488435649,15,5
1488436594,6,4
1488437565,7,6
1488438497,6,9
1488439454,5,3
1488440429,8,16
1488441384,5,9
1488442348,17,4
1488443302,4,11
1488444285,7,7
1488445298,4,9
1488446441,14,6
1488447395,6,6
1488448346,7,13
1488449314,9,8
1488450254,8,7
1488451309,13,11
1488452501,13,3
1488453622,9,10
1488454582,6,8
1488455540,7,3
1488456510,6,10
1488457455,15,4
1488458411,14,4
1488459384,6,17
1488460352,14,12
1488461310,4,8
1488462250,11,13
1488463301,11,6
1488464415,14,8
1488465395,8,8
1488466341,11,4
1488467303,7,10
1488468260,9,4
1488469212,11,11
1488470187,5,13
1488471161,2,7
1488472108,4,2
1488473059,12,13
1488474127,9,7
1488475271,9,12
1488476185,5,10
1488477157,3,7
1488478103,1,16
1488479051,1,4
1488480009,1,8
1488480996,12,7
1488481961,15,6
1488482911,15,11
1488483886,8,6
1488484909,14,12
1488486034,8,3
1488486974,9,14
1488487956,9,0
1488488902,8,22
1488489849,7,0
1488490824,7,16
1488491788,4,6
1488492761,12,12
1488493726,8,0
1488494668,13,13
1488495708,5,0
1488496847,5,15
1488497785,8,0
1488498753,3,18
1488499710,12,20
1488500673,9,9
1488501623,3,11
1488502602,17,8
1488503553,12,9
1488504522,3,6
1488505460,13,13
1488506515,6,18
1488507622,16,0
1488508599,7,18
1488509537,10,0
1488510507,12,19
1488511468,4,8
1488512411,11,0
1488513389,8,14
1488514371,12,3
1488515306,11,15
1488516259,5,0
1488517321,12,28
1488518466,10,5
1488519421,11,9
1488520359,3,8
1488521293,15,0
1488522262,10,18
1488523225,3,14
1488524172,9,0
1488525157,12,29
1488526109,7,8
1488527048,5,0
1488528100,0,26
1488529004,2,0
1488529948,1,16
1488530926,0,11
1488531867,8,14
1488532856,19,14
1488533792,4,21
1488534759,9,22
1488535728,10,16
1488536668,18,13
1488537638,13,13
1488538586,6,9
1488539818,11,14
1488540765,13,13
1488541713,10,6
1488542918,8,15
1488543859,7,10
1488544837,11,11
1488545792,4,13
1488546761,8,11
1488547705,1,6
1488548671,9,22
1488549700,10,17
1488550605,6,11
1488551563,12,11
1488552523,6,11
1488553473,10,19
1488554441,5,18
1488555384,9,9
1488556363,7,29
1488557330,8,10
1488558264,5,25
1488559230,7,13
1488560200,12,22
1488561151,7,11
1488562124,4,10
1488563060,6,15
1488564093,8,6
1488565221,8,10
1488566188,10,10
1488567132,8,4
1488568104,6,32
1488569058,9,16
1488570012,8,6
1488570974,9,8
1488571964,6,9
1488572906,2,2
1488573859,9,14
1488574909,11,3
1488576036,3,7
1488577254,7,8
1488578205,5,11
1488579157,8,7
1488580114,4,6
1488581066,10,9
1488582107,10,9
1488583555,11,7
1488584995,8,10
1488586108,9,5
1488587056,14,8
1488588013,12,9
1488588977,4,1
1488589970,12,10
1488590907,3,10
1488591869,7,6
1488592904,9,15
1488594027,9,19
1488594983,7,0
1488595961,7,12
1488596896,10,0
1488597857,4,4
1488598818,14,13
1488599771,2,0
1488600759,5,21
1488601722,5,11
1488602665,9,7
1488603696,8,7
1488604837,11,10
1488605785,3,5
1488606732,6,10
1488607712,7,9
1488608652,12,9
1488609617,10,14
1488610590,4,5
1488611547,5,7
1488612516,3,10
1488613471,13,5
1488614499,9,8
1488615402,7,9
1488616370,12,8
1488617305,9,15
1488618267,9,12
1488619249,10,10
1488620196,9,0
1488621146,19,13
1488622114,6,7
1488623062,11,10
1488624031,16,5
1488625001,6,13
1488625965,13,2
1488626904,7,0
1488627874,13,25
1488628920,9,11
1488630041,10,5
1488630975,9,0
1488631945,15,21
1488632909,13,0
1488633850,8,1
1488634814,8,8
1488635800,0,7
1488636746,7,5
1488637713,5,7
1488638669,12,3
1488639690,12,1
1488640831,10,10
1488641809,2,12
1488642746,12,5
1488643706,13,3
1488644664,11,3
1488645621,13,13
1488646586,8,8
1488647555,19,13
1488648518,4,9
1488649464,14,8
1488650507,9,14
1488651611,8,8
1488652597,10,12
1488653554,14,9
1488654508,14,11
1488655456,8,4
1488656433,8,6
1488657391,3,12
1488658347,9,9
1488659324,7,4
1488660262,12,16
1488661310,9,8
1488662451,11,3
1488663377,10,4
1488664344,11,3
1488665302,9,9
1488666250,4,6
1488667216,4,5
1488668191,2,10
1488669148,7,8
1488670094,4,1
1488671056,6,3
1488672103,5,8
1488673236,17,10
1488674197,4,18
1488675159,10,17
1488676114,7,0
1488677059,10,26
1488678010,10,0
1488678995,4,15
1488679945,4,10
1488680907,3,31
1488681855,5,0
1488682912,6,21
1488684036,8,15
1488684990,6,8
1488685937,8,14
1488686918,2,5
1488687853,7,10
1488688811,11,11
1488689780,8,5
1488690747,5,13
1488691693,7,20
1488692661,5,7
1488693698,4,29
1488694599,8,9
1488695816,6,18
1488696746,6,21
1488697709,6,10
1488698662,12,9
1488699628,6,19
1488700597,7,18
1488701556,4,13
1488702518,5,20
1488703462,8,8
1488704512,19,20
1488705640,19,11
1488706841,9,24
1488707824,8,21
1488708756,8,15
1488709723,9,8
1488710659,17,19
1488711712,20,8
1488712698,6,14
1488713780,16,21
1488714744,3,13
1488715727,5,23
1488716671,24,11
1488717644,7,20
1488718583,9,19
1488719571,18,25
1488720521,5,6
1488721464,8,37
1488722507,17,18
1488723639,7,20
1488724572,8,31
1488725555,20,16
1488726509,17,18
1488727477,9,14
1488728423,17,28
1488729397,4,28
1488730366,13,13
1488731318,5,15
1488732259,17,9
1488733314,12,32
1488734439,16,34
1488735383,9,0
1488736357,13,22
1488737317,6,10
1488738267,14,16
1488739244,26,46
1488740182,7,0
1488741158,19,22
1488742101,5,7
1488743080,9,22
1488744109,15,22
1488745236,28,46
1488746186,14,0
1488747135,5,19
1488748115,16,27
1488749052,6,0
1488750014,19,16
1488751001,2,23
1488751947,17,0
1488752910,7,24
1488753872,7,16
1488754900,18,0
1488756052,10,13
1488756984,1,0
1488757962,14,23
1488758902,17,0
1488759857,1,18
1488760836,11,15
1488761802,5,11
1488762762,15,0
1488763717,3,5
1488764671,14,31
1488765702,17,0
1488766834,12,28
1488767793,4,10
1488768754,13,9
1488769710,5,13
1488770663,8,5
1488771620,9,2
1488772582,2,0
1488773554,11,18
1488774509,7,8
1488775471,7,9
1488776532,9,6
1488777638,19,7
1488778585,5,5
1488779534,8,9
1488780513,5,7
1488781457,15,5
1488782412,13,8
1488783394,10,11
1488784352,8,23
1488785318,5,16
1488786272,10,12
1488787317,15,9
1488788436,10,4
1488789378,5,13
1488790344,8,8
1488791304,9,8
1488792251,7,3
1488793223,11,8
1488794189,14,5
1488795145,7,10
1488796092,8,6
1488797065,14,13
1488798095,12,8
1488799217,12,14
1488800335,5,9
1488801388,7,11
1488802353,15,6
1488803315,6,5
1488804264,8,5
1488805316,10,4
1488806453,13,6
1488807380,5,9
1488808355,7,6
1488809294,5,6
1488810268,7,4
1488811230,12,5
1488812190,2,6
1488813160,11,3
1488814110,5,2
1488815060,6,7
1488816133,18,5
1488817225,10,4
1488818182,1,12
1488819168,12,5
1488820116,5,8
1488821063,11,3
1488822032,12,7
1488822990,15,16
1488823964,8,6
1488824900,16,3
1488825856,8,4
1488826900,14,5
1488827806,7,7
1488828762,8,4
1488829731,8,4
1488830921,16,8
1488831873,12,5
1488832823,10,4
1488833793,4,7
1488834738,5,5
1488835700,11,3
1488836648,9,8
1488837708,11,4
1488838823,5,2
1488839779,6,6
1488840766,8,4
1488841693,7,6
1488842662,13,3
1488843611,5,7
1488844580,2,6
1488845546,4,9
1488846504,4,4
1488847452,15,8
1488848489,14,7
1488849397,6,2
1488850356,17,6
1488851315,5,6
1488852267,12,11
1488853246,16,4
1488854200,4,12
1488855180,19,6
1488856119,9,13
1488857316,5,4
1488858291,6,12
1488859313,4,6
1488860425,13,4
1488861387,7,0
1488862361,10,0
1488863303,9,2
1488864276,2,4
1488865217,17,6
1488866199,10,5
1488867139,6,5
1488868098,5,4
1488869050,15,5
1488870106,10,4
1488871221,10,13
