DateTime,Entries,UniqueIPs
1488371063,6171,6197
1488372027,6176,6202
1488372990,6175,6201
1488373952,6177,6203
1488374926,6183,6209
1488375862,6195,6222
1488376912,6210,6237
1488378528,6211,6238
1488379460,6211,6238
1488380508,6213,6241
1488381616,6224,6252
1488382574,6221,6249
1488383541,6228,6256
1488384531,6226,6254
1488385449,6226,6254
1488386415,6235,6263
1488387394,6241,6269
1488388350,6240,6268
1488389348,6244,6272
1488390269,6251,6279
1488391307,6252,6280
1488392458,6270,6298
1488393388,6267,6295
1488394342,6278,6307
1488395315,6275,6304
1488396257,6278,6309
1488397212,6273,6304
1488398205,6273,6304
1488399148,6276,6307
1488400130,6278,6309
1488401073,6283,6314
1488402103,6284,6314
1488403240,6294,6324
1488404174,6297,6327
1488405146,6304,6334
1488406140,6310,6340
1488407047,6311,6341
1488408027,6317,6347
1488408982,6312,6342
1488409961,6315,6345
1488410912,6317,6347
1488411873,6321,6351
1488412904,6329,6361
1488413805,6322,6354
1488414753,6331,6363
1488415721,6323,6356
1488416667,6324,6357
1488417694,6328,6361
1488418613,6324,6357
1488419564,6327,6360
1488420525,6328,6362
1488421475,6335,6369
1488422671,6344,6379
1488423695,6345,6380
1488424831,6345,6380
1488425801,6351,6386
1488426762,6345,6380
1488427713,6351,6386
1488428673,6350,6385
1488429630,6344,6379
1488430595,6346,6381
1488431543,6348,6383
1488432501,6348,6383
1488433448,6353,6388
1488434503,6356,6391
1488435649,6365,6401
1488436594,6367,6403
1488437565,6368,6404
1488438497,6365,6401
1488439454,6367,6403
1488440429,6359,6395
1488441384,6355,6391
1488442348,6368,6404
1488443302,6360,6397
1488444285,6360,6397
1488445298,6354,6392
1488446441,6362,6400
1488447395,6362,6400
1488448346,6356,6394
1488449314,6357,6395
1488450254,6358,6396
1488451309,6359,6398
1488452501,6369,6408
1488453622,6368,6407
1488454582,6366,6405
1488455540,6370,6409
1488456510,6366,6405
1488457455,6377,6416
1488458411,6387,6426
1488459384,6374,6415
1488460352,6374,6417
1488461310,6370,6413
1488462250,6366,6411
1488463301,6371,6416
1488464415,6375,6422
1488465395,6375,6422
1488466341,6379,6429
1488467303,6376,6426
1488468260,6381,6431
1488469212,6381,6431
1488470187,6373,6423
1488471161,6368,6418
1488472108,6370,6420
1488473059,6368,6419
1488474127,6370,6421
1488475271,6367,6418
1488476185,6362,6413
1488477157,6358,6409
1488478103,6343,6394
1488479051,6340,6391
1488480009,6333,6384
1488480996,6338,6389
1488481961,6347,6398
1488482911,6350,6402
1488483886,6350,6404
1488484909,6352,6406
1488486034,6356,6411
1488486974,6351,6406
1488487956,6360,6415
1488488902,6346,6401
1488489849,6353,6408
1488490824,6344,6399
