DateTime,AddedIPs,RemovedIPs
1488356411,13,8
1488357399,9,7
1488358334,17,10
1488359302,6,7
1488360261,8,5
1488361214,12,14
1488362194,10,7
1488363154,5,6
1488364210,13,9
1488365322,4,5
1488366273,12,7
1488367247,7,8
1488368188,2,10
1488369174,13,10
1488370097,6,1
1488371063,11,10
1488372027,10,8
1488372990,9,11
1488373952,9,7
1488374926,10,5
1488375862,20,11
1488376912,19,7
1488378528,14,5
1488379460,7,6
1488380508,13,4
1488381616,14,5
1488382574,5,2
1488383541,12,3
1488384531,9,6
1488385449,5,1
1488386415,18,6
1488387394,9,3
1488388350,12,10
1488389348,8,3
1488390269,10,10
1488391307,10,11
1488392458,21,8
1488393388,6,4
1488394342,15,5
1488395315,6,9
1488396257,13,4
1488397212,6,5
1488398205,4,5
1488399148,7,12
1488400130,11,2
1488401073,11,3
1488402103,8,7
1488403240,14,5
1488404174,9,3
1488405146,13,8
1488406140,12,10
1488407047,7,6
1488408027,7,9
1488408982,2,4
1488409961,9,7
1488410912,7,3
1488411873,10,5
1488412904,12,8
1488413805,3,3
1488414753,17,8
1488415721,4,6
1488416667,12,5
1488417694,12,15
1488418613,5,3
1488419564,12,10
1488420525,10,3
1488421475,17,10
1488422671,16,6
1488423695,11,12
1488424831,6,5
1488425801,16,9
1488426762,5,8
1488427713,16,8
1488428673,8,3
1488429630,2,6
1488430595,7,5
1488431543,8,10
1488432501,8,6
1488433448,9,6
1488434503,13,9
1488435649,15,9
1488436594,6,4
1488437565,7,8
1488438497,6,6
1488439454,5,15
1488440429,8,5
1488441384,5,11
1488442348,17,15
1488443302,4,8
1488444285,7,14
1488445298,4,18
1488446441,14,17
1488447395,6,12
1488448346,7,14
1488449314,9,9
1488450254,8,9
1488451309,13,20
1488452501,13,14
1488453622,9,8
1488454582,6,5
1488455540,7,17
1488456510,6,5
1488457455,15,13
1488458411,14,14
1488459384,6,7
1488460352,14,12
1488461310,4,13
1488462250,11,18
1488463301,11,19
1488464415,14,15
1488465395,8,10
1488466341,11,12
1488467303,7,11
1488468260,9,11
1488469212,11,12
1488470187,5,9
1488471161,2,12
1488472108,4,7
1488473059,12,15
1488474127,9,12
1488475271,9,13
1488476185,5,11
1488477157,3,11
1488478103,1,1
1488479051,1,17
1488480009,1,5
1488480996,12,11
1488481961,15,8
1488482911,15,7
1488483886,8,7
1488484909,14,13
1488486034,8,17
1488486974,9,5
1488487956,9,9
1488488902,8,9
1488489849,7,6
1488490824,7,16
1488491788,4,10
1488492761,12,8
1488493726,8,6
1488494668,13,11
1488495708,5,10
1488496847,5,5
1488497785,8,7
1488498753,3,10
1488499710,12,9
1488500673,9,9
1488501623,3,10
1488502602,17,7
1488503553,12,7
1488504522,3,8
1488505460,13,12
1488506515,6,14
1488507622,16,17
1488508599,7,3
1488509537,10,12
1488510507,12,9
1488511468,4,3
1488512411,11,6
1488513389,8,11
1488514371,12,13
1488515306,11,4
1488516259,5,7
1488517321,12,5
1488518466,10,12
1488519421,11,7
1488520359,3,7
1488521293,15,13
1488522262,10,3
1488523225,3,9
1488524172,9,4
1488525157,12,8
1488526109,7,5
1488527048,5,13
1488528100,0,10
1488529004,2,22
1488529948,1,9
1488530926,0,8
1488531867,8,14
1488532856,19,8
1488533792,4,6
1488534759,9,11
1488535728,10,5
1488536668,18,11
1488537638,13,7
1488538586,6,5
1488539818,11,7
1488540765,13,13
1488541713,10,9
1488542918,8,9
1488543859,7,9
1488544837,11,11
1488545792,4,8
1488546761,8,14
1488547705,1,5
1488548671,9,12
1488549700,10,9
1488550605,6,10
1488551563,12,7
1488552523,6,9
1488553473,10,6
1488554441,5,11
1488555384,9,7
1488556363,7,8
1488557330,8,6
1488558264,5,4
1488559230,7,8
1488560200,12,8
1488561151,7,8
1488562124,4,8
1488563060,6,8
1488564093,8,1
1488565221,8,1
1488566188,10,1
1488567132,8,8
1488568104,6,7
1488569058,9,17
1488570012,8,9
1488570974,9,6
1488571964,6,11
1488572906,2,7
1488573859,9,12
1488574909,11,7
1488576036,3,12
1488577254,7,9
1488578205,5,8
1488579157,8,14
1488580114,4,5
1488581066,10,7
1488582107,10,6
1488583555,11,4
1488584995,8,13
1488586108,9,2
1488587056,14,17
1488588013,12,6
1488588977,4,8
1488589970,12,17
1488590907,3,5
1488591869,7,12
1488592904,9,8
1488594027,9,12
1488594983,7,6
1488595961,7,11
1488596896,10,6
1488597857,4,5
1488598818,14,8
1488599771,2,5
1488600759,5,9
1488601722,5,9
1488602665,9,4
1488603696,8,13
1488604837,11,12
1488605785,3,6
1488606732,6,6
1488607712,7,7
1488608652,12,12
1488609617,10,5
1488610590,4,6
1488611547,5,11
1488612516,3,3
1488613471,13,4
1488614499,9,0
1488615402,7,3
1488616370,12,0
1488617305,9,0
1488618267,9,8
1488619249,10,21
1488620196,9,3
1488621146,19,11
1488622114,6,20
1488623062,11,11
1488624031,16,13
1488625001,6,9
1488625965,13,11
1488626904,7,7
1488627874,13,19
1488628920,9,7
1488630041,10,13
1488630975,9,5
1488631945,15,8
1488632909,13,12
1488633850,8,5
1488634814,8,6
1488635800,0,9
1488636746,7,10
1488637713,5,9
1488638669,12,10
1488639690,12,12
1488640831,10,9
1488641809,2,4
1488642746,12,13
1488643706,13,9
1488644664,11,5
1488645621,13,6
1488646586,8,7
1488647555,19,12
1488648518,4,4
1488649464,14,6
1488650507,9,8
1488651611,8,11
1488652597,10,6
1488653554,14,11
1488654508,14,11
1488655456,8,8
1488656433,8,9
1488657391,3,5
1488658347,9,6
1488659324,7,4
1488660262,12,15
1488661310,9,9
1488662451,11,9
1488663377,10,7
1488664344,11,5
1488665302,9,9
1488666250,4,3
1488667216,4,8
1488668191,2,3
1488669148,7,17
1488670094,4,5
1488671056,6,6
1488672103,5,5
1488673236,17,10
1488674197,4,6
1488675159,10,9
1488676114,7,3
1488677059,10,12
1488678010,10,8
1488678995,4,11
1488679945,4,7
1488680907,3,6
1488681855,5,14
1488682912,6,6
1488684036,8,9
1488684990,6,7
1488685937,8,9
1488686918,2,1
1488687853,7,11
1488688811,11,10
1488689780,8,5
1488690747,5,12
1488691693,7,2
1488692661,5,8
1488693698,4,8
1488694599,8,3
1488695816,6,13
1488696746,6,12
1488697709,6,6
1488698662,12,9
1488699628,6,13
1488700597,7,8
1488701556,4,10
1488702518,5,5
1488703462,8,19
1488704512,19,18
1488705640,19,14
1488706841,9,24
1488707824,8,5
1488708756,8,6
1488709723,9,6
1488710659,17,10
1488711712,20,12
1488712698,6,4
1488713780,16,14
1488714744,3,6
1488715727,5,4
1488716671,24,16
1488717644,7,10
1488718583,9,7
1488719571,18,13
1488720521,5,10
1488721464,8,10
1488722507,17,2
1488723639,7,15
1488724572,8,10
1488725555,20,6
1488726509,17,16
1488727477,9,5
1488728423,17,12
1488729397,4,1
1488730366,13,11
1488731318,5,2
1488732259,17,5
1488733314,12,19
1488734439,16,11
1488735383,9,7
1488736357,13,7
1488737317,6,7
1488738267,14,14
1488739244,26,9
1488740182,7,4
1488741158,19,7
1488742101,5,2
1488743080,9,7
1488744109,15,5
1488745236,28,10
1488746186,14,7
1488747135,5,3
1488748115,16,9
1488749052,6,7
1488750014,19,10
1488751001,2,4
1488751947,17,13
1488752910,7,3
1488753872,7,6
1488754900,18,5
1488756052,10,10
1488756984,1,6
1488757962,14,4
1488758902,17,10
1488759857,1,8
1488760836,11,4
1488761802,5,6
1488762762,15,10
1488763717,3,3
1488764671,14,7
1488765702,17,5
