DateTime,AddedIPs,RemovedIPs
1488381618,6,3
1488382576,2,4
1488383544,8,4
1488384533,8,8
1488385451,5,7
1488386417,3,7
1488387396,3,7
1488388353,4,1
1488389350,5,6
1488390271,4,9
1488391309,7,3
1488392460,3,5
1488393391,7,3
1488394344,6,0
1488395318,12,2
1488396259,8,1
1488397214,7,6
1488398207,5,3
1488399150,6,0
1488400132,3,4
1488401075,7,5
1488402105,9,0
1488403242,5,1
1488404177,7,2
1488405149,4,5
1488406143,9,12
1488407050,6,0
1488408029,1,6
1488408984,3,2
1488409964,4,6
1488410914,2,2
1488411875,6,10
1488412907,9,3
1488414036,5,0
1488414988,2,2
1488415936,4,4
1488416912,1,4
1488418113,8,2
1488419077,4,2
1488420111,3,5
1488421211,3,3
1488422226,5,1
1488423144,2,9
1488424103,3,2
1488425059,4,2
1488426019,3,3
1488426972,2,6
1488427957,10,4
1488428895,5,2
1488429848,1,3
1488430972,4,4
1488432031,7,1
1488432976,5,4
1488433948,6,10
1488434895,5,5
1488435850,6,3
1488436830,7,3
1488437772,6,10
1488438764,4,2
1488439712,8,2
1488440660,3,5
1488441693,7,8
1488442598,7,1
1488443555,7,5
1488444766,5,5
1488445710,14,0
1488446655,7,6
1488447611,9,4
1488448608,6,6
1488449546,5,4
1488450519,7,4
1488451468,2,5
1488452503,11,0
1488453624,7,4
1488454585,2,1
1488455543,2,7
1488456513,4,11
1488457457,4,0
1488458413,2,3
1488459387,12,3
1488460355,5,7
1488461313,1,4
1488462253,4,2
1488463304,5,7
1488464418,8,6
1488465397,3,5
1488466343,7,1
1488467305,7,5
1488468262,7,2
1488469214,9,2
1488470190,8,4
1488471163,2,5
1488472111,3,2
1488473061,7,4
1488474129,11,9
1488475273,19,10
1488476187,9,4
1488477159,2,5
1488478107,17,0
1488479053,13,3
1488480011,42,8
1488480998,43,1
1488481963,29,11
1488482913,26,7
1488483888,28,6
1488484912,19,0
1488486036,38,9
1488486976,12,0
1488487958,9,7
1488488905,6,0
1488489851,6,2
1488490826,5,11
1488491791,6,0
1488492764,5,7
1488493728,7,0
1488494670,5,4
1488495710,2,6
1488496849,4,10
1488497787,11,0
1488498755,3,3
1488499712,16,8
1488500675,2,4
1488501625,7,1
1488502604,2,13
1488503555,6,0
1488504524,7,4
1488505462,3,0
1488506517,0,5
1488507624,9,4
1488508601,12,12
1488509539,4,0
1488510509,7,5
1488511471,5,6
1488512413,3,0
1488513391,3,6
1488514374,9,0
1488515308,8,5
1488516261,4,8
1488517324,8,0
1488518468,10,1
1488519423,5,12
1488520362,6,2
1488521295,1,4
1488522264,6,4
1488523228,4,7
1488524174,8,4
1488525160,5,1
1488526111,2,6
1488527053,1,0
1488528104,7,2
1488529006,8,2
1488529951,42,2
1488530928,66,2
1488531869,31,1
1488532858,28,4
1488533794,15,3
1488534761,17,6
1488535730,44,2
1488536670,5,2
1488537640,12,11
1488538589,11,0
1488539820,14,9
1488540767,4,2
1488541715,4,0
1488542920,3,11
1488543861,4,1
1488544839,5,6
1488545794,4,4
1488546763,3,6
1488547708,4,3
1488548673,6,3
1488549703,4,5
1488550608,2,5
1488551565,6,3
1488552525,3,6
1488553475,6,9
1488554443,6,0
1488555387,5,4
1488556366,10,12
1488557332,5,0
1488558267,2,7
1488559232,7,11
1488560202,10,7
1488561153,7,0
1488562126,3,16
1488563063,16,0
1488564095,6,8
1488565223,7,7
1488566190,5,3
1488567134,4,7
1488568107,10,6
1488569060,3,4
1488570014,8,6
1488570976,7,8
1488571966,9,3
1488572908,4,4
1488573861,7,2
1488574912,5,4
1488576038,6,1
1488577256,3,3
1488578208,4,8
1488579160,3,5
1488580116,5,5
1488581068,2,6
1488582109,8,3
1488583558,5,6
1488584998,17,8
1488586110,4,6
1488587059,3,2
1488588015,6,7
1488588979,5,5
1488589973,7,7
1488590909,5,0
1488591871,5,1
1488592906,9,4
1488594029,4,7
1488594985,5,1
1488595963,3,3
1488596898,10,1
1488597860,2,3
1488598820,5,3
1488599773,4,4
1488600762,2,3
1488601725,7,4
1488602667,1,2
1488603698,8,4
1488604839,9,4
1488605787,6,3
1488606735,7,6
1488607714,5,8
1488608655,1,3
1488609619,5,3
1488610592,1,3
1488611550,7,2
1488612518,6,2
1488613473,7,1
1488614501,9,3
1488615404,2,2
1488616373,6,4
1488617307,4,6
1488618269,5,5
1488619251,7,4
1488620198,3,0
1488621148,3,10
1488622116,7,1
1488623065,3,0
1488624033,6,9
1488625003,5,0
1488625967,7,1
1488626906,0,4
1488627876,1,7
1488628922,9,5
1488630043,8,2
1488630977,4,2
1488631947,7,3
1488632911,7,3
1488633852,3,2
1488634816,3,4
1488635803,3,4
1488636748,9,4
1488637715,13,3
1488638671,2,3
1488639693,11,1
1488640833,9,9
1488641811,1,2
1488642748,6,7
1488643709,7,11
1488644667,4,10
1488645623,4,5
1488646588,7,7
1488647557,6,12
1488648520,3,8
1488649466,2,7
1488650508,5,6
1488651613,2,3
1488652599,4,6
1488653556,9,6
1488654510,5,3
1488655458,6,6
1488656435,6,4
1488657393,5,7
1488658350,5,4
1488659326,6,5
1488660264,5,6
1488661312,6,6
1488662453,9,6
1488663379,4,3
1488664346,10,9
1488665304,6,6
1488666252,4,4
1488667218,3,3
1488668193,7,7
1488669150,5,0
1488670096,2,6
1488671059,3,3
1488672104,4,8
1488673238,12,4
1488674199,3,5
1488675161,3,13
1488676116,3,2
1488677061,2,0
1488678012,2,11
1488678997,7,11
1488679947,3,0
1488680909,1,5
1488681857,3,3
