DateTime,Entries,UniqueIPs
1488338658,11695,13256
1488339624,11694,13258
1488340578,11691,13256
1488341563,11693,13259
1488342520,11693,13260
1488343467,11695,13264
1488344519,11701,13276
1488345640,11700,13273
1488346584,11706,13278
1488347544,11702,13280
1488348516,11704,13279
1488349470,11702,13278
1488350426,11709,13291
1488351400,11704,13284
1488352357,11704,13278
1488353314,11711,13284
1488354263,11716,13289
1488355304,11717,13294
1488356414,11726,13304
1488357401,11728,13303
1488358336,11733,13313
1488359304,11736,13319
1488360263,11743,13326
1488361216,11736,13320
1488362196,11724,13311
1488363157,11726,13311
1488364213,11728,13311
1488365324,11731,13315
1488366275,11728,13311
1488367250,11736,13319
1488368190,11734,13316
1488369176,11731,13314
1488370099,11720,13298
1488371070,11711,13289
1488372028,11706,13285
1488372993,11700,13274
1488373954,11705,13278
1488374928,11699,13271
1488375864,11699,13277
1488376915,11706,13285
1488378531,11702,13278
1488379462,11698,13274
1488380510,11702,13280
1488381618,11708,13287
1488382576,11704,13282
1488383544,11707,13288
1488384533,11715,13289
1488385451,11713,13286
1488386417,11703,13274
1488387396,11699,13273
1488388353,11706,13283
1488389350,11706,13279
1488390271,11708,13281
1488391309,11705,13280
1488392460,11705,13280
1488393391,11712,13285
1488394344,11712,13282
1488395318,11714,13289
1488396259,11720,13294
1488397214,11724,13296
1488398207,11722,13295
1488399150,11730,13303
1488400132,11724,13301
1488401075,11725,13301
1488402105,11723,13298
1488403242,11719,13294
1488404177,11722,13296
1488405149,11720,13293
1488406143,11727,13295
1488407050,11731,13299
1488408029,11728,13296
1488408984,11729,13297
1488409964,11720,13289
1488410914,11712,13283
1488411875,11713,13282
1488412907,11709,13273
1488414036,11709,13272
1488414988,11706,13271
1488415936,11699,13260
1488416912,11692,13252
1488418113,11698,13258
1488419077,11692,13255
1488420111,11698,13260
1488421211,11687,13249
1488422226,11675,13240
1488423144,11673,13236
1488424103,11668,13231
1488425059,11667,13231
1488426019,11670,13234
1488426972,11666,13227
1488427957,11672,13233
1488428895,11666,13225
1488429848,11658,13214
1488430972,11662,13211
1488432031,11664,13210
1488432976,11656,13199
1488433948,11651,13193
1488434895,11648,13185
1488435850,11651,13188
1488436830,11650,13185
1488437772,11653,13187
1488438764,11651,13187
1488439712,11665,13200
1488440660,11666,13200
1488441693,11674,13209
1488442598,11679,13215
1488443555,11677,13213
1488444766,11675,13216
1488445710,11688,13238
1488446655,11693,13250
1488447611,11700,13254
1488448608,11696,13249
1488449546,11702,13253
1488450519,11711,13262
1488451468,11709,13256
1488452503,11721,13270
1488453624,11729,13278
1488454585,11721,13266
1488455543,11722,13265
1488456513,11722,13260
1488457457,11724,13259
1488458413,11718,13251
1488459387,11721,13250
1488460355,11725,13254
1488461313,11727,13255
1488462253,11721,13251
1488463304,11723,13253
1488464418,11734,13267
1488465397,11728,13258
1488466343,11729,13260
1488467305,11724,13254
1488468262,11726,13255
1488469214,11724,13253
1488470190,11725,13260
1488471163,11718,13254
1488472111,11713,13248
1488473061,11715,13249
1488474129,11720,13254
1488475273,11724,13258
1488476187,11724,13258
1488477159,11721,13248
1488478107,11733,13260
1488479053,11738,13266
1488480011,11797,13332
1488480998,11839,13378
1488481963,11880,13421
1488482913,11912,13456
1488483888,11945,13493
1488484912,11963,13514
1488486036,12002,13558
1488486976,12010,13566
1488487958,12021,13578
1488488905,12018,13575
1488489851,12032,13592
1488490826,12032,13589
1488491791,12027,13573
1488492764,12016,13544
1488493728,12031,13562
1488494670,12010,13521
1488495710,12021,13532
1488496849,12012,13517
1488497787,12028,13539
1488498755,12014,13522
1488499712,12009,13513
1488500675,12001,13505
1488501625,12001,13505
1488502604,11999,13505
1488503555,11999,13505
1488504524,11998,13506
1488505462,11995,13503
1488506517,11992,13497
1488507624,12009,13515
1488508601,12001,13510
1488509539,12005,13515
1488510509,12006,13517
1488511471,12007,13520
1488512413,12018,13532
1488513391,12012,13527
1488514374,12016,13531
1488515308,12027,13540
1488516261,12031,13545
1488517324,12026,13535
1488518468,12042,13555
1488519423,12037,13550
1488520362,12037,13548
1488521295,12039,13552
1488522264,12039,13553
1488523228,12032,13545
1488524174,12038,13556
1488525160,12030,13551
1488526111,12030,13551
1488527053,12031,13554
1488528104,12009,13525
1488529006,12021,13538
1488529951,12054,13580
1488530928,12117,13646
1488531869,12142,13673
1488532858,12170,13702
1488533794,12174,13705
1488534761,12175,13706
1488535730,12228,13767
1488536670,12234,13774
1488537640,12230,13769
1488538589,12240,13778
1488539820,12259,13804
1488540767,12258,13803
1488541715,12261,13806
1488542920,12262,13809
1488543861,12260,13803
1488544839,12263,13806
1488545794,12261,13804
1488546763,12258,13800
1488547708,12263,13804
1488548673,12262,13803
1488549703,12257,13799
1488550608,12257,13800
1488551565,12266,13809
1488552525,12264,13808
1488553475,12258,13804
1488554443,12261,13805
1488555387,12264,13808
1488556366,12268,13812
1488557332,12269,13814
1488558267,12262,13808
1488559232,12266,13816
1488560202,12270,13820
1488561153,12269,13819
1488562126,12269,13819
1488563063,12284,13835
1488564095,12286,13837
1488565223,12289,13840
1488566190,12288,13840
1488567134,12288,13839
1488568107,12290,13840
1488569060,12286,13835
1488570014,12291,13840
1488570976,12283,13826
1488571966,12280,13826
1488572908,12271,13817
1488573861,12267,13811
1488574912,12248,13794
1488576038,12249,13794
1488577256,12237,13779
1488578208,12232,13774
1488579160,12231,13771
1488580116,12231,13775
1488581068,12216,13759
1488582109,12213,13762
1488583558,12214,13764
1488584998,12225,13784
1488586110,12219,13781
1488587059,12213,13777
1488588015,12206,13770
1488588979,12210,13777
1488589973,12201,13767
1488590909,12201,13764
1488591871,12197,13762
1488592906,12197,13763
1488594029,12186,13751
1488594985,12195,13763
1488595963,12185,13749
1488596898,12196,13762
1488597860,12199,13756
1488598820,12203,13760
1488599773,12209,13766
1488600762,12193,13747
1488601725,12203,13759
1488602667,12189,13742
1488603698,12192,13745
1488604839,12202,13756
1488605787,12209,13761
1488606735,12205,13759
1488607714,12204,13759
1488608655,12202,13758
1488609619,12200,13755
1488610592,12195,13747
1488611550,12212,13772
1488612518,12212,13774
1488613473,12203,13771
1488614501,12206,13779
1488615404,12210,13792
1488616373,12209,13795
1488617307,12204,13792
1488618269,12206,13795
1488619251,12214,13801
1488620198,12218,13805
1488621148,12214,13798
1488622116,12228,13810
1488623065,12223,13803
1488624033,12222,13800
1488625003,12227,13811
1488625967,12224,13807
1488626906,12227,13811
1488627876,12213,13796
1488628922,12213,13802
1488630043,12211,13803
1488630977,12220,13813
1488631947,12209,13801
1488632911,12224,13818
1488633852,12224,13818
1488634816,12225,13819
1488635803,12221,13815
1488636748,12222,13816
1488637715,12229,13826
1488638671,12219,13817
1488639693,12229,13828
1488640833,12220,13821
1488641811,12216,13817
1488642748,12221,13820
1488643709,12223,13821
1488644667,12220,13817
1488645623,12225,13823
1488646588,12230,13826
1488647557,12229,13827
1488648520,12227,13823
1488649466,12221,13815
1488650508,12229,13828
1488651613,12226,13823
1488652599,12225,13819
1488653556,12239,13835
1488654510,12236,13833
1488655458,12229,13824
1488656435,12231,13827
1488657393,12232,13826
1488658350,12230,13829
1488659326,12240,13838
1488660264,12242,13840
1488661312,12245,13845
1488662453,12249,13848
1488663379,12252,13851
1488664346,12252,13855
1488665304,12255,13858
1488666252,12249,13849
1488667218,12250,13849
1488668193,12247,13848
1488669150,12251,13853
1488670096,12239,13839
1488671059,12237,13838
1488672104,12234,13836
1488673238,12239,13842
1488674199,12236,13842
1488675161,12233,13839
1488676116,12238,13844
1488677061,12229,13825
1488678012,12234,13830
1488678997,12240,13835
1488679947,12238,13835
1488680909,12239,13836
1488681857,12243,13843
1488682914,12245,13843
1488684038,12248,13847
1488684993,12253,13854
1488685939,12260,13865
1488686920,12250,13852
1488687855,12264,13871
1488688813,12266,13875
1488689783,12272,13881
1488690750,12275,13890
1488691696,12275,13890
1488692664,12275,13889
1488693700,12276,13889
1488694601,12288,13904
1488695819,12286,13899
1488696748,12281,13893
1488697711,12282,13898
1488698665,12287,13903
1488699630,12289,13907
1488700600,12276,13889
1488701558,12284,13912
1488702520,12286,13910
1488703465,12290,13914
1488704514,12292,13910
1488705642,12290,13910
1488706843,12286,13906
1488707827,12298,13912
1488708759,12291,13898
1488709725,12293,13901
1488710662,12293,13900
1488711714,12305,13914
1488712700,12305,13907
1488713782,12303,13899
1488714747,12313,13914
1488715729,12317,13915
1488716673,12309,13908
1488717646,12312,13913
1488718585,12320,13923
1488719573,12314,13915
1488720523,12314,13918
1488721467,12305,13908
1488722509,12315,13917
1488723641,12320,13923
1488724575,12309,13909
1488725558,12311,13914
1488726511,12311,13908
1488727480,12307,13905
1488728426,12307,13902
1488729399,12310,13907
1488730368,12314,13910
1488731320,12301,13900
1488732261,12304,13903
1488733316,12307,13910
1488734441,12293,13895
1488735385,12298,13900
1488736359,12305,13907
1488737319,12310,13913
1488738275,12289,13887
1488739246,12291,13891
1488740184,12297,13897
1488741161,12294,13896
1488742103,12293,13897
1488743082,12293,13899
1488744111,12300,13908
1488745238,12288,13893
1488746188,12292,13900
1488747137,12299,13907
1488748116,12294,13900
1488749054,12298,13906
1488750016,12294,13901
1488751002,12286,13891
1488751949,12291,13897
1488752912,12277,13883
1488753875,12273,13879
1488754902,12292,13899
1488756054,12284,13889
1488756986,12291,13896
1488757964,12283,13891
1488758904,12294,13907
1488759860,12285,13899
1488760838,12292,13906
1488761804,12291,13905
1488762764,12304,13920
1488763719,12296,13907
1488764673,12290,13903
1488765704,12295,13910
1488766835,12289,13900
1488767795,12297,13910
1488768756,12300,13910
1488769712,12302,13913
1488770665,12299,13908
1488771622,12299,13908
1488772584,12305,13914
1488773556,12292,13899
1488774511,12293,13901
1488775474,12293,13901
1488776534,12298,13906
1488777640,12302,13911
1488778587,12295,13904
1488779536,12293,13903
1488780515,12291,13900
1488781460,12284,13891
1488782414,12280,13878
1488783397,12278,13878
1488784355,12273,13872
1488785320,12271,13871
1488786274,12280,13880
1488787319,12292,13897
1488788438,12301,13910
1488789380,12304,13911
1488790346,12306,13910
1488791307,12311,13915
1488792254,12310,13914
1488793225,12310,13913
1488794191,12313,13910
1488795148,12315,13912
1488796094,12318,13914
1488797068,12316,13913
1488798097,12313,13913
1488799219,12314,13914
1488800337,12312,13913
1488801390,12304,13905
1488802356,12307,13911
1488803317,12304,13913
1488804266,12303,13912
1488805318,12302,13909
1488806455,12307,13909
1488807383,12303,13903
1488808358,12298,13903
1488809296,12294,13896
1488810269,12299,13902
1488811233,12299,13902
1488812192,12301,13897
1488813162,12308,13905
1488814112,12315,13914
1488815062,12320,13917
1488816135,12322,13918
1488817227,12325,13921
1488818184,12325,13916
1488819225,12327,13920
1488820356,12333,13923
1488821303,12337,13926
1488822264,12337,13927
1488823297,12327,13916
1488824411,12327,13917
1488825388,12318,13905
1488826340,12328,13918
1488827320,12329,13918
1488828273,12326,13913
1488829222,12330,13916
1488830191,12324,13912
1488831150,12327,13919
