DateTime,AddedIPs,RemovedIPs
1488331716,85,85
1488332667,85,85
1488333713,105,105
1488334827,93,93
1488335788,71,71
1488336746,113,113
1488337696,74,74
1488338658,116,116
1488339624,94,94
1488340578,81,81
1488341563,99,99
1488342520,76,76
1488343467,112,112
1488344519,111,111
1488345640,96,96
1488346584,72,72
1488347544,108,108
1488348516,88,88
1488349470,69,69
1488350426,112,112
1488351400,85,85
1488352357,92,92
1488353314,88,88
1488354263,91,91
1488355304,125,125
1488356414,112,112
1488357401,85,85
1488358336,99,99
1488359304,121,121
1488360263,89,89
1488361216,98,98
1488362196,82,82
1488363157,102,102
1488364213,116,116
1488365324,73,73
1488366275,94,94
1488367250,89,89
1488368190,52,52
1488369176,114,114
1488370099,62,62
1488371070,137,137
1488372028,117,117
1488372993,84,84
1488373954,100,100
1488374928,102,102
1488375864,77,77
1488376915,109,109
1488378531,144,144
1488379462,65,65
1488380510,108,108
1488381618,119,119
1488382576,55,55
1488383544,120,120
1488384533,103,103
1488385451,67,67
1488386417,109,109
1488387396,94,94
1488388353,93,93
1488389350,86,86
1488390271,83,83
1488391309,109,109
1488392460,113,113
1488393391,96,96
1488394344,94,94
1488395318,97,97
1488396259,60,60
1488397214,125,125
1488398207,93,93
1488399150,99,99
1488400132,83,83
1488401075,79,79
1488402105,117,117
1488403242,102,102
1488404177,95,95
1488405149,91,91
1488406143,131,131
1488407050,70,70
1488408029,90,90
1488408984,107,107
1488409964,88,88
1488410914,79,79
1488411875,82,82
1488412907,112,112
1488414036,102,102
1488414988,80,80
1488415936,97,97
1488416912,112,112
1488418113,128,128
1488419077,93,93
1488420111,133,133
1488421211,122,122
1488422226,78,78
1488423144,108,108
1488424103,97,97
1488425059,79,79
1488426019,111,111
1488426972,61,61
1488427957,110,110
1488428895,90,90
1488429848,72,72
1488430972,101,101
1488432031,102,102
1488432976,66,66
1488433948,120,120
1488434895,56,56
1488435850,118,118
1488436830,101,101
1488437772,79,79
1488438764,83,83
1488439712,125,125
1488440660,97,97
1488441693,108,108
1488442598,112,112
1488443555,104,104
1488444766,118,118
1488445710,132,132
1488446655,79,79
1488447611,117,117
1488448608,90,90
1488449546,102,102
1488450519,104,104
1488451468,102,102
1488452503,134,134
1488453624,103,103
1488454585,61,61
1488455543,85,85
1488456513,114,114
1488457457,55,55
1488458413,99,99
1488459387,94,94
1488460355,97,97
1488461313,91,91
1488462253,91,91
1488463304,121,121
1488464418,124,124
1488465397,74,74
1488466343,104,104
1488467305,79,79
1488468262,96,96
1488469214,106,106
1488470190,95,95
1488471163,124,124
1488472111,112,112
1488473061,106,106
1488474129,107,107
1488475273,140,140
1488476187,53,53
1488477159,108,108
1488478107,107,107
1488479053,67,67
1488480011,116,116
1488480998,141,141
1488481963,169,169
1488482913,167,167
1488483888,137,137
1488484912,167,167
1488486036,200,200
1488486976,119,119
1488487958,166,166
1488488905,146,146
1488489851,76,76
1488490826,92,92
1488491791,85,85
1488492764,91,91
1488493728,95,95
1488494670,87,87
1488495710,107,107
1488496849,124,124
1488497787,95,95
1488498755,105,105
1488499712,133,133
1488500675,78,78
1488501625,101,101
1488502604,102,102
1488503555,106,106
1488504524,88,88
1488505462,93,93
1488506517,120,120
1488507624,124,124
1488508601,108,108
1488509539,108,108
1488510509,92,92
1488511471,122,122
1488512413,107,107
1488513391,91,91
1488514374,136,136
1488515308,117,117
1488516261,79,79
1488517324,90,90
1488518468,120,120
1488519423,86,86
1488520362,91,91
1488521295,59,59
1488522264,109,109
1488523228,109,109
1488524174,108,108
1488525160,123,123
1488526111,103,103
1488527053,73,73
1488528104,92,92
1488529006,73,73
1488529951,160,160
1488530928,165,165
1488531869,113,113
1488532858,224,224
1488533794,119,119
1488534761,169,169
1488535730,230,230
1488536670,94,94
1488537640,160,160
1488538589,135,135
1488539820,160,160
1488540767,94,94
1488541715,82,82
1488542920,171,171
1488543861,79,79
1488544839,105,105
1488545794,79,79
1488546763,116,116
1488547708,93,93
1488548673,68,68
1488549703,107,107
1488550608,91,91
1488551565,102,102
1488552525,89,89
1488553475,114,114
1488554443,141,141
1488555387,89,89
1488556366,78,78
1488557332,116,116
1488558267,63,63
1488559232,90,90
1488560202,88,88
1488561153,89,89
1488562126,71,71
1488563063,98,98
1488564095,115,115
1488565223,115,115
1488566190,66,66
1488567134,102,102
1488568107,111,111
1488569060,66,66
1488570014,87,87
1488570976,76,76
1488571966,118,118
1488572908,84,84
1488573861,82,82
1488574912,105,105
1488576038,125,125
1488577256,90,90
1488578208,89,89
1488579160,90,90
1488580116,95,95
1488581068,73,73
1488582109,126,126
1488583558,104,104
1488584998,186,186
1488586110,147,147
1488587059,94,94
1488588015,114,114
1488588979,69,69
1488589973,118,118
1488590909,102,102
1488591871,89,89
1488592906,133,133
1488594029,111,111
1488594985,85,85
1488595963,113,113
1488596898,89,89
1488597860,55,55
1488598820,100,100
1488599773,76,76
1488600762,109,109
1488601725,103,103
1488602667,52,52
1488603698,111,111
1488604839,110,110
1488605787,79,79
1488606735,113,113
1488607714,128,128
1488608655,57,57
1488609619,126,126
1488610592,49,49
1488611550,117,117
1488612518,92,92
1488613473,83,83
1488614501,103,103
1488615404,81,81
1488616373,73,73
1488617307,72,72
1488618269,105,105
1488619251,124,124
1488620198,61,61
1488621148,104,104
1488622116,94,94
1488623065,107,107
1488624033,93,93
1488625003,101,101
1488625967,114,114
1488626906,82,82
1488627876,84,84
1488628922,136,136
1488630043,120,120
1488630977,63,63
1488631947,105,105
1488632911,93,93
1488633852,79,79
1488634816,96,96
1488635803,83,83
1488636748,117,117
1488637715,121,121
1488638671,68,68
1488639693,109,109
1488640833,129,129
1488641811,68,68
1488642748,130,130
1488643709,102,102
1488644667,71,71
1488645623,95,95
1488646588,91,91
1488647557,112,112
1488648520,82,82
1488649466,90,90
1488650508,94,94
1488651613,107,107
1488652599,51,51
1488653556,110,110
1488654510,99,99
1488655458,59,59
1488656435,101,101
1488657393,67,67
1488658350,108,108
1488659326,133,133
1488660264,53,53
1488661312,107,107
1488662453,104,104
1488663379,80,80
1488664346,112,112
1488665304,106,106
1488666252,62,62
1488667218,95,95
1488668193,91,91
1488669150,86,86
1488670096,87,87
1488671059,65,65
1488672104,97,97
1488673238,91,91
1488674199,62,62
1488675161,115,115
1488676116,78,78
1488677061,83,83
1488678012,102,102
1488678997,89,89
1488679947,93,93
1488680909,74,74
1488681857,79,79
1488682914,102,102
1488684038,115,115
1488684993,97,97
1488685939,91,91
1488686920,107,107
1488687855,74,74
1488688813,98,98
1488689783,83,83
1488690750,98,98
1488691696,89,89
1488692664,67,67
1488693700,115,115
1488694601,116,116
1488695819,123,123
1488696748,92,92
1488697711,112,112
1488698665,71,71
1488699630,115,115
1488700600,52,52
1488701558,114,114
1488702520,87,87
1488703465,65,65
1488704514,125,125
1488705642,126,126
1488706843,95,95
1488707827,108,108
1488708759,87,87
1488709725,94,94
1488710662,76,76
1488711714,116,116
1488712700,90,90
1488713782,59,59
1488714747,133,133
1488715729,121,121
1488716673,54,54
1488717646,105,105
1488718585,78,78
1488719573,121,121
1488720523,81,81
1488721467,75,75
1488722509,120,120
1488723641,91,91
1488724575,54,54
1488725558,144,144
1488726511,111,111
1488727480,56,56
1488728426,102,102
1488729399,89,89
1488730368,95,95
1488731320,90,90
1488732261,89,89
1488733316,127,127
1488734441,130,130
1488735385,72,72
1488736359,115,115
1488737319,112,112
1488738275,56,56
1488739246,94,94
1488740184,86,86
1488741161,89,89
1488742103,101,101
1488743082,68,68
1488744111,120,120
1488745238,121,121
1488746188,62,62
1488747137,106,106
1488748116,111,111
1488749054,59,59
1488750016,113,113
1488751002,96,96
1488751949,88,88
1488752912,123,123
1488753875,70,70
1488754902,117,117
1488756054,106,106
1488756986,58,58
1488757964,101,101
1488758904,123,123
1488759860,53,53
1488760838,108,108
1488761804,92,92
1488762764,102,102
1488763719,98,98
1488764673,88,88
1488765704,110,110
1488766835,115,115
1488767795,81,81
1488768756,95,95
1488769712,110,110
1488770665,53,53
1488771622,94,94
1488772584,81,81
1488773556,94,94
1488774511,84,84
1488775474,91,91
1488776534,121,121
1488777640,104,104
1488778587,80,80
1488779536,140,140
1488780515,115,115
1488781460,54,54
1488782414,81,81
1488783397,94,94
1488784355,79,79
1488785320,88,88
1488786274,69,69
1488787319,111,111
