DateTime,Entries,UniqueIPs
1487034188,2242,2242
1487037786,2244,2244
1487041384,2236,2236
1487044982,2233,2233
1487048583,2240,2240
1487052187,2242,2242
1487077317,2240,2240
1487080989,2228,2228
1487084591,2215,2215
1487088190,2212,2212
1487091789,2209,2209
1487095390,2201,2201
1487101879,2196,2196
1487104290,2194,2194
1487106404,2188,2188
1487109796,2195,2195
1487113391,2190,2190
1487116987,2186,2186
1487120588,2177,2177
1487124190,2175,2175
1487127788,2167,2167
1487131388,2169,2169
1487134987,2164,2164
1487138587,2167,2167
1487142186,2161,2161
1487145782,2155,2155
1487149382,2148,2148
1487152986,2146,2146
1487156586,2147,2147
1487160185,2148,2148
1487163784,2139,2139
1487167386,2133,2133
1487170988,2124,2124
1487174587,2122,2122
1487178185,2119,2119
1487181788,2113,2113
1487185385,2105,2105
1487188984,2101,2101
1487192583,2097,2097
1487196184,2090,2090
1487199783,2083,2083
1487203382,2084,2084
1487206983,2082,2082
1487210582,2076,2076
1487214184,2083,2083
1487217784,2083,2083
1487221383,2080,2080
1487224982,2075,2075
1487228583,2072,2072
1487232186,2068,2068
1487235781,2063,2063
1487239380,2057,2057
1487242981,2050,2050
1487246581,2050,2050
1487250181,2051,2051
1487253778,2047,2047
1487257379,2047,2047
1487260980,2039,2039
1487264583,2037,2037
1487268182,2023,2023
1487271779,2022,2022
1487275381,2023,2023
1487278984,2023,2023
1487282584,2019,2019
1487286178,2013,2013
1487289780,2012,2012
1487293388,2007,2007
1487296974,2003,2003
1487300578,2002,2002
1487304178,1998,1998
1487307782,2000,2000
1487311386,1992,1992
1487314976,1986,1986
1487318581,1984,1984
1487322178,1984,1984
1487325776,1977,1977
1487329376,1981,1981
1487332976,1972,1972
1487336585,1969,1969
1487340179,1967,1967
1487343777,1966,1966
1487347379,1962,1962
1487350981,1959,1959
1487354578,1954,1954
1487358179,1959,1959
1487361782,1958,1958
1487365378,1950,1950
1487368984,1969,1969
1487372579,1966,1966
1487376179,1966,1966
1487379777,1963,1963
1487383378,1965,1965
1487386980,1964,1964
1487390580,1964,1964
1487394181,1955,1955
1487397776,1955,1955
1487401378,1951,1951
1487404979,1943,1943
1487408576,1943,1943
1487412176,1945,1945
1487415777,1939,1939
1487419377,1934,1934
1487422978,1919,1919
1487426579,1921,1921
1487430175,1916,1916
1487433777,1912,1912
1487437377,1907,1907
1487440978,1905,1905
1487444579,1901,1901
1487448178,1905,1905
1487451776,1898,1898
1487455376,1897,1897
1487458978,1899,1899
1487462578,1901,1901
1487466177,1894,1894
1487469776,1890,1890
1487473374,1890,1890
1487476974,1887,1887
1487480572,1891,1891
1487484173,1895,1895
1487487771,1898,1898
1487491377,1897,1897
1487494976,1900,1900
1487498575,1894,1894
1487502175,1887,1887
1487505777,1885,1885
1487509375,1884,1884
1487512975,1879,1879
1487516573,1879,1879
1487520176,1879,1879
1487523777,1880,1880
1487527377,1876,1876
1487530978,1875,1875
1487534575,1875,1875
1487538178,1876,1876
1487541777,1874,1874
1487545377,1874,1874
1487548976,1869,1869
1487552574,1865,1865
1487556175,1858,1858
1487559775,1845,1845
1487563374,1836,1836
1487566975,1833,1833
1487570576,1825,1825
1487574174,1816,1816
1487577778,1817,1817
1487581376,1825,1825
1487584975,1823,1823
1487588573,1813,1813
1487592176,1807,1807
1487595771,1804,1804
1487599371,1796,1796
1487602969,1789,1789
1487606568,1788,1788
1487610169,1788,1788
1487613774,1792,1792
1487617382,1797,1797
1487620975,1797,1797
1487624576,1793,1793
1487628175,1792,1792
1487631774,1796,1796
1487635373,1799,1799
1487638973,1802,1802
1487642573,1804,1804
1487646172,1802,1802
1487649774,1793,1793
1487653376,1787,1787
1487656974,1779,1779
1487660573,1774,1774
1487664173,1774,1774
1487667772,1769,1769
1487671374,1792,1792
1487674974,1792,1792
1487678573,1798,1798
1487682170,1798,1798
1487685768,1802,1802
1487689370,1806,1806
1487692971,1808,1808
1487696575,1804,1804
1487700171,1807,1807
1487703770,1811,1811
1487707371,1812,1812
1487710971,1807,1807
1487714569,1792,1792
1487718169,1786,1786
1487721771,1790,1790
1487725370,1788,1788
1487728971,1789,1789
1487732567,1789,1789
1487736170,1784,1784
1487739771,1783,1783
1487743368,1780,1780
1487746970,1780,1780
1487750571,1784,1784
1487754170,1783,1783
1487757769,1779,1779
1487761373,1780,1780
1487764972,1777,1777
1487768571,1782,1782
1487772171,1782,1782
1487775772,1781,1781
1487779373,1782,1782
1487782965,1785,1785
1487786568,1804,1804
1487790173,1831,1831
1487793768,1851,1851
1487797368,1852,1852
1487800969,1856,1856
1487804571,1858,1858
1487808172,1862,1862
1487811767,1863,1863
1487815372,1868,1868
1487818968,1865,1865
1487822567,1862,1862
1487826167,1862,1862
1487829772,1862,1862
1487833371,1862,1862
1487836970,1855,1855
1487840567,1851,1851
1487844173,1854,1854
1487847773,1857,1857
1487851369,1852,1852
1487854969,1846,1846
1487858571,1849,1849
1487862171,1843,1843
1487865770,1845,1845
1487869373,1846,1846
1487872971,1846,1846
1487876575,1850,1850
1487880169,1845,1845
1487883770,1847,1847
1487887370,1847,1847
1487890975,1850,1850
1487894571,1853,1853
1487898170,1852,1852
1487901768,1854,1854
1487905373,1864,1864
1487908971,1862,1862
1487912568,1861,1861
1487916168,1861,1861
1487919769,1863,1863
1487923370,1860,1860
1487926968,1860,1860
1487930570,1859,1859
1487934170,1868,1868
1487937773,1891,1891
1487941381,2027,2027
1487944986,2191,2191
1487948595,2362,2362
1487955742,2521,2521
1487959410,2611,2611
1487963015,2623,2623
1487966614,2624,2624
1487970216,2630,2630
1487973814,2623,2623
1487977412,2655,2655
1487981013,2663,2663
1487984617,2673,2673
1487988216,2693,2693
1487991817,2723,2723
1487995419,2759,2759
1487999022,2808,2808
1488002621,2852,2852
1488006225,2911,2911
1488009825,2964,2964
1488013428,3010,3010
1488017030,3057,3057
1488020634,3113,3113
1488024236,3195,3195
1488027840,3262,3262
1488031448,3338,3338
1488035046,3393,3393
1488038649,3468,3468
1488042252,3527,3527
1488045856,3595,3595
1488049463,3672,3672
1488053064,3751,3751
1488056669,3836,3836
1488060271,3909,3909
1488063879,3984,3984
1488067482,4068,4068
1488071087,4153,4153
1488074691,4236,4236
1488078295,4318,4318
1488081900,4390,4390
1488085503,4483,4483
1488089107,4569,4569
1488092711,4641,4641
1488096315,4732,4732
1488099920,4823,4823
1488103528,4913,4913
1488107128,4988,4988
1488110733,5062,5062
1488114336,5162,5162
1488117942,5258,5258
1488121548,5356,5356
1488125152,5441,5441
1488128755,5535,5535
1488132365,5635,5635
1488135976,5796,5796
1488139583,5935,5935
1488143191,6068,6068
1488146796,6220,6220
1488150404,6367,6367
1488154011,6501,6501
1488157617,6626,6626
1488161224,6760,6760
1488164844,6874,6874
1488168438,7004,7004
1488172042,7130,7130
1488175651,7246,7246
1488179255,7371,7371
1488182862,7489,7489
1488186470,7590,7590
1488190083,7723,7723
1488193683,7841,7841
1488197291,7948,7948
1488200892,8060,8060
1488204500,8187,8187
1488208105,8290,8290
1488211712,8387,8387
1488215318,8478,8478
1488218922,8562,8562
1488222527,8657,8657
1488226130,8750,8750
1488229734,8856,8856
1488233339,8951,8951
1488236945,9057,9057
1488240549,9174,9174
1488244157,9300,9300
1488247759,9404,9404
1488251363,9481,9481
1488254969,9575,9575
1488258573,9674,9674
1488262177,9783,9783
1488265782,9876,9876
1488269389,9993,9993
1488272995,10110,10110
1488276601,10201,10201
1488280204,10303,10303
1488283811,10411,10411
1488287413,10508,10508
1488291015,10597,10597
1488294622,10708,10708
1488298232,10808,10808
1488301834,10918,10918
1488305442,11004,11004
1488309047,11112,11112
1488312652,11227,11227
1488316259,11329,11329
1488319862,11415,11415
1488323469,11490,11490
