DateTime,AddedIPs,RemovedIPs
1487102173,53,44
1487106005,42,56
1487109843,54,45
1487111762,47,71
1487115603,49,58
1487119443,64,73
1487123284,50,58
1487127123,47,58
1487130973,86,109
1487134807,91,87
1487136723,70,66
1487140563,79,49
1487144403,53,67
1487150403,48,44
1487152324,58,53
1487158323,90,68
1487162162,34,48
1487167923,36,45
1487169843,55,48
1487173683,50,45
1487177537,58,48
1487181363,61,49
1487185205,58,57
1487187604,56,61
1487191442,50,58
1487195283,66,50
1487201283,57,77
1487203443,41,57
1487205362,78,68
1487209215,53,69
1487213042,50,65
1487216882,93,93
1487220723,82,92
1487224564,67,68
1487228405,78,59
1487232484,84,70
1487238243,61,56
1487242325,44,45
1487244242,45,44
1487246175,79,85
1487250007,49,38
1487253845,37,43
1487255764,39,35
1487259603,51,47
1487263443,48,42
1487267290,60,49
1487271607,46,48
1487275443,66,49
1487277363,51,45
1487281213,41,55
1487285043,50,65
1487288883,35,59
1487292723,78,66
1487296563,61,58
1487300407,37,56
1487304482,112,109
1487306403,85,109
1487310242,79,71
1487314082,75,58
1487319844,46,43
1487321784,52,40
1487325604,55,44
1487327523,36,41
1487331364,43,40
1487335203,47,50
1487339052,49,42
1487342882,45,41
1487346723,47,54
1487350579,56,43
1487354654,55,45
1487356563,37,63
1487360403,51,53
1487364243,46,52
1487368082,45,61
1487371922,43,70
1487375777,54,65
1487379606,84,44
1487381522,57,66
1487385363,79,66
1487391122,96,108
1487393042,88,99
1487396883,73,69
1487400723,67,50
1487404567,50,36
1487408406,36,50
1487410323,127,72
1487414163,48,47
1487418003,42,51
1487421842,52,41
1487425682,51,45
1487429524,53,43
1487433368,52,44
1487437205,52,44
1487441042,50,48
1487442963,35,53
1487446802,46,41
1487450642,37,48
1487454482,44,51
1487458323,32,49
1487462167,40,59
1487466006,86,61
1487469842,49,70
1487471762,51,62
1487475603,86,84
1487479442,86,107
1487483283,78,72
1487487124,78,53
1487490968,47,40
1487494805,49,36
1487496724,65,42
1487500802,48,36
1487505123,51,44
1487508976,56,46
1487512805,48,52
1487514724,53,54
1487518563,50,52
1487522403,53,53
1487526243,55,54
1487530082,56,48
1487533922,46,44
1487537777,46,61
1487541606,47,56
1487543522,38,62
1487547363,36,72
1487551203,84,54
1487555043,58,65
1487559123,54,71
1487562966,84,97
1487566806,83,82
1487568722,75,84
1487573043,84,56
1487574963,125,144
1487576882,168,156
1487580724,50,66
1487584573,66,50
1487586484,81,70
1487588406,45,37
1487590322,43,44
1487594404,55,42
1487598243,55,50
1487602083,38,52
1487605923,56,45
1487607842,60,62
1487611923,54,49
1487615762,57,49
1487619604,69,52
1487623442,51,54
1487627284,48,71
1487631124,49,62
1487634967,46,57
1487638819,76,64
1487642643,51,66
1487644563,49,56
1487648402,81,91
1487652243,90,83
1487656083,77,83
1487658002,76,52
1487663768,54,53
1487667620,48,54
1487671443,46,48
1487673363,40,38
1487677203,42,40
1487681043,96,98
1487682963,111,112
1487684883,47,45
1487689207,38,40
1487693043,46,40
1487694962,47,42
1487698803,43,46
1487702642,70,42
1487706484,57,49
1487710322,47,65
1487714172,53,65
1487718008,51,72
1487719922,35,52
1487724004,66,57
1487727844,59,68
1487731682,53,57
1487735522,88,112
1487739362,101,91
1487743205,68,75
1487745122,84,57
1487749205,48,40
1487755203,70,54
1487757123,41,38
1487762884,43,60
1487765044,41,46
1487766962,40,38
1487770804,42,38
1487774642,42,54
1487778722,77,69
1487780644,69,77
1487782563,81,67
1487786406,49,46
1487790252,60,42
1487792162,68,56
1487796003,51,62
1487799842,53,60
1487803682,30,56
1487805603,56,30
1487807523,67,99
1487811363,65,68
1487815206,51,65
1487817125,48,63
1487820964,93,103
1487824805,91,88
1487828644,79,69
1487832485,80,52
1487836324,47,55
1487840165,57,50
1487844010,42,42
1487845922,49,41
1487849763,55,45
1487853603,44,45
1487857444,43,41
1487861282,61,42
1487865122,40,38
1487868964,45,41
1487872807,56,41
1487874724,58,44
1487878564,54,49
1487883125,54,75
1487886974,60,52
1487890808,40,69
1487892723,35,77
1487896563,80,51
1487900404,50,61
1487906164,41,56
1487908082,81,86
1487911923,90,90
1487917685,71,76
1487921524,89,66
1487923682,43,53
1487925603,51,41
1487929442,50,48
1487933282,48,50
1487935203,97,77
1487937122,42,48
1487940963,53,43
1487944805,45,47
1487948643,49,48
1487950804,43,49
1487954643,60,51
1487958483,68,44
1487962322,169,199
1487964243,204,196
1487966168,55,58
1487970005,53,63
1487974083,47,61
1487977922,65,61
1487979842,42,65
1487983683,77,60
1487987522,48,60
1487991363,42,60
1487995206,91,87
1487997123,90,83
1488001204,65,65
1488005042,72,65
1488008883,38,40
1488012722,53,34
1488018483,55,47
1488020406,51,41
1488022322,49,38
1488026404,40,40
1488030243,44,49
1488034082,44,36
1488039843,37,36
1488041764,55,42
1488045606,53,45
1488047524,39,45
1488051363,35,40
1488055204,32,44
1488059043,42,49
1488062883,34,64
1488066723,26,44
1488070563,73,51
1488074405,62,64
1488076322,44,60
1488080163,89,92
