DateTime,Entries,UniqueIPs
1487109843,7066,7066
1487111762,7042,7042
1487115603,7033,7033
1487119443,7024,7024
1487123284,7016,7016
1487127123,7005,7005
1487130973,6982,6982
1487134807,6986,6986
1487136723,6990,6990
1487140563,7020,7020
1487144403,7006,7006
1487150403,7010,7010
1487152324,7015,7015
1487158323,7037,7037
1487162162,7023,7023
1487167923,7014,7014
1487169843,7021,7021
1487173683,7026,7026
1487177537,7036,7036
1487181363,7048,7048
1487185205,7049,7049
1487187604,7044,7044
1487191442,7036,7036
1487195283,7052,7052
1487201283,7032,7032
1487203443,7016,7016
1487205362,7026,7026
1487209215,7010,7010
1487213042,6995,6995
1487216882,6995,6995
1487220723,6985,6985
1487224564,6984,6984
1487228405,7003,7003
1487232484,7017,7017
1487238243,7022,7022
1487242325,7021,7021
1487244242,7022,7022
1487246175,7016,7016
1487250007,7027,7027
1487253845,7021,7021
1487255764,7025,7025
1487259603,7029,7029
1487263443,7035,7035
1487267290,7046,7046
1487271607,7044,7044
1487275443,7061,7061
1487277363,7067,7067
1487281213,7053,7053
1487285043,7038,7038
1487288883,7014,7014
1487292723,7026,7026
1487296563,7029,7029
1487300407,7010,7010
1487304482,7013,7013
1487306403,6989,6989
1487310242,6997,6997
1487314082,7014,7014
1487319844,7017,7017
1487321784,7029,7029
1487325604,7040,7040
1487327523,7035,7035
1487331364,7038,7038
1487335203,7035,7035
1487339052,7042,7042
1487342882,7046,7046
1487346723,7039,7039
1487350579,7052,7052
1487354654,7062,7062
1487356563,7036,7036
1487360403,7034,7034
1487364243,7028,7028
1487368082,7012,7012
1487371922,6985,6985
1487375777,6974,6974
1487379606,7014,7014
1487381522,7005,7005
1487385363,7018,7018
1487391122,7006,7006
1487393042,6995,6995
1487396883,6999,6999
1487400723,7016,7016
1487404567,7030,7030
1487408406,7016,7016
1487410323,7071,7071
1487414163,7072,7072
1487418003,7063,7063
1487421842,7074,7074
1487425682,7080,7080
1487429524,7090,7090
1487433368,7098,7098
1487437205,7106,7106
1487441042,7108,7108
1487442963,7090,7090
1487446802,7095,7095
1487450642,7084,7084
1487454482,7077,7077
1487458323,7060,7060
1487462167,7041,7041
1487466006,7066,7066
1487469842,7045,7045
1487471762,7034,7034
1487475603,7036,7036
1487479442,7015,7015
1487483283,7021,7021
1487487124,7046,7046
1487490968,7053,7053
1487494805,7066,7066
1487496724,7089,7089
1487500802,7101,7101
1487505123,7108,7108
1487508976,7118,7118
1487512805,7114,7114
1487514724,7113,7113
1487518563,7111,7111
1487522403,7111,7111
1487526243,7112,7112
1487530082,7120,7120
1487533922,7122,7122
1487537777,7107,7107
1487541606,7098,7098
1487543522,7074,7074
1487547363,7038,7038
1487551203,7068,7068
1487555043,7061,7061
1487559123,7044,7044
1487562966,7031,7031
1487566806,7032,7032
1487568722,7023,7023
1487573043,7051,7051
1487574963,7032,7032
1487576882,7044,7044
1487580724,7028,7028
1487584573,7044,7044
1487586484,7055,7055
1487588406,7063,7063
1487590322,7062,7062
1487594404,7075,7075
1487598243,7080,7080
1487602083,7066,7066
1487605923,7077,7077
1487607842,7075,7075
1487611923,7080,7080
1487615762,7088,7088
1487619604,7105,7105
1487623442,7102,7102
1487627284,7079,7079
1487631124,7066,7066
1487634967,7055,7055
1487638819,7067,7067
1487642643,7052,7052
1487644563,7045,7045
1487648402,7035,7035
1487652243,7042,7042
1487656083,7036,7036
1487658002,7060,7060
1487663768,7061,7061
1487667620,7055,7055
1487671443,7053,7053
1487673363,7055,7055
1487677203,7057,7057
