DateTime,AddedIPs,RemovedIPs
1487866208,85,0
1487867108,22,0
1487868008,1,0
1487869509,1,0
1487874608,0,1
1487875508,0,1
1487879108,0,1
1487887208,1,0
1487889308,0,1
1487890808,0,1
1487901608,1,0
1487925908,1,0
1487931308,1,0
1487931608,1,0
1487931908,11,0
1487932209,4,0
1487932809,27,0
1487936108,1,0
1487938508,1,0
1487940609,3,0
1487940908,7,0
1487941208,2,0
1487941508,14,0
1487941809,88,0
1487942108,18,2
1487942408,10,0
1487942708,36,0
1487943008,114,0
1487947807,0,27
1487948107,0,13
1487958909,0,1
1487962809,1,0
1487966408,0,1
1487970008,0,2
1487973308,0,1
1487973609,1,0
1487978108,1,0
1487979008,3,0
1487980808,1,0
1487986808,1,0
1487988008,1,0
1487996108,1,0
1488004208,1,0
1488008108,1,0
1488009308,1,0
1488009609,1,0
1488009907,1,0
1488010208,1,0
1488010508,1,0
1488011409,1,0
1488012009,2,0
1488012309,1,0
1488012608,1,0
1488012908,1,0
1488014408,2,0
1488016207,1,0
1488017408,2,0
1488017709,3,0
1488019209,1,0
1488019509,1,0
1488019807,1,0
1488020408,1,0
1488024011,7,0
1488026108,1,0
1488026408,1,0
1488027307,1,0
1488027911,2,0
1488028208,1,0
1488029108,1,0
1488029408,1,0
1488033308,1,0
1488033608,1,0
1488034208,2,0
1488034509,1,0
1488034809,1,0
1488035108,1,0
1488036308,1,0
1488040509,2,0
1488042608,1,0
1488044109,1,0
1488045909,2,0
1488047408,1,0
1488048009,1,0
1488048608,3,0
1488048908,1,0
1488049808,1,0
1488055808,1,0
1488060008,2,0
1488063608,1,0
1488070808,1,0
1488074408,1,0
1488075009,4,0
1488075908,1,0
1488076208,1,0
1488076808,1,0
1488077408,1,0
1488077708,2,0
1488078008,2,0
1488078309,2,0
1488078608,3,0
1488078908,3,0
1488081308,4,0
1488083408,1,0
1488086108,3,0
1488086408,1,0
1488087009,1,0
1488087608,1,0
1488088208,1,0
1488088808,2,0
1488089109,2,0
1488090908,1,0
1488091509,2,0
1488092107,2,1
1488096009,2,0
