DateTime,AddedIPs,RemovedIPs
1486743609,0,1
1486746323,0,1
1486753509,0,1
1486765508,0,1
1486766409,0,1
1486772408,0,1
1486778109,0,1
1486782616,2,0
1486800909,0,1
1486801809,0,1
1486818609,0,1
1486827908,0,1
1486856109,0,1
1486863608,0,1
1486900809,0,1
1486920909,0,1
1486931110,0,1
1486939209,0,1
1486950009,2,0
1486950309,3,0
1486952409,2,0
1486952708,1,0
1486958408,0,1
1486961409,0,1
1486962309,0,1
1487002509,0,1
1487004008,0,1
1487009709,0,1
1487013610,0,1
1487028009,19,0
1487032208,29,0
1487032809,55,0
1487044809,0,1
1487062809,0,1
1487094010,0,1
1487097309,0,1
1487129109,0,1
1487147109,0,2
1487147409,0,1
1487157609,0,1
1487176508,0,1
1487183408,0,1
1487183709,0,3
1487184009,2,0
1487189408,30,0
1487191509,1,1
1487204409,0,1
1487214909,0,1
1487229608,0,8
1487229909,0,2
1487231109,0,2
1487244009,0,1
1487253910,0,1
1487254211,0,3
1487261709,0,1
1487262311,0,1
1487265309,0,1
1487280008,17,0
1487288409,16,0
1487288709,32,0
1487304609,0,1
1487325309,6,0
1487336709,0,1
1487338809,0,1
1487341209,0,1
1487341509,0,1
1487348709,0,3
1487355909,0,1
1487362508,0,2
1487369108,0,1
1487370908,0,1
1487381709,0,1
1487398508,0,1
1487426109,0,1
1487430608,0,1
1487434810,0,1
1487435109,0,1
1487436309,0,1
1487466609,0,1
1487474409,0,1
1487489408,0,1
1487492708,0,1
1487522408,0,1
1487529008,0,1
1487555409,0,1
1487557208,0,1
1487582108,0,1
1487586609,0,1
1487615109,0,1
1487633408,0,1
1487641208,0,1
1487641809,0,1
1487650809,0,1
1487658610,0,1
1487664609,0,1
1487673909,0,1
1487678710,0,1
1487690708,0,1
1487733008,0,1
1487798109,0,1
1487805608,0,1
1487807109,0,1
1487809209,13,0
1487809509,12,0
1487812208,8,0
1487812508,28,0
1487812808,24,0
1487813109,30,0
1487839808,0,1
1487849408,0,1
1487858708,0,1
1487865008,0,1
1487869808,4,0
1487870108,13,0
1487870409,19,0
1487871308,0,2
1487874009,0,1
1487895308,0,1
1487914209,0,1
1487920809,0,1
1487956808,0,1
1487958909,0,1
1487966408,0,1
1487971210,60,0
