DateTime,Entries,UniqueIPs
1486746323,297446,307021
1486753509,297445,307020
1486765508,297444,307019
1486766409,297443,307018
1486772408,297442,307017
1486778109,297441,307016
1486782616,297443,307018
1486800909,297442,307017
1486801809,297441,307016
1486818609,297440,307015
1486827908,297439,307014
1486856109,297438,307013
1486863608,297437,307012
1486900809,297436,307011
1486920909,297435,307010
1486931110,297434,307009
1486939209,297433,307008
1486950009,297435,307010
1486950309,297438,307013
1486952409,297440,307015
1486952708,297441,307016
1486958408,297440,307015
1486961409,297439,307014
1486962309,297438,307013
1487002509,297437,307012
1487004008,297436,307011
1487009709,297435,307010
1487013610,297434,307009
1487028009,297453,307028
1487032208,297482,307057
1487032809,297537,307112
1487044809,297536,307111
1487062809,297535,307110
1487094010,297534,307109
1487097309,297533,307108
1487129109,297532,307107
1487147109,297530,307105
1487147409,297529,307104
1487157609,297528,307103
1487176508,297528,307102
1487183408,297527,307101
1487183709,297525,307098
1487184009,297527,307100
1487189408,297557,307130
1487191509,297557,307130
1487204409,297556,307129
1487214909,297555,307128
1487229608,297547,307120
1487229909,297545,307118
1487231109,297543,307116
1487244009,297542,307115
1487253910,297541,307114
1487254211,297538,307111
1487261709,297537,307110
1487262311,297536,307109
1487265309,297535,307108
1487280008,297551,307125
1487288409,297567,307141
1487288709,297599,307173
1487304609,297598,307172
1487325309,297603,307178
1487336709,297602,307177
1487338809,297601,307176
1487341209,297600,307175
1487341509,297599,307174
1487348709,297596,307171
1487355909,297595,307170
1487362508,297593,307168
1487369108,297592,307167
1487370908,297591,307166
1487381709,297590,307165
1487398508,297589,307164
1487426109,297588,307163
1487430608,297587,307162
1487434810,297586,307161
1487435109,297585,307160
1487436309,297584,307159
1487466609,297583,307158
1487474409,297582,307157
1487489408,297582,307156
1487492708,297581,307155
1487522408,297580,307154
1487529008,297579,307153
1487555409,297578,307152
1487557208,297577,307151
1487582108,297576,307150
1487586609,297575,307149
1487615109,297574,307148
1487633408,297573,307147
1487641208,297572,307146
1487641809,297571,307145
1487650809,297570,307144
1487658610,297569,307143
1487664609,297568,307142
1487673909,297567,307141
1487678710,297566,307140
1487690708,297566,307139
1487733008,297565,307138
1487798109,297564,307137
1487805608,297563,307136
1487807109,297562,307135
1487809209,297575,307148
1487809509,297587,307160
1487812208,297595,307168
1487812508,297623,307196
1487812808,297646,307220
1487813109,297676,307250
1487839808,297675,307249
1487849408,297674,307248
1487858708,297673,307247
1487865008,297672,307246
1487869808,297676,307250
1487870108,297689,307263
1487870409,297708,307282
1487871308,297706,307280
1487874009,297705,307279
1487895308,297704,307278
1487914209,297703,307277
1487920809,297702,307276
1487956808,297701,307275
1487958909,297700,307274
1487966408,297699,307273
1487971210,297758,307333
1487972109,297764,307339
1487972408,297772,307347
1487973008,297773,307348
1487973308,297775,307350
1487974209,297794,307369
1487974809,297799,307374
1487975109,297798,307373
1487975409,297794,307369
1487975708,297792,307367
1487976009,297791,307366
1487976309,297789,307364
1487977508,297788,307363
1487990709,297787,307362
1488000009,297786,307361
1488008108,297785,307360
1488011708,297784,307359
1488013209,297783,307358
1488014108,297817,307393
1488014408,297816,307392
1488019808,297843,307419
1488020109,297844,307420
1488022809,297872,307448
1488023109,297882,307459
1488024909,297883,307460
1488025508,297882,307459
1488029108,297881,307458
1488029711,297894,307471
1488030009,297904,307481
1488030608,297923,307502
1488031209,297929,307508
1488031811,297929,307508
1488032108,297941,307520
1488032708,297954,307533
1488033308,297966,307545
1488033908,297987,307566
1488034208,297994,307573
1488034509,298005,307584
1488035108,298006,307585
1488035408,298010,307589
1488035710,298038,307618
1488036009,298037,307617
1488036308,298034,307614
1488036908,298030,307610
1488037209,298027,307607
1488037509,298022,307602
1488037809,298017,307597
1488038108,298012,307592
1488038408,298012,307592
1488038709,298033,307613
1488039009,298031,307611
1488039309,298035,307615
1488040209,298033,307613
1488040509,298033,307613
1488040809,298035,307615
