DateTime,AddedIPs,RemovedIPs
1484665683,3,2
1484673604,4,4
1484685123,2,2
1484692803,1,3
1484700483,3,3
1484704337,1,1
1484712009,4,3
1484719923,6,5
1484727604,2,2
1484735283,6,7
1484742963,5,4
1484758323,1,1
1484766004,3,3
1484777523,5,4
1484785213,1,2
1484792883,15,14
1484800563,28,32
1484808242,5,8
1484815923,12,12
1484823605,6,6
1484827685,6,7
1484835604,6,6
1484843522,1,2
1484851203,2,2
1484858884,1,1
1484866563,5,5
1484874485,3,3
1484882164,7,6
1484886004,4,5
1484893683,1,1
1484901363,5,2
1484909042,1,2
1484916723,1,1
1484924405,3,4
1484932083,1,1
1484943844,1,2
1484951523,1,1
1484959204,5,4
1484966884,9,8
1484970723,11,14
1484978406,3,4
1484986323,3,3
1484994003,1,2
1485001683,3,2
1485009363,5,4
1485017043,3,2
1485024723,3,3
1485032406,2,2
1485036244,2,1
1485043924,5,5
1485051843,11,9
1485059528,33,33
1485067443,11,11
1485075124,1,1
1485083046,3,3
1485086883,5,6
1485094804,1,2
1485102482,1,0
1485110403,1,1
1485118083,3,3
1485125763,2,2
1485133684,8,9
1485137765,2,2
1485145444,1,0
1485153124,5,5
1485160805,2,3
1485168486,3,3
1485176163,3,3
1485183844,2,2
1485191526,2,2
1485210723,5,4
1485218403,1,1
1485226084,7,7
1485233764,6,7
1485237622,2,2
1485245285,9,7
1485252963,5,6
1485260648,3,3
1485268324,1,1
1485276005,2,2
1485283684,3,2
1485291365,2,2
1485299043,2,2
1485306725,8,9
1485310565,20,18
1485318484,2,2
1485326162,1,1
1485333843,4,4
1485341523,3,3
1485347284,3,3
1485354964,1,1
1485366483,4,4
1485382083,1,1
1485390003,0,1
1485397683,7,8
1485405363,2,2
1485413043,0,1
1485416886,1,0
1485424564,3,4
1485432244,3,2
1485439925,0,1
1485447845,1,1
1485455524,2,1
1485463452,2,2
1485471124,2,2
1485478806,3,2
1485482642,36,38
1485490323,7,7
1485498242,6,4
1485505923,5,6
1485513603,3,3
1485521283,3,2
1485528963,2,2
1485536765,2,2
1485540484,1,1
1485555846,1,1
1485571204,1,1
1485578884,7,6
1485594245,2,3
1485598086,2,2
1485613684,2,1
1485632884,2,2
1485648965,1,1
1485656644,11,14
1485664324,1,1
1485672004,2,1
1485679684,3,3
1485687365,1,1
1485691209,3,2
1485699123,1,1
1485714723,2,2
1485722404,1,2
1485730084,2,2
1485737763,1,1
1485745443,12,15
1485749285,9,11
1485757204,9,7
1485764907,6,6
1485772564,4,3
1485780243,1,1
1485787925,5,3
1485799442,1,1
1485811204,0,1
1485822738,8,11
1485838083,3,3
1485845763,5,7
1485853684,6,5
1485861602,7,7
1485869283,4,6
1485876973,4,4
1485884644,3,4
1485892323,7,5
1485900006,2,3
1485908164,5,2
1485916083,1,1
1485923764,5,6
1485931444,2,2
1485942965,2,1
1485950655,8,9
1485958325,1,1
1485966244,1,1
1485973925,1,1
1485981604,1,1
1485989283,2,3
1485996963,2,0
1486002724,8,9
1486010404,2,3
1486033684,3,2
1486037770,4,4
1486045444,1,1
1486057205,3,2
1486065123,1,2
1486072812,2,2
1486088883,9,9
1486096816,3,3
1486104483,5,5
1486108324,9,9
1486116010,3,3
1486123683,3,1
1486131603,0,1
1486139763,4,5
1486155363,3,3
1486163043,3,3
1486166884,8,7
1486174804,5,6
1486182484,3,3
1486190163,6,4
1486197843,1,1
1486205523,4,4
1486224722,3,3
1486232644,2,2
1486240324,1,1
1486248004,5,5
1486255683,4,3
1486263364,5,7
1486271043,2,2
1486278723,2,1
1486282803,1,1
1486290484,3,3
1486298176,2,2
1486306083,5,5
1486317605,3,3
1486325524,2,2
1486333443,1,1
1486341124,3,2
1486344962,17,15
1486356483,10,11
1486360323,2,3
1486368005,1,3
1486375683,7,9
1486383611,1,1
1486391283,3,2
1486398976,2,1
1486406643,1,1
1486414322,1,1
1486422009,4,5
1486426083,1,1
1486433763,1,1
1486449123,6,6
1486456817,1,2
1486464483,3,3
1486472164,6,5
1486480086,1,1
1486484164,6,5
1486491844,1,1
1486499523,3,3
1486507203,1,1
1486514882,1,1
1486522564,1,1
