DateTime,AddedIPs,RemovedIPs
1488601725,39,50
1488602667,23,21
1488602706,139,0
1488603380,13,10
1488603698,23,0
1488604839,47,31
1488605301,19,14
1488605787,20,32
1488606306,130,0
1488606735,34,25
1488607297,12,16
1488607714,42,58
1488608655,20,0
1488609138,19,16
1488609619,33,44
1488609906,154,0
1488610592,16,62
1488611063,13,23
1488611550,49,6
1488612518,26,56
1488612994,17,21
1488613473,30,35
1488613506,98,0
1488614501,39,7
1488614929,13,13
1488615404,41,29
1488616373,22,118
1488616837,15,0
1488617307,155,0
1488618269,34,37
1488618766,14,8
1488619251,38,78
1488620198,21,99
1488620666,26,18
1488620706,177,0
1488621148,40,0
1488622116,42,81
1488622591,24,5
1488623065,30,41
1488624033,38,103
1488624520,171,18
1488625003,29,254
1488625967,35,0
1488626442,25,12
1488626906,18,85
1488627876,30,34
1488628407,200,20
1488628922,58,38
1488630043,35,42
1488630977,24,32
1488631506,127,0
1488631947,32,32
1488632198,16,37
1488632911,44,44
1488633852,23,26
1488634116,15,0
1488634816,24,19
1488635107,156,0
1488635803,33,29
1488636283,13,15
1488636748,36,44
1488637715,34,30
1488638202,12,18
1488638671,23,30
1488638706,135,0
1488639693,36,36
1488640128,14,14
1488640833,39,39
1488641811,14,63
1488642277,13,6
1488642306,194,0
1488642748,34,2
1488643709,31,29
1488644195,11,17
1488644667,28,10
1488645623,29,27
1488646128,125,22
1488646588,24,29
1488647557,36,50
1488648046,7,11
1488648520,22,0
1488649466,28,62
1488649506,73,0
1488649968,5,15
1488650508,40,32
1488651613,25,0
1488652133,16,10
1488652599,24,52
1488653106,76,0
1488653556,44,44
1488654130,13,5
1488654510,39,26
1488655458,21,0
1488655955,18,9
1488656435,33,66
1488656706,91,0
1488657393,12,45
1488657880,11,23
1488658350,36,2
1488659326,30,68
1488659807,18,22
1488660264,27,34
1488660307,79,0
1488661312,38,0
1488661728,14,19
1488662453,32,69
1488663379,27,3
1488663644,2,0
1488663906,78,0
1488664346,39,29
1488665304,29,42
1488665583,15,18
1488666252,19,21
1488667218,24,27
1488667465,10,17
1488667506,168,0
1488668193,21,36
1488669150,31,40
1488669394,19,14
1488670096,15,81
1488671059,20,0
1488671315,87,12
1488672104,34,71
1488673238,63,62
1488674199,21,34
1488674707,59,2794
1488675161,44,45
1488676116,29,58
1488677061,19,31
1488678012,34,42
1488678306,61,0
1488678997,42,79
1488679947,32,43
1488680909,19,37
1488681857,21,46
1488681906,83,0
1488682914,32,43
1488684038,28,12
1488684771,15,15
1488684993,29,27
1488685506,60,0
1488685939,43,32
1488686673,8,7
1488686920,24,40
1488687855,38,28
1488688606,11,19
1488688813,30,19
1488689107,124,0
1488689783,29,38
1488690515,7,12
1488690750,27,35
1488691696,31,29
1488692466,19,17
1488692664,14,43
1488692706,84,0
1488693700,21,34
1488694343,27,16
1488694601,55,22
1488695819,24,47
1488696283,23,17
1488696306,88,0
1488696748,19,17
1488697711,48,32
1488698192,17,11
1488698665,25,37
1488699630,36,27
1488700129,98,14
1488700600,18,20
1488701558,44,28
1488702029,12,15
1488702520,20,19
1488703465,18,27
1488703507,93,0
1488703966,15,11
1488704514,48,37
1488705642,50,55
1488705869,11,14
1488706843,30,49
1488707107,94,0
1488707827,50,77
1488708759,26,33
1488709725,46,69
1488710662,28,26
1488710707,113,0
1488711714,64,91
1488712700,27,23
1488713562,17,24
1488713782,28,35
1488714307,121,0
1488714747,48,43
1488715729,29,41
1488716673,38,14
1488717646,33,33
1488717907,144,0
1488718585,34,37
1488719573,59,57
1488720523,14,32
1488721467,34,39
1488721507,88,0
1488722509,50,46
1488723394,19,14
1488723641,34,30
1488724575,19,26
1488725317,283,8
1488725558,64,57
1488726511,38,44
1488727480,31,25
1488728426,35,33
1488728706,96,0
1488729399,32,44
1488730368,45,23
1488731058,14,31
1488731320,32,34
1488732261,59,15
1488732307,219,0
1488732987,3,20
1488733316,52,41
1488734441,46,21
1488734895,21,7
1488735385,19,22
1488735907,233,0
1488736359,42,34
1488736915,4,6
1488737319,36,30
1488738275,23,19
1488738763,11,12
1488739246,59,29
1488739507,63,0
1488740184,26,33
1488740674,12,17
1488741161,38,23
1488742103,35,24
1488742590,14,13
1488743082,29,19
1488743107,102,0
1488744111,53,26
1488744513,13,14
1488745238,60,29
1488746188,29,28
1488746425,13,12
1488746707,89,0
1488747137,41,36
1488748116,41,26
1488748348,15,12
1488749054,18,24
1488750016,37,34
1488750306,79,0
1488751002,17,33
1488751949,32,17
1488752190,14,15
1488752912,45,25
1488753875,24,26
1488753907,61,0
1488754902,47,44
1488756054,40,55
1488756986,14,21
1488757507,71,0
1488757964,44,39
1488758904,57,20
1488759860,30,34
1488760838,42,34
1488761107,61,2834
1488761804,35,32
1488762764,54,30
1488763719,38,38
1488764673,51,32
1488764707,80,0
1488765704,36,36
1488766835,39,24
1488767795,38,28
1488768307,94,0
1488768756,24,28
1488769712,32,46
1488770665,21,30
1488771403,18,38
1488771622,31,31
1488771906,91,0
1488772584,21,30
1488773556,26,23
1488774511,23,28
1488775474,23,31
1488775507,123,0
1488776534,45,39
1488777140,22,27
1488777640,37,15
1488778587,26,24
1488779099,15,18
1488779106,179,0
1488779536,34,39
1488780515,30,27
1488780990,26,20
1488781460,25,47
1488782414,31,39
1488782906,144,18
1488783397,40,28
1488784355,26,35
1488784829,12,26
1488785320,26,38
1488786274,30,24
1488786763,159,20
1488787319,49,52
1488788438,61,21
1488788668,23,3
1488789380,25,31
1488789907,153,0
1488790346,31,39
1488790589,17,12
1488791307,41,69
1488792254,20,36
1488793225,39,0
1488793507,138,0
1488794191,30,33
1488794526,14,23
1488795148,17,32
1488796094,27,35
1488796360,11,15
1488797068,62,78
1488797107,145,0
1488798097,71,0
1488799219,68,54
1488800337,33,31
1488800676,25,25
1488800707,126,0
1488801390,30,28
1488802356,42,23
1488802615,15,0
1488803317,32,28
1488804266,36,35
1488804508,132,0
1488805318,34,36
1488806455,39,28
1488807383,22,18
1488807907,106,0
1488808358,39,48
1488809296,34,36
1488810269,44,78
1488811233,43,42
1488811508,195,0
1488812192,34,58
1488813162,42,20
1488814112,50,26
1488815062,26,19
1488815107,111,0
1488816135,57,25
1488817227,42,20
1488817963,7,15
1488818184,17,24
1488818707,113,0
1488819225,29,70
1488820116,13,12
1488820356,27,36
1488821063,7,6
1488821303,18,20
1488822032,19,25
1488822264,18,28
1488822307,174,0
1488822990,11,4
1488823297,22,24
1488823964,5,13
1488824411,22,17
1488824900,15,6
1488825388,15,17
1488825856,8,4
1488825907,80,0
1488826340,30,28
1488826900,12,6
1488827320,20,19
1488827806,22,25
1488828273,14,14
1488828762,7,4
1488829222,27,13
1488829731,121,13
1488830191,16,31
1488830921,10,10
1488831150,31,32
1488831635,24,12
1488831873,10,6
1488832093,30,11
1488832823,8,3
1488833052,16,29
1488833107,69,0
1488833793,3,8
1488834088,23,43
1488834738,3,5
1488834996,8,11
1488835475,12,30
1488835700,11,8
1488835961,22,28
1488836648,7,3
1488836925,92,19
1488837399,13,0
1488837708,6,11
1488838120,24,17
1488838823,4,2
1488839078,13,28
1488839293,8,14
1488839779,6,4
1488840038,22,23
1488840307,104,0
1488840766,4,3
1488840986,9,33
1488841693,6,5
1488841959,26,31
1488842662,10,4
1488842918,17,15
1488843142,13,11
1488843611,3,1
1488843867,21,32
1488843907,67,0
1488844580,2,10
1488844912,54,41
1488845321,13,11
1488845546,2,5
1488846018,25,12
1488846504,4,4
1488846989,22,21
1488847227,7,16
1488847452,7,3
1488847507,60,2578
1488847934,15,24
1488848489,10,9
1488848921,32,20
1488849138,19,14
1488849397,4,1
1488849878,15,24
1488850356,15,6
1488850831,22,24
1488851054,26,15
1488851315,105,4
1488851799,18,26
1488852267,11,11
1488852772,26,18
1488853246,33,4
1488853730,26,18
1488854200,3,9
1488854663,24,19
1488854706,103,0
1488855180,33,4
1488855725,27,36
1488856119,6,5
1488856854,20,12
1488857316,25,7
1488857792,9,22
1488858291,3,4
1488858307,127,0
1488858760,28,20
1488859313,25,22
1488859730,34,26
1488860425,10,4
1488860689,7,21
1488861162,14,0
1488861387,6,9
1488861644,23,26
1488861907,109,0
1488862361,9,7
1488862601,21,33
1488863078,9,0
1488863303,9,7
1488863566,16,22
1488864276,2,3
1488864519,25,19
1488865000,2,21
1488865217,12,4
1488865466,17,29
1488865507,258,0
1488866199,6,3
1488866507,29,26
1488866919,7,8
1488867139,3,9
1488867619,22,17
1488868098,4,14
1488868597,10,22
1488868837,10,21
1488869050,12,10
1488869107,157,0
1488869551,19,21
1488870106,7,17
1488870522,36,22
1488870740,26,26
1488871221,8,21
1488871475,4,16
1488872193,3,17
1488872423,15,20
1488872654,27,9
1488872708,128,0
1488873146,7,30
1488873383,19,29
1488874097,5,18
1488874363,16,19
1488874847,25,25
1488875073,10,9
