DateTime,Entries,UniqueIPs
1488432976,199403,214944
1488433448,199397,214938
1488433948,199396,214937
1488434503,199400,214941
1488434895,199400,214942
1488435649,199388,214930
1488435850,199392,214933
1488436594,199378,214918
1488436830,199381,214922
1488437565,199388,214929
1488437772,199385,214924
1488438497,199383,214922
1488438764,199386,214924
1488439454,199378,214915
1488439712,199384,214922
1488440429,199370,214907
1488440660,199369,214906
1488441384,199374,214911
1488441693,199373,214911
1488442348,199372,214910
1488442598,199378,214916
1488443302,199377,214915
1488443555,199373,214917
1488444285,199356,214900
1488444766,199356,214900
1488445298,199359,214904
1488445710,199370,214917
1488446441,199378,214924
1488446655,199378,214925
1488447395,199350,214897
1488447611,199355,214902
1488448346,199362,214909
1488448608,199363,214910
1488449314,199343,214888
1488449546,199344,214889
1488450254,199350,214896
1488450519,199356,214899
1488451309,199346,214889
1488451468,199343,214887
1488452503,199351,214903
1488453624,199351,214901
1488454585,199346,214896
1488455543,199342,214891
1488456513,199335,214885
1488457457,199349,214899
1488458413,199360,214911
1488459387,199366,214917
1488460355,199365,214916
1488461313,199363,214913
1488462253,199361,214910
1488463304,199348,214895
1488464418,199344,214891
1488465397,199341,214888
1488466343,199341,214887
1488467305,199334,214880
1488468262,199340,214886
1488469214,199352,214898
1488470190,199354,214901
1488471163,199348,214893
1488472111,199344,214888
1488473061,199356,214899
1488474129,199356,214899
1488475273,199494,215000
1488476187,199486,214998
1488477159,199475,214987
1488478107,199488,215000
1488479053,199489,214999
1488480011,199479,214996
1488480998,199495,215021
1488481963,199498,215029
1488482913,199511,215047
1488483888,199512,215051
1488484912,199531,215071
1488486036,199530,215072
1488486976,199544,215089
1488487958,199542,215086
1488488905,199554,215098
1488489851,199552,215103
1488490826,199535,215085
1488491791,199542,215093
1488492764,199536,215086
1488493728,199549,215100
1488494670,199544,215104
1488495710,199538,215096
1488496849,199527,215087
1488497787,199540,215102
1488498755,199537,215099
1488499712,199548,215116
1488500675,199540,215110
1488501625,199541,215113
1488502604,199529,215100
1488503555,199544,215117
1488503573,199631,215222
1488504524,199622,215214
