DateTime,AddedIPs,RemovedIPs
1488462962,7,5
1488463344,7,2
1488463922,1,0
1488464522,4,2
1488465122,14,34
1488465843,43,6
1488466322,10,13
1488466562,2,9
1488466922,9,18
1488467006,1,4
1488467522,3,6
1488467764,0,67
1488468122,2,0
1488468781,2,2
1488469322,2,1
1488469682,43,0
1488469922,1,6
1488470163,3,0
1488470521,5,0
1488470606,0,5
1488471122,8,1
1488471722,0,1
1488472322,20,5
1488472922,4,42
1488473522,53,20
1488473762,11,12
1488474147,8,0
1488474722,18,9
1488475684,4,67
1488475922,2,0
1488476522,7,0
1488477122,13,0
1488477607,48,0
1488477722,4,12
1488478322,2,6
1488478922,8,22
1488479523,42,12
1488479581,0,2
1488480122,11,51
1488480722,5,1
1488480962,2,6
1488481444,6,65
1488481921,2,2
1488482522,15,6
1488483121,14,1
1488483363,53,0
1488484322,10,1
1488484563,5,0
1488484945,4,8
1488486121,13,50
1488486721,13,59
1488487211,32,87
1488487322,17,5
1488488163,2,6
1488488522,13,7
1488488606,1,5
1488489123,43,4
1488489722,9,1
1488490922,4,14
1488491521,3,0
1488491763,1,4
1488492121,4,0
1488492146,0,2
1488492722,2,75
1488492963,0,55
1488493322,2,0
1488494521,4,18
1488494882,42,0
1488495121,6,1
1488495362,6,0
1488495805,1,9
1488496322,2,0
1488496804,0,53
1488496922,3,0
1488498121,3,5
1488498724,54,0
1488498963,2,4
1488499405,1,7
1488500644,0,141
1488501122,3,16
1488501721,0,21
1488502322,6,2
1488502562,60,0
1488502945,3,0
1488504122,1,0
1488505322,8,1
1488505922,2,26
1488506411,62,120
1488506606,1,50
1488507122,1,0
1488507722,10,10
1488508322,45,6
1488508921,1,0
1488509521,1,1
1488509766,1,0
1488510121,2,3
1488510721,0,3
1488511323,4,8
1488512164,81,52
1488512522,0,17
1488513121,1,17
1488513363,2,14
1488513722,0,25
1488513746,0,4
1488514321,0,5
1488514921,4,1
1488515522,2,0
1488516003,82,9
1488516122,2,3
1488516722,6,0
1488516963,4,12
1488517407,0,2
1488517923,3,168
1488518522,1,0
1488519122,2,19
1488519843,77,12
1488520322,1,0
1488520563,2,3
1488520922,0,22
1488521006,0,1
1488522121,0,2
1488522781,5,0
1488523322,7,5
1488523683,63,71
1488524163,3,8
1488524605,3,2
1488525606,0,48
1488525722,3,11
1488526321,3,22
1488526922,1,31
1488527523,40,0
1488527763,13,5
1488528147,1,20
1488528721,2,2
1488529445,0,49
1488530522,2,1
1488531122,4,1
1488531364,55,0
1488531722,5,0
1488531807,1,2
1488532321,2,3
1488532921,0,18
1488533522,1,2
1488534121,0,7
1488535211,46,80
1488535347,0,7
1488536522,4,0
