DateTime,Entries,UniqueIPs
1488565982,44865,51682
1488566409,44878,51695
1488566522,44874,51691
1488567362,44864,51680
1488567807,44861,51677
1488568321,44859,51675
1488568922,44860,51676
1488569522,44856,51671
1488570243,44781,51596
1488570963,44774,51589
1488571322,44735,51551
1488571406,44734,51550
1488571922,44723,51539
1488572521,44722,51538
1488573122,44726,51542
1488573721,44731,51547
1488574083,44767,51583
1488574322,44760,51576
1488574563,44747,51563
1488574946,44737,51553
1488576122,44715,51531
1488576722,44670,51486
1488577321,44671,51487
1488577923,44633,51449
1488578163,44632,51448
1488578606,44625,51441
1488579122,44624,51440
1488579723,44623,51439
1488580924,44625,51441
1488581764,44649,51466
1488582208,44632,51449
1488582721,44605,51422
1488583921,44585,51402
1488584522,44575,51392
1488585121,44566,51383
1488585363,44570,51387
1488585843,44505,51322
1488586321,44505,51322
1488586936,44501,51319
1488587764,44562,51380
1488588123,44561,51379
1488588721,44560,51379
1488588963,44557,51376
1488589407,44555,51374
1488589922,44549,51367
1488590522,44552,51370
1488591604,44585,51403
1488591722,44584,51403
1488592321,44586,51406
1488592563,44586,51406
1488593008,44576,51397
1488593524,44500,51321
1488594121,44489,51310
1488595443,44472,51293
1488595922,44469,51290
1488596163,44469,51290
1488596607,44467,51288
1488597121,44467,51288
1488597364,44392,51213
1488597722,44395,51216
1488598922,44391,51212
1488599282,44465,51286
1488599526,44459,51280
1488600207,44452,51272
1488600722,44378,51198
1488601922,44338,51158
1488602521,44336,51156
1488603124,44327,51147
1488603362,44325,51145
1488603808,44326,51146
1488604922,44318,51138
1488605522,44322,51142
1488606121,44322,51142
1488606721,44318,51138
1488606974,44243,51063
1488607322,44214,51034
1488607409,44212,51032
1488607921,44197,51017
1488609121,44194,51014
1488609722,44193,51013
1488610322,44195,51015
1488610922,44256,51076
1488610947,44253,51073
1488611522,44250,51070
1488612122,44236,51056
1488613321,44225,51045
1488613923,44221,51041
1488614429,44227,51047
1488614884,44193,51012
1488615121,44196,51015
1488615721,44197,51016
1488616804,44246,51065
1488616922,44247,51066
1488617521,44237,51056
1488617762,44238,51057
1488618122,44220,51037
1488618722,44185,51001
1488619322,44186,51002
1488619921,44182,50998
1488619981,44181,50997
1488620644,44208,51024
1488621122,44210,51026
1488621362,44207,51023
1488621723,44211,51027
1488621807,44208,51024
1488622562,44159,50975
1488622922,44146,50962
1488623522,44118,50933
1488624122,44119,50934
1488624483,44169,50984
1488624721,44162,50977
1488624963,44164,50979
1488625321,44158,50973
1488625409,44156,50971
1488625923,44160,50975
1488626521,44166,50981
1488627121,44174,50989
1488627722,44174,50989
1488628323,44176,50991
1488628563,44185,51000
1488628949,44178,50993
1488630122,44226,51041
1488630721,44241,51057
1488631322,44243,51059
1488631922,44252,51069
1488632164,44248,51065
1488632521,44241,51059
1488633122,44243,51061
1488633721,44244,51062
1488634082,44215,51033
1488634922,44176,50994
1488635521,44182,51000
1488636148,44176,50994
1488637922,44185,51003
1488638163,44245,51063
1488639121,44248,51066
1488639362,44251,51069
1488640085,44152,50969
1488640322,44154,50971
1488640921,44143,50961
1488641581,44143,50961
1488642243,44185,51004
1488642962,44177,50996
1488643322,44171,50990
1488643348,44170,50989
1488644168,44115,50934
1488644522,44113,50931
1488645722,44068,50885
1488646082,44112,50929
1488646322,44103,50920
1488646563,44109,50926
1488646948,44115,50932
1488647522,44115,50931
1488648170,44123,50939
1488648722,44124,50940
1488649321,44127,50943
1488649924,44109,50923
1488650162,44114,50928
1488650548,44080,50894
1488651721,44076,50890
1488652921,44070,50882
1488654007,44124,50936
1488654122,44125,50937
1488654208,44120,50932
1488655321,44124,50936
1488655923,44103,50915
1488656522,44100,50912
1488657122,44099,50911
1488657363,44105,50917
1488657721,44104,50916
1488657809,44102,50914
1488658924,44096,50908
1488659521,44099,50911
1488659765,44108,50920
1488660121,44106,50918
1488660722,44113,50925
1488660963,44107,50919
1488661692,44047,50859
1488661921,44048,50860
1488662522,44055,50867
1488663121,44056,50868
1488663603,44094,50906
1488663721,44098,50910
1488664322,44104,50916
1488664563,44109,50922
1488664922,44112,50926
1488665008,44110,50924
1488665523,44059,50873
1488666122,44062,50876
1488666721,44022,50836
1488667442,44046,50860
1488667921,44046,50859
1488668164,44043,50856
1488668608,44038,50851
1488669722,44039,50852
1488670322,44039,50853
1488670921,44040,50854
1488671285,43977,50791
1488671521,43972,50786
1488672209,43913,50729
1488673203,43944,50760
1488673322,43943,50760
1488673922,43946,50763
1488674522,43931,50748
1488675124,43990,50807
1488675723,43989,50806
1488677045,43935,50747
1488677581,43934,50746
1488678122,43916,50728
1488678973,43867,50679
1488679408,43865,50677
1488680522,43860,50672
1488681722,43867,50679
1488682807,43923,50735
1488682948,43907,50719
1488684122,43878,50690
1488684723,43940,50753
1488685322,43942,50755
1488686163,43940,50753
1488686643,43784,50596
1488687122,43785,50597
1488687722,43784,50596
1488688229,43785,50597
1488688564,43901,50713
1488688922,43870,50683
1488689522,43860,50672
1488689762,43860,50672
1488690151,43859,50671
1488691322,43860,50672
1488691921,43861,50673
1488692405,43767,50579
1488692522,43768,50580
1488693122,43761,50573
1488693362,43767,50579
1488693808,43768,50580
1488694322,43766,50578
1488694922,43764,50576
1488695581,43760,50572
1488696249,43828,50640
1488696721,43827,50639
1488696963,43827,50639
1488697322,43828,50640
1488697348,43825,50637
1488697922,43828,50640
1488698522,43833,50645
1488699122,43832,50644
1488699721,43834,50646
1488700083,43824,50636
1488700563,43828,50641
1488701008,43827,50640
1488701522,43829,50642
1488702122,43825,50638
1488702722,43824,50637
1488702781,43801,50613
1488703322,43777,50589
1488703923,43812,50624
1488704162,43818,50630
1488704549,43819,50631
1488705123,43820,50632
1488705845,43758,50569
1488706322,43757,50568
1488706922,43761,50572
1488707773,43808,50619
1488708150,43784,50595
1488709322,43780,50591
1488710522,43779,50590
1488711122,43778,50589
1488711614,43749,50560
1488711748,43746,50557
1488712321,43747,50558
