DateTime,AddedIPs,RemovedIPs
1488060099,5,2
1488060601,0,638
1488064083,3,2
1488064604,147,0
1488066001,6,0
1488066337,0,1001
1488067923,2,1
1488069676,255,0
1488071049,0,4
1488073200,3,0
1488073922,17,76
1488075603,58,571
1488080400,7,0
1488082038,4,2
1488083284,2,1
1488086278,25,0
1488087901,5,0
1488088322,13,38
1488090963,1,0
1488092993,3,2
1488094801,3,0
1488097020,16,0
1488098643,2,2
1488101486,1,0
1488102601,6,0
1488102722,22,43
1488103275,0,35
1488103934,1,3
1488106563,0,1
1488107728,9,0
1488109201,5,0
1488113142,224,264
1488114483,2,1
1488114957,7,3
1488116401,4,0
1488117122,25,39
1488118323,1,0
1488118582,138,0
1488118621,0,1
1488119540,508,0
1488124201,3,0
1488126249,262,6
1488129001,671,0
1488129382,115,0
1488130801,5,0
1488131521,16,62
1488133925,4,2
1488136920,6,2
1488138302,1,0
1488140182,138,0
1488141604,1,2
1488145201,3,0
1488145922,18,58
1488146468,0,596
1488147809,4,5
1488149283,2,2
1488150982,132,0
1488152391,254,0
1488152401,6,0
1488156963,2,2
1488157265,1,0
1488158905,2,5
1488159601,2,0
1488160322,21,46
1488161754,37,973
1488164643,5,7
1488166801,3,1
1488168484,1,1
1488169866,8,6
1488170738,0,255
1488174001,11,0
1488174722,26,31
1488176162,1,1
1488177601,1,0
1488180438,305,0
1488180967,4,1
1488181201,5,1
1488183844,0,1
1488187107,45,0
1488187881,2,0
1488188401,3,1
1488189122,26,28
1488189676,2,0
1488190201,0,36
1488191522,2,2
1488191871,5,10
1488193276,1,0
1488195601,6,0
1488199542,177,215
1488202268,30,0
1488202755,6,2
1488203102,5,1
1488203522,17,30
1488205108,199,0
1488205870,1,2
1488206883,2,2
1488209609,511,0
1488210001,4,0
1488213820,6,1
1488213902,382,0
1488216001,130,0
1488217501,2,1
1488217922,31,25
1488218410,0,3
1488218919,5,3
1488220464,501,0
1488224812,11,7
1488226082,0,1
1488226801,116,0
1488231901,3,1
1488232322,29,20
1488233762,2,587
1488235143,254,0
1488235801,4,6
1488237480,140,0
1488238801,12,0
1488246678,9,2
1488246722,30,23
1488248128,66,649
1488253502,6,0
1488257637,4,6
1488260401,5,2
1488261122,19,6
1488267601,4,0
1488268324,5,9
1488268440,3,3
1488274801,56,1
1488275521,27,12
1488276009,9,6
1488277201,0,30
1488279304,2,9
1488282001,5,0
1488283272,1,0
1488283924,0,2
1488286801,205,194
1488289201,3,0
1488289922,16,85
1488290473,7,9
1488291604,1,0
1488292269,1,1
1488295100,213,0
1488297001,2,0
1488298529,254,0
1488299283,1,1
1488300001,718,0
1488301456,4,2
1488302124,0,255
1488303077,3,0
1488303601,3,0
1488304321,28,109
1488305881,415,0
1488306968,0,1
1488310801,4,0
1488312105,5,3
1488312930,0,255
1488314643,0,1
1488316659,302,0
1488318001,5,0
1488318721,22,56
1488319801,0,976
1488322322,0,1
1488323299,11,7
1488323736,254,0
1488325201,3,0
1488325501,251,0
1488327339,140,0
1488330004,5,2
1488332401,6,0
1488333122,32,49
1488334083,1,1
1488334291,9,5
1488334684,58,858
1488339601,3,0
1488342003,8,10
1488345359,1,5
1488345509,55,0
1488346275,1,0
1488346801,4,0
1488347522,18,65
1488351682,1,0
1488353473,1,0
1488354001,5,0
1488355272,1,0
1488356293,5,1
1488357364,3,5
1488361201,5,0
1488361922,24,31
1488363001,0,23
1488367031,49,4
1488368401,178,205
1488371480,2,0
1488372723,2,9
1488374273,82,0
1488375601,2,0
1488376321,23,27
1488378407,5,6
1488380408,2,1
1488382328,509,0
1488382801,3,0
1488385069,157,0
1488385870,0,767
1488386401,815,0
1488389044,3,5
1488389490,2,0
1488389813,253,0
1488390302,5,0
1488390722,21,29
1488393625,1,1
1488395763,4,2
1488395876,130,0
1488397502,3,1
1488399605,1,3
1488400030,5,5
1488402931,252,0
1488404702,5,0
1488405122,16,14
1488405664,0,1187
1488406801,423,0
1488407283,1,0
1488408001,1,0
1488411149,1,2
1488412201,6,0
1488414964,0,2
1488415538,255,0
1488417328,102,836
1488419522,34,18
1488422184,5,4
1488423601,255,0
1488426001,5,1
1488427263,0,253
1488428138,62,0
1488430563,12,16
1488433092,7,2
1488433201,9,0
1488433922,26,11
1488438242,4,2
1488438938,22,0
1488440401,4,1
1488443898,7,4
1488445304,2,0
1488445923,2,3
1488446140,0,255
1488447076,1,0
1488447601,2,0
1488448322,27,15
1488449401,0,25
1488450687,1,0
1488451201,0,248
1488453602,5,2
1488454680,5,3
1488454801,168,150
1488461283,1,2
1488462001,4,1
1488462721,22,6
1488464651,1,1
1488465488,9,7
1488467847,218,0
1488469201,1769,0
1488472803,1,2
1488473126,734,0
1488476293,3,4
1488476702,7,0
1488477122,28,8
1488478624,135,0
1488480483,3,3
1488480987,1,0
1488482135,255,0
1488483902,2,2
1488487119,5,5
1488488163,4,3
1488489421,117,0
1488490801,6,0
1488491522,29,11
1488492601,0,948
1488496083,1,1
1488498169,11,4
1488498434,255,0
1488501053,123,0
1488503763,1,0
1488505922,34,11
1488507398,56,645
1488509149,2,0
1488511444,12,10
1488512401,3,1
1488520076,11,2
1488520322,28,9
1488522969,13,3
1488525427,65,0
1488526276,1,0
1488526801,5,1
1488530644,3,2
1488531116,5,1
1488534482,3,4
1488534722,44,9
1488535269,0,20
1488541201,138,169
1488542185,8,2
1488543423,34,0
1488549001,1,1
1488549121,21,11
1488550083,1,0
1488551154,255,1
1488552325,256,0
1488553201,10,1
1488554212,248,0
1488555901,2,0
1488557768,1,501
1488559201,1,0
1488561001,857,0
1488562801,8,0
1488563522,30,5
1488564369,1,5
1488565012,152,0
1488568532,0,248
1488570301,3,0
1488573123,2,0
1488573601,1,0
1488575080,6,3
1488575812,144,0
1488576001,6,1
1488577922,40,13
1488579332,0,907
1488581043,4,5
1488583201,5,0
1488586091,3,3
1488587159,107,0
1488589206,2,2
1488590401,5,0
1488592322,31,11
1488593284,1,0
1488594221,52,664
1488597150,6,3
1488597853,2,1
1488600967,7,12
1488601455,55,0
1488605100,3,0
1488606721,25,7
1488608177,4,2
1488608643,3,1
1488610201,26,0
1488612398,2,1
1488616326,1,0
1488619192,16,2
1488619201,2,0
1488621122,29,11
1488621936,1,23
1488624010,0,3
1488625801,0,1
1488626856,5,0
1488627080,1,0
1488628201,149,234
1488630219,36,4
1488630685,1,0
1488631683,3,1
1488633601,3,0
1488635522,287,8
1488637485,1,0
1488638720,138,0
1488639363,0,1
1488640528,0,254
1488641279,6,7
1488645079,695,0
1488647042,0,1
1488647811,130,0
1488648001,6,1
1488649922,34,16
1488650883,9,6
1488652313,13,3
1488655201,8,0
1488658569,3,2
1488658733,130,0
1488662401,6,1
1488663346,8,3
1488664321,35,8
1488666243,1,682
1488669412,145,0
1488669601,9,0
1488673524,253,0
1488673922,2,3
1488674365,3,4
1488675651,1,0
1488676801,7,0
1488678722,26,7
1488680183,51,660
1488681609,2,1
1488684341,3,1
1488685309,10,1
1488688276,1,0
1488689283,6,10
1488691121,80,0
1488691548,6,0
1488693122,20,40
1488696139,4,4
1488696963,1,1
1488699093,4,0
1488702131,25,0
1488704882,3,3
1488705601,1,1
1488707172,4,1
1488707521,25,16
1488708723,1,22
1488712551,38,0
1488713238,5,0
1488714090,138,270
1488718093,3,3
1488720467,5,1
1488721922,33,6
1488723430,201,0
1488724322,1,3
1488726002,0,765
1488727201,6,0
1488727881,1,0
1488729030,9,6
1488729705,2,0
