DateTime,Entries,UniqueIPs
1488606904,94688,9590911
1488607297,94684,9590907
1488607504,94683,9590906
1488608106,94680,9590903
1488608703,94682,9590905
1488609138,94680,9590904
1488609305,94779,9591006
1488609904,94782,9591009
1488610504,94786,9591013
1488611063,94783,9591010
1488611103,94780,9591007
1488611703,94809,9591043
1488612318,94807,9591041
1488612994,94810,9591042
1488613209,94818,9591050
1488613504,94819,9591051
1488614103,94820,9591051
1488614929,94818,9591049
1488615004,94817,9591048
1488615604,94815,9591047
1488616203,94857,9591089
1488616837,94845,9591076
1488617405,94842,9591072
1488618002,94844,9591074
1488618766,94828,9591058
1488618988,94851,9591081
1488619503,94941,9591179
1488620106,95027,9591265
1488620666,95037,9591276
1488620703,95139,9591378
1488621006,95138,9591377
1488621605,95149,9591388
1488622205,95148,9591387
1488622591,95151,9591390
1488622834,95150,9591389
1488623107,95116,9591355
1488623703,95115,9591354
1488624520,95134,9591373
1488624906,95129,9591368
1488625502,95128,9591367
1488625804,95127,9591366
1488626442,95125,9591363
1488627004,95122,9591360
1488627605,95120,9591357
1488627862,95125,9591362
1488628407,95152,9591390
1488628804,95152,9591390
1488629403,95151,9591389
1488630004,95155,9591394
1488630603,95154,9591393
1488631203,95158,9591398
1488631507,95140,9591372
1488632198,95218,9591450
1488632705,95218,9591450
1488633304,95215,9591447
1488634116,95227,9591458
1488634504,95241,9591472
1488635104,95238,9591467
1488635704,95229,9591458
1488636283,95241,9591470
1488636303,95236,9591465
1488636904,95234,9591463
1488637504,95230,9591459
1488638202,95232,9591461
1488638705,95222,9591451
1488639303,95225,9591454
1488640128,95217,9591436
1488640205,95242,9591461
1488640804,95323,9591542
1488641707,95516,9591735
1488642277,95514,9591734
1488642501,95693,9591913
1488642904,95824,9592045
1488643504,95966,9592187
1488644195,96035,9592258
1488644705,96108,9592331
1488645304,96387,9592625
1488646128,96566,9592804
1488646206,96929,9593168
1488646509,97003,9593241
1488647103,97160,9593403
1488647705,97365,9593664
1488648046,97349,9593648
1488648305,97536,9593827
1488648905,97756,9594049
1488649505,98132,9594434
1488649968,98123,9594425
1488650106,98331,9594634
1488650704,98436,9594739
1488651305,98589,9594893
1488652133,98825,9595132
1488652505,99123,9595430
1488653106,99388,9595695
1488653705,99531,9595836
1488654130,99540,9595845
1488654304,99645,9595950
1488654905,99772,9596077
1488655213,99775,9596083
1488655955,99904,9596212
1488656404,100012,9596320
1488657159,99973,9596269
1488657306,99970,9596264
1488657880,99961,9596255
1488657905,99960,9596254
1488658507,99974,9596272
1488659104,99970,9596268
1488659807,99960,9596260
1488660010,99910,9596207
1488660608,99848,9596125
1488661204,99847,9596124
1488661728,99851,9596129
1488661804,99852,9596130
1488662405,99842,9596127
1488662666,99874,9596159
1488663005,99952,9596250
1488663644,99941,9596238
1488664207,100037,9596330
1488664804,100015,9596308
1488665583,100103,9596407
1488665714,100016,9596320
1488666304,100015,9596319
1488666905,100007,9596311
1488667465,100005,9596309
1488667513,99980,9596284
1488668105,99983,9596287
1488668410,99970,9596274
1488669008,99972,9596277
1488669394,99968,9596274
1488669606,99982,9596293
1488670204,99989,9596301
1488670806,99990,9596302
1488671315,99982,9596294
1488671406,99971,9596283
1488671781,99981,9596293
1488672013,99958,9596289
1488672306,99967,9596296
1488672936,99866,9596169
1488673226,99863,9596165
1488673504,99945,9596255
1488674104,99945,9596255
1488674733,99850,9596157
1488675156,99850,9596156
1488675304,99859,9596167
1488675607,99858,9596165
1488676205,99856,9596164
1488676805,99858,9596166
1488677426,99816,9596114
1488678003,99893,9596206
1488678608,99886,9596198
1488678984,99879,9596192
1488679208,99877,9596190
1488679810,99874,9596187
1488681006,99847,9596161
1488681606,99849,9596163
1488682204,99848,9596161
1488682908,99825,9596137
1488683405,99821,9596133
1488684005,99816,9596128
1488684771,99807,9596119
1488684905,99815,9596127
1488685505,99813,9596125
1488686104,99810,9596122
1488686477,99816,9596128
1488686673,99813,9596125
1488686705,99814,9596126
1488687303,99813,9596125
1488687906,99882,9596218
1488688606,99843,9596176
1488688813,99863,9596208
1488689425,99849,9596190
1488690007,99845,9596186
1488690515,99839,9596180
1488690604,99843,9596184
1488691204,99843,9596183
1488691513,99739,9596078
1488692466,99748,9596088
1488692705,99739,9596080
1488693304,99731,9596073
1488693904,99734,9596076
1488694343,99747,9596088
1488694503,99744,9596085
1488695104,99734,9596074
1488695710,99634,9595973
1488696283,99628,9595968
1488696304,99643,9595987
1488696904,99634,9595978
1488697504,99628,9595972
1488698192,99603,9595939
1488698711,99510,9595846
1488699306,99517,9595853
1488700129,99509,9595845
1488700504,99503,9595839
1488701069,99510,9595848
1488701103,99521,9595859
1488701703,99514,9595852
1488702029,99505,9595842
1488702304,99505,9595841
1488702609,99465,9595801
1488703203,99466,9595802
1488703966,99466,9595801
1488704406,99501,9595837
1488705004,99502,9595838
1488705604,99491,9595827
1488705869,99492,9595828
1488706485,99440,9595767
1488706504,99349,9595676
1488707109,99248,9595575
1488707821,99241,9595568
1488708303,99239,9595566
1488708904,99241,9595568
1488709720,99232,9595559
1488709945,99229,9595556
1488710103,99231,9595558
1488710705,99225,9595552
1488711303,99220,9595547
1488711703,99215,9595541
1488711903,99218,9595544
1488712503,99222,9595548
1488712806,99217,9595543
1488713562,99213,9595539
1488714005,99208,9595534
1488714607,99195,9595521
1488715204,99193,9595519
1488715719,99201,9595527
1488715804,99199,9595525
1488716405,99186,9595512
1488717004,99186,9595512
1488717604,99280,9595605
1488718208,99191,9595517
1488718805,99186,9595512
1488719559,99200,9595527
1488720005,99198,9595525
1488720608,99178,9595505
1488721206,99177,9595504
1488721461,99177,9595501
1488721804,99188,9595512
1488722404,99180,9595505
1488723004,99274,9595599
1488723394,99277,9595601
1488723604,99276,9595600
1488724205,99271,9595595
1488724805,99269,9595593
1488725317,99259,9595582
1488725406,99256,9595579
1488726005,99253,9595576
1488726603,99249,9595572
1488726906,99204,9595527
1488727503,99142,9595465
1488728112,98923,9595245
1488728708,98792,9595112
1488729010,98706,9595026
1488729608,98559,9594879
1488730355,98499,9594819
1488730508,98433,9594753
1488731058,98412,9594729
1488731112,98350,9594667
1488731726,98097,9594402
1488732313,97782,9594082
1488732987,97436,9593736
1488733508,97290,9593588
1488733817,97182,9593480
1488734409,97058,9593311
1488734895,97060,9593314
1488735018,96843,9593097
1488735612,96663,9592932
1488736221,96348,9592610
1488736915,96235,9592495
1488737408,96103,9592363
1488738012,93267,9589371
1488738763,95679,9591935
1488739213,95402,9591657
1488739812,95205,9591460
1488740408,95088,9591343
1488740674,95083,9591338
1488741009,95009,9591264
1488741613,94857,9591109
1488742212,94749,9591001
1488742590,94745,9590996
1488742806,94638,9590889
1488743404,94626,9590884
1488744004,94623,9590881
1488744513,94626,9590884
1488744604,94624,9590882
1488744985,94636,9590894
1488745505,94576,9590829
1488746106,94573,9590826
1488746425,94575,9590828
1488746703,94532,9590785
1488747304,94532,9590785
1488747904,94524,9590777
1488748348,94523,9590776
1488748504,94528,9590780
1488749107,94464,9590705
1488749703,94449,9590687
1488750269,94472,9590710
1488750308,94460,9590699
1488750903,94434,9590673
1488751505,94425,9590664
1488752190,94359,9590589
1488752403,94362,9590592
1488753004,94373,9590603
1488753602,94373,9590603
1488754203,94399,9590630
1488754803,94399,9590630
1488755406,94397,9590628
1488756042,94370,9590595
1488756604,94443,9590685
1488757203,94455,9590708
1488757959,94454,9590706
1488758408,94394,9590633
1488759004,94391,9590630
1488759634,94330,9590561
1488759854,94342,9590574
1488760203,94349,9590581
1488760805,94351,9590583
1488761404,94434,9590676
1488761791,94446,9590689
1488762004,94450,9590693
1488762604,94459,9590701
1488763203,94506,9590749
1488763714,94510,9590753
1488764107,94434,9590662
1488764704,94486,9590718
1488765303,94484,9590716
1488765904,94480,9590712
1488766504,94483,9590716
1488767103,94473,9590705
1488767704,94469,9590701
1488768304,94473,9590705
1488768903,94470,9590702
1488769502,94474,9590707
1488770103,94480,9590714
1488770703,94557,9590812
1488771403,94539,9590793
1488771604,94544,9590798
1488772203,94547,9590802
1488772803,94548,9590803
1488773404,94544,9590799
1488774009,94481,9590723
1488774249,94491,9590733
1488774603,94496,9590738
1488774906,94476,9590713
1488775505,94498,9590750
1488776103,94497,9590749
1488776704,94499,9590751
1488777140,94502,9590754
1488777304,94500,9590752
1488777904,94502,9590754
1488778504,94500,9590752
1488779099,94512,9590764
1488779103,94543,9590794
1488779703,94548,9590798
1488780306,94560,9590810
1488780990,94590,9590839
1488781502,94593,9590842
1488782104,94595,9590844
1488782906,94578,9590825
1488783304,94578,9590826
1488783903,94605,9590861
1488784503,94605,9590861
1488784829,94614,9590870
1488785103,94610,9590866
1488785405,94608,9590864
1488786004,94603,9590859
1488786763,94608,9590865
1488787204,94609,9590866
1488787803,94605,9590862
1488788405,94605,9590862
1488788668,94607,9590864
1488788897,94611,9590868
1488789003,94611,9590868
1488789604,94609,9590866
1488790203,94610,9590866
1488790589,94619,9590874
1488790806,94579,9590833
1488791404,94590,9590844
1488792002,94596,9590850
1488792604,94594,9590848
1488793203,94606,9590861
1488793960,94617,9590852
1488794526,94618,9590853
1488795005,94608,9590843
1488795605,94586,9590818
1488796360,94588,9590820
1488796803,94584,9590816
1488797405,94591,9590823
1488798004,94587,9590819
1488798306,94569,9590800
1488798904,94575,9590806
1488800106,94560,9590792
1488800676,94570,9590802
1488800705,94570,9590802
1488801304,94562,9590792
1488801905,94567,9590797
1488802615,94564,9590792
1488803050,94565,9590793
1488803104,94558,9590786
1488803530,94560,9590788
1488803706,94654,9590884
1488804508,94532,9590762
1488804604,94525,9590754
1488805204,94525,9590754
1488805804,94610,9590841
1488806415,94456,9590666
1488807005,94447,9590646
1488807606,94428,9590620
1488808204,94412,9590603
1488808804,94496,9590686
1488809106,94449,9590639
1488809704,94403,9590591
1488810257,94402,9590591
1488810604,94384,9590573
1488811204,94467,9590659
1488811805,94426,9590619
1488812188,94425,9590618
1488812404,94427,9590621
1488813007,94323,9590504
1488813611,94295,9590491
1488814108,94300,9590496
1488814203,94286,9590482
1488814505,94280,9590476
1488815104,94263,9590458
1488815408,94197,9590370
1488816122,94162,9590335
1488816605,94154,9590327
1488817205,94137,9590310
1488817963,94131,9590305
1488818171,94138,9590312
1488818404,94128,9590301
1488819007,94112,9590287
1488819605,94101,9590276
1488820113,94107,9590281
1488820204,94096,9590270
1488820805,94033,9590206
1488821404,94028,9590201
1488822029,94028,9590201
1488822306,93936,9590096
1488822906,93904,9590064
1488823212,93815,9589958
