DateTime,AddedIPs,RemovedIPs
1488534121,0,7
1488534962,3,6
1488535321,0,6
1488536522,4,0
1488537121,1,2
1488537722,2,3
1488538322,0,5
1488538562,5,5
1488538922,0,65
1488540122,2,2
1488540722,1,0
1488541321,0,2
1488542162,5,0
1488542522,4,2
1488543122,3,0
1488543723,1,0
1488544321,6,1
1488544922,2,13
1488545522,6,32
1488545763,1,7
1488546122,0,14
1488546722,8,1
1488547322,2,5
1488547921,0,1
1488547981,1,0
1488548522,4,3
1488549122,4,0
1488549362,7,12
1488549721,0,1
1488550390,10,10
1488550922,7,41
1488551522,3,0
1488552121,4,0
1488552962,11,13
1488553323,9,13
1488553922,0,6
1488554522,1,3
1488555722,2,2
1488556321,0,8
1488556562,3,4
1488556921,1,1
1488557522,1,22
1488558121,1,0
1488558721,2,9
1488559322,1,0
1488559921,5,3
1488560163,3,5
1488560522,2,2
1488561721,5,5
1488562921,3,0
1488563522,1,6
1488563762,2,0
1488564121,1,10
1488564722,1,0
1488565321,1,37
1488565922,1,2
1488565982,3,0
1488566522,0,4
1488567362,3,10
1488567721,1,1
1488568321,1,3
1488568922,1,0
1488569522,0,5
1488570122,1,20
1488570963,5,12
1488571322,4,42
1488571922,0,11
1488572521,4,5
1488573122,5,1
1488573721,5,0
1488574322,3,10
1488574563,3,16
1488574922,2,12
1488576122,2,24
1488576722,1,46
1488577321,2,1
1488577921,0,1
1488578163,4,5
1488578522,0,7
1488579122,0,1
1488579723,0,1
1488580924,4,2
1488581522,3,11
1488582122,7,25
1488582721,0,27
1488583921,6,26
1488584522,0,10
1488585121,1,10
1488585363,4,0
1488585721,2,0
1488586321,2,2
1488586936,3,6
1488587581,6,17
1488588123,0,1
1488588721,1,1
1488588963,2,5
1488589922,0,7
1488590522,3,0
1488591722,1,1
1488592321,3,0
1488592563,7,7
1488592923,15,23
1488593522,2,0
1488594121,0,11
1488595322,0,62
1488595922,1,4
1488596163,6,6
1488597121,1,1
1488597722,3,0
1488598922,0,4
1488599526,1,7
1488600122,1,8
1488600722,0,74
1488601922,0,40
1488602521,0,2
1488603122,0,2
1488603362,1,3
1488603722,1,0
1488604922,0,8
1488605522,4,0
1488606121,3,3
1488606721,0,4
1488606962,3,0
1488607322,0,32
1488607921,0,15
1488609121,2,5
1488609722,2,3
1488610322,2,0
1488610922,9,13
1488611522,0,3
1488612122,1,15
1488613321,0,11
1488613923,0,4
1488614429,6,0
1488614521,9,0
1488615121,3,0
1488615721,2,1
1488616922,1,0
1488617521,1,11
1488617762,5,4
1488618122,2,22
1488618722,0,36
1488619322,1,0
1488619921,0,4
