DateTime,Entries,UniqueIPs
1488544321,38151,38729
1488544922,38140,38718
1488545522,38114,38692
1488545763,38108,38686
1488546122,38094,38672
1488546722,38101,38679
1488547322,38098,38676
1488547921,38097,38675
1488547981,38098,38676
1488548522,38101,38677
1488549122,38105,38681
1488549362,38101,38676
1488549721,38100,38675
1488550390,38100,38675
1488550922,38066,38641
1488551522,38069,38644
1488552121,38073,38648
1488552962,38071,38646
1488553323,38067,38642
1488553922,38061,38636
1488554522,38059,38634
1488555722,38059,38634
1488556321,38051,38626
1488556562,38050,38625
1488556921,38050,38625
1488557522,38029,38604
1488558121,38030,38605
1488558721,38023,38598
1488559322,38024,38599
1488559921,38026,38601
1488560163,38024,38599
1488560522,38024,38599
1488561721,38024,38599
1488562921,38027,38602
1488563522,38022,38597
1488563762,38024,38599
1488564121,38015,38590
1488564722,38016,38591
1488565321,37980,38555
1488565922,37979,38554
1488565982,37982,38557
1488566522,37978,38553
1488567362,37969,38546
1488567721,37969,38546
1488568321,37967,38544
1488568922,37968,38545
1488569522,37964,38540
1488570122,37945,38521
1488570963,37938,38514
1488571322,37899,38476
1488571922,37888,38465
1488572521,37887,38464
1488573122,37891,38468
1488573721,37896,38473
1488574322,37889,38466
1488574563,37876,38453
1488574922,37866,38443
1488576122,37844,38421
1488576722,37799,38376
1488577321,37800,38377
1488577921,37799,38376
1488578163,37798,38375
1488578522,37791,38368
1488579122,37790,38367
1488579723,37789,38366
1488580924,37791,38368
1488581522,37783,38360
1488582122,37765,38342
1488582721,37738,38315
1488583921,37718,38295
1488584522,37708,38285
1488585121,37699,38276
1488585363,37703,38280
1488585721,37705,38282
1488586321,37705,38282
1488586936,37701,38279
1488587581,37690,38268
1488588123,37689,38267
1488588721,37688,38267
1488588963,37685,38264
1488589922,37679,38257
1488590522,37682,38260
1488591722,37681,38260
1488592321,37683,38263
1488592563,37683,38263
1488592923,37674,38255
1488593522,37676,38257
1488594121,37665,38246
1488595322,37603,38184
1488595922,37600,38181
1488596163,37600,38181
1488597121,37600,38181
1488597722,37603,38184
1488598922,37599,38180
1488599526,37593,38174
1488600122,37587,38167
1488600722,37513,38093
1488601922,37473,38053
1488602521,37471,38051
1488603122,37469,38049
1488603362,37467,38047
1488603722,37468,38048
1488604922,37460,38040
1488605522,37464,38044
1488606121,37464,38044
1488606721,37460,38040
1488606962,37463,38043
1488607322,37431,38011
1488607921,37416,37996
1488609121,37413,37993
1488609722,37412,37992
1488610322,37414,37994
1488610922,37410,37990
1488611522,37407,37987
1488612122,37393,37973
1488613321,37382,37962
1488613923,37378,37958
1488614429,37384,37964
1488614521,37393,37973
1488615121,37396,37976
1488615721,37397,37977
1488616922,37398,37978
1488617521,37388,37968
1488617762,37389,37969
1488618122,37371,37949
1488618722,37336,37913
1488619322,37337,37914
1488619921,37333,37910
1488619981,37332,37909
1488620522,37331,37908
1488621122,37333,37910
1488621362,37330,37907
1488621723,37334,37911
1488622922,37321,37898
1488623522,37293,37869
1488624122,37294,37870
1488624721,37287,37863
1488624963,37289,37865
1488625321,37283,37859
1488625923,37287,37863
1488626521,37293,37869
1488627121,37301,37877
1488627722,37301,37877
1488628323,37299,37875
1488628563,37308,37884
1488628922,37301,37877
1488630122,37349,37925
1488630721,37364,37941
1488631322,37366,37943
1488631922,37375,37953
1488632162,37371,37949
1488632521,37368,37947
1488633122,37370,37949
1488633721,37371,37950
1488634922,37332,37911
1488635521,37338,37917
1488636121,37334,37913
1488637922,37343,37922
1488639121,37346,37925
1488639362,37349,37928
1488639722,37314,37892
1488640322,37316,37894
1488640921,37305,37884
1488641581,37305,37884
1488642123,37300,37880
1488642962,37292,37872
1488643322,37286,37866
1488644522,37284,37863
1488645722,37239,37817
1488646322,37230,37808
1488646563,37236,37814
1488646922,37244,37822
1488647522,37244,37821
