DateTime,AddedIPs,RemovedIPs
1487554335,0,2
1487554815,2,1
1487555295,1,1
1487555784,1,4
1487556740,3,7
1487557223,0,2
1487558656,0,2
1487562498,0,1
1487562982,1,0
1487569948,23,0
1487574496,0,1
1487577856,1,0
1487586014,0,2
1487586504,2,0
1487587458,1,0
1487589379,0,2
1487589857,2,0
1487590337,0,2
1487591296,2,0
1487592499,0,2
1487592995,2,0
1487593934,0,1
1487599458,0,1
1487599933,1,0
1487610976,1,0
1487611454,1,4
1487613685,31,0
1487616736,1,0
1487621540,1,1
1487623935,6,2
1487630896,0,1
1487631651,1,0
1487639298,1,1
1487639775,2,4
1487640259,4,1
1487640738,2,1
1487641214,3,6
1487641693,2,1
1487642184,3,3
1487642659,2,1
1487643140,3,3
1487643614,1,1
1487644099,1,1
1487648657,0,1
1487649135,1,0
1487653454,0,1
1487653934,1,0
1487657562,36,0
1487658022,0,1
1487658497,3,1
1487660898,2,0
1487668576,0,2
1487669053,1,2
1487673080,2,0
1487678662,1,0
1487686335,2,0
1487691615,1,1
1487696655,0,1
1487701230,42,1
1487703374,1,2
1487710339,4,4
1487712740,0,1
1487714655,0,1
1487715136,1,0
1487715613,1,0
1487725455,0,3
1487725942,5,3
1487726414,2,1
1487726896,1,0
1487727373,1,1
1487727864,0,4
1487728334,2,2
1487729055,2,5
1487729535,6,5
1487730014,1,2
1487730975,0,1
1487731455,0,1
1487731937,1,2
1487732442,2,0
1487736255,0,2
1487736737,2,0
1487740333,0,1
1487740815,1,0
1487741471,1,0
1487744924,36,0
1487746333,0,1
1487747306,2,0
1487750179,1,1
1487761456,3,3
1487772254,1,1
1487775135,2,0
1487775854,1,0
1487784498,1,2
1487784973,2,0
1487788266,2,0
1487788608,33,0
1487794334,0,1
1487794823,1,0
1487796734,4,7
1487802014,0,2
1487802495,2,0
1487810178,0,2
1487810654,2,0
1487812100,1,0
1487812573,6,3
1487813055,3,4
1487813537,3,7
1487814016,4,4
1487814497,4,4
1487814983,1,5
1487815453,2,2
1487815936,5,7
1487816414,1,1
1487817374,0,1
1487821696,0,3
1487822177,3,0
1487822658,0,2
1487823134,2,1
1487824573,2,0
1487826740,1,0
1487827214,0,2
1487827698,2,0
1487831775,2,4
1487832264,23,1
1487835138,1,0
1487841137,1,0
1487841644,1,4
1487842103,2,0
1487844499,1,1
1487845940,3,0
1487847863,7,0
1487854333,0,1
1487855296,1,0
1487861534,2,0
1487862254,0,2
1487863229,2,0
1487874743,1,0
1487875938,39,0
1487883147,6,5
1487898047,0,1
1487898499,1,4
1487898973,2,4
1487899457,2,1
1487899934,0,2
1487900421,0,5
1487900894,3,5
1487901387,5,3
1487902096,5,6
1487902578,1,2
1487903053,1,0
1487903537,0,1
1487904015,1,2
1487904494,2,0
