DateTime,Entries,UniqueIPs
1487523389,21853,21943
1487523854,21854,21944
1487526279,21892,21982
1487537533,21893,21983
1487544015,21892,21982
1487552907,21890,21980
1487553375,21887,21977
1487553856,21889,21979
1487554335,21887,21977
1487554815,21888,21978
1487555295,21888,21978
1487555784,21885,21975
1487556740,21881,21971
1487557223,21879,21969
1487558656,21877,21967
1487562498,21876,21966
1487562982,21877,21967
1487569948,21900,21990
1487574496,21899,21989
1487577856,21900,21990
1487586014,21898,21988
1487586504,21900,21990
1487587458,21901,21991
1487589379,21899,21989
1487589857,21901,21991
1487590337,21899,21989
1487591296,21901,21991
1487592499,21899,21989
1487592995,21901,21991
1487593934,21900,21990
1487599458,21899,21989
1487599933,21900,21990
1487610976,21901,21991
1487611454,21898,21988
1487613685,21929,22019
1487616736,21930,22020
1487621540,21930,22020
1487623935,21934,22024
1487630896,21933,22023
1487631651,21934,22024
1487639298,21934,22024
1487639775,21932,22022
1487640259,21935,22025
1487640738,21936,22026
1487641214,21933,22023
1487641693,21935,22024
1487642184,21934,22024
1487642659,21935,22025
1487643140,21935,22025
1487643614,21935,22025
1487644099,21935,22025
1487648657,21934,22024
1487649135,21935,22025
1487653454,21934,22024
1487653934,21935,22025
1487657562,21971,22061
1487658022,21970,22060
1487658497,21972,22062
1487660898,21974,22064
1487668576,21972,22062
1487669053,21971,22061
1487673080,21973,22063
1487678662,21974,22064
1487686335,21976,22066
1487691615,21976,22066
1487696655,21975,22065
1487701230,22016,22106
1487703374,22015,22105
1487710339,22015,22105
1487712740,22014,22104
1487714655,22013,22103
1487715136,22014,22104
1487715613,22015,22105
1487725455,22012,22102
1487725942,22014,22104
1487726414,22015,22105
1487726896,22016,22106
1487727373,22016,22106
1487727864,22012,22102
1487728334,22012,22102
1487729055,22009,22099
1487729535,22010,22100
1487730014,22009,22099
1487730975,22008,22098
1487731455,22007,22097
1487731937,22006,22096
1487732442,22008,22098
1487736255,22006,22096
1487736737,22008,22098
1487740333,22007,22097
1487740815,22008,22098
