DateTime,AddedIPs,RemovedIPs
1487857455,22,18
1487859384,13,10
1487861309,21,12
1487863247,18,7
1487865159,25,17
1487867059,12,12
1487868997,14,13
1487870931,15,16
1487872917,25,12
1487874764,17,7
1487876679,23,15
1487878602,20,20
1487880515,12,11
1487883176,36,30
1487885058,32,17
1487887001,13,12
1487888923,16,11
1487890941,8,11
1487892754,11,26
1487894677,39,16
1487896589,11,11
1487898523,17,27
1487900495,326,0
1487902355,11,16
1487904251,8,12
1487906187,7,6
1487908101,13,18
1487910049,6,10
1487911963,10,14
1487913872,10,13
1487915811,9,10
1487917732,7,7
1487919729,13,15
1487921561,11,26
1487923727,9,19
1487925641,9,16
1487927573,8,14
1487929466,7,9
1487931398,13,9
1487933318,10,13
1487935241,15,26
1487937157,11,7
1487939067,16,863
1487940997,12,17
1487942900,391,0
1487944914,15,8
1487946757,28,19
1487948676,28,25
1487950856,15,11
1487952743,18,18
1487954658,21,11
1487956587,13,10
1487958506,15,16
1487960438,12,10
1487962357,8,13
1487964277,14,20
1487966194,19,15
1487968099,11,21
1487970108,8,14
1487971951,10,16
1487974136,21,28
1487976036,3,27
1487977941,13,22
1487979854,15,23
1487981793,12,17
1487983718,19,28
1487985641,376,0
1487987575,9,9
1487989467,10,19
1487991396,8,11
1487993320,8,14
1487995312,5,10
1487997154,11,25
1488001230,21,29
1488003151,6,9
1488005064,7,15
1488006989,17,18
1488008899,4,10
1488010821,7,24
1488012738,6,10
1488014666,9,15
1488016608,6,14
1488018512,10,21
1488020521,8,24
1488022353,20,20
1488024525,8,19
1488026430,16,748
1488028388,256,0
1488030265,14,10
1488032197,17,12
1488034123,10,6
1488036032,20,10
1488037957,16,12
1488039855,8,7
1488041782,13,9
1488043697,20,12
1488045699,11,17
1488047561,14,6
1488049479,15,13
1488051396,36,15
1488053320,7,3
1488055237,15,14
1488057172,10,7
1488059062,10,9
1488060990,19,10
1488062920,8,8
1488064818,10,14
1488066751,7,13
1488068656,15,9
1488070592,25,17
1488072523,252,0
1488074517,9,8
1488076353,10,15
1488078270,12,3
1488080199,47,19
1488082140,39,7
1488084052,9,9
1488085976,3,11
1488087864,9,16
1488089791,10,7
1488091702,6,11
1488093628,5,7
1488095548,24,8
1488097452,28,3
1488099376,8,11
1488101310,13,9
1488103319,12,7
1488105161,21,14
1488107069,13,9
1488108997,14,11
1488110908,20,583
1488112850,13,11
1488114752,237,0
1488116650,47,13
1488118580,24,15
1488120496,30,7
1488122439,86,8
1488124364,44,7
1488126292,29,7
1488128196,48,3
1488130116,24,13
1488132117,22,15
1488135873,17,6
1488137795,10,19
1488139731,32,9
1488141633,23,7
1488143564,19,8
1488145466,16,10
1488147412,43,2
1488149336,51,15
1488151218,31,16
1488153149,60,10
1488155067,15,9
1488156995,12,11
1488158926,255,2
1488160897,37,7
1488162750,27,12
1488164675,20,7
1488166598,74,9
1488168540,26,5
1488170431,37,3
1488172360,11,11
1488174250,12,10
1488176190,4,3
1488178103,15,7
1488180045,28,14
1488181951,12,6
1488183858,30,4
1488185777,18,7
1488187729,32,8
1488189901,17,7
1488191792,28,17
1488193721,43,18
1488197804,32,704
1488199707,25,13
1488201638,365,0
1488203553,27,16
1488205452,36,9
1488209293,45,19
1488211294,20,35
1488213213,28,33
1488215073,41,12
1488218917,55,9
1488220834,83,20
1488222760,48,6
1488224660,23,20
1488226842,28,32
1488228759,33,9
1488230684,10,5
1488232593,29,10
1488234505,33,12
1488236512,56,22
1488240518,30,23
1488244626,314,0
1488246512,29,11
1488248436,17,10
1488250371,20,12
1488252269,8,3
1488254194,15,23
1488256108,12,22
1488258124,13,8
1488259967,21,7
1488262123,22,13
1488264038,19,8
1488265967,8,6
1488267869,11,17
1488270045,11,26
1488271959,15,8
1488273868,7,6
1488275804,11,10
1488277710,13,10
1488279726,8,7
1488281565,12,14
1488283718,22,1326
1488285627,26,27
1488287538,587,0
1488289450,16,44
1488291654,22,21
1488293552,17,36
1488295474,13,58
1488297390,13,22
1488299311,16,39
1488301316,14,28
1488303154,6,11
1488305320,26,24
1488307240,11,12
1488309159,14,33
1488311063,9,13
1488312992,30,35
1488315164,8,8
1488317066,11,37
1488318994,12,23
1488320906,7,11
1488322921,20,50
1488326919,28,35
1488328835,10,29
1488330763,567,0
1488332662,12,39
1488334595,9,14
1488336508,5,44
1488338437,8,45
1488340363,5,31
1488342255,14,39
1488344179,28,28
1488346096,7,12
1488348106,7,13
1488349951,20,13
1488351872,9,7
1488353804,20,44
1488355732,14,28
1488357634,3,19
1488359558,12,33
1488361474,13,22
1488363396,18,9
1488365313,10,16
1488367246,17,41
1488369163,7,7
1488371060,6,1111
1488372988,25,13
1488374917,353,0
1488376910,9,34
1488379014,35,44
1488380932,22,13
1488382839,20,10
1488386683,71,25
1488388591,9,12
1488390500,8,16
1488392449,30,10
1488394340,8,16
1488396254,17,8
1488398196,11,13
1488400129,9,13
1488402102,13,14
1488403965,37,13
1488406129,20,22
1488408025,19,8
1488409960,7,16
1488411863,15,16
1488413803,11,10
1488415719,2,8
1488417685,324,0
1488419561,62,42
1488421465,121,28
1488423389,4,12
1488425325,11,13
1488427309,9,16
1488430963,11,16
1488432975,21,25
