DateTime,Entries,UniqueIPs
1487836351,1621,1621
1487838259,1626,1626
1487840187,1621,1621
1487842113,1626,1626
1487844134,1626,1626
1487845955,1622,1622
1487847879,1635,1635
1487849792,1639,1639
1487851705,1641,1641
1487853640,882,882
1487855562,1252,1252
1487857455,1256,1256
1487859384,1259,1259
1487861309,1268,1268
1487863247,1279,1279
1487865159,1287,1287
1487867059,1287,1287
1487868997,1288,1288
1487870931,1287,1287
1487872917,1300,1300
1487874764,1310,1310
1487876679,1318,1318
1487878602,1318,1318
1487880515,1319,1319
1487883176,1325,1325
1487885058,1340,1340
1487887001,1341,1341
1487888923,1346,1346
1487890941,1343,1343
1487892754,1328,1328
1487894677,1351,1351
1487896589,1351,1351
1487898523,1341,1341
1487900495,1667,1667
1487902355,1662,1662
1487904251,1658,1658
1487906187,1659,1659
1487908101,1654,1654
1487910049,1650,1650
1487911963,1646,1646
1487913872,1643,1643
1487915811,1642,1642
1487917732,1642,1642
1487919729,1640,1640
1487921561,1625,1625
1487923727,1615,1615
1487925641,1608,1608
1487927573,1602,1602
1487929466,1600,1600
1487931398,1604,1604
1487933318,1601,1601
1487935241,1590,1590
1487937157,1594,1594
1487939067,747,747
1487940997,742,742
1487942900,1133,1133
1487944914,1140,1140
1487946757,1149,1149
1487948676,1152,1152
1487950856,1156,1156
1487952743,1156,1156
1487954658,1166,1166
1487956587,1169,1169
1487958506,1168,1168
1487960438,1170,1170
1487962357,1165,1165
1487964277,1159,1159
1487966194,1163,1163
1487968099,1153,1153
1487970108,1147,1147
1487971951,1141,1141
1487974136,1134,1134
1487976036,1110,1110
1487977941,1101,1101
1487979854,1093,1093
1487981793,1088,1088
1487983718,1079,1079
1487985641,1455,1455
1487987575,1455,1455
1487989467,1446,1446
1487991396,1443,1443
1487993320,1437,1437
1487995312,1432,1432
1487997154,1418,1418
1488001230,1410,1410
1488003151,1407,1407
1488005064,1399,1399
1488006989,1398,1398
1488008899,1392,1392
1488010821,1375,1375
1488012738,1371,1371
1488014666,1365,1365
1488016608,1357,1357
1488018512,1346,1346
1488020521,1330,1330
1488022353,1330,1330
1488024525,1319,1319
1488026430,587,587
1488028388,843,843
1488030265,847,847
1488032197,852,852
1488034123,856,856
1488036032,866,866
1488037957,870,870
1488039855,871,871
1488041782,875,875
1488043697,883,883
1488045699,877,877
1488047561,885,885
1488049479,887,887
1488051396,908,908
1488053320,912,912
1488055237,913,913
1488057172,916,916
1488059062,917,917
1488060990,926,926
1488062920,926,926
1488064818,922,922
1488066751,916,916
1488068656,922,922
1488070592,930,930
1488072523,1182,1182
1488074517,1183,1183
1488076353,1178,1178
1488078270,1187,1187
1488080199,1215,1215
1488082140,1247,1247
1488084052,1247,1247
1488085976,1239,1239
