DateTime,AddedIPs,RemovedIPs
1488410102,201,914
1488411002,206,1043
1488411901,173,511
1488412801,282,419
1488413702,166,399
1488414601,236,968
1488415501,237,445
1488416402,246,951
1488417301,167,586
1488418202,158,1049
1488419102,187,595
1488420001,190,422
1488420901,190,492
1488421801,129,246
1488422701,174,265
1488423601,214,297
1488424501,170,225
1488425401,136,167
1488426301,173,200
1488427201,224,171
1488428101,203,172
1488429001,187,225
1488429901,323,190
1488430801,187,229
1488431701,189,188
1488432601,174,201
1488433501,210,203
1488434401,259,173
1488435301,242,282
1488436201,197,169
1488437102,180,239
1488438002,341,239
1488438901,164,245
1488439801,159,162
1488440701,184,160
1488441601,200,180
1488442501,195,184
1488443401,189,194
1488444301,201,126
1488445201,177,164
1488446101,185,205
1488447001,161,167
1488447901,273,138
1488448802,247,173
1488449702,471,227
1488450602,189,203
1488451502,256,187
1488452401,380,325
1488453302,887,193
1488454202,274,196
1488455101,198,173
1488456001,229,212
1488456901,236,257
1488457802,175,237
1488458702,216,195
1488459602,156,184
1488460501,230,342
1488461401,265,172
1488462301,245,169
1488463201,184,193
1488464102,190,209
1488465001,230,200
1488465902,160,188
1488466802,200,201
1488467702,213,184
1488468602,149,189
1488469502,368,167
1488470401,372,274
1488471301,388,247
1488472202,387,433
1488473102,371,198
1488474002,361,259
1488474901,255,360
1488475801,299,889
1488476701,392,284
1488477601,319,208
1488478502,308,233
1488479401,262,243
1488480301,270,181
1488481202,252,226
1488482102,236,154
1488483002,255,234
1488483901,243,263
1488484802,224,245
1488485702,319,186
1488486601,183,191
1488487502,206,228
1488488402,227,162
1488489301,232,203
1488490202,280,213
1488491102,213,139
1488492001,202,362
1488492901,307,377
1488493801,162,402
1488494701,253,391
1488495602,358,369
1488496501,190,370
1488497401,336,258
1488498302,1179,300
1488499202,1494,377
1488500102,1137,312
1488501002,1028,294
1488501902,1036,247
1488502802,987,258
1488503702,1064,236
1488504602,1139,229
1488505502,914,253
1488506403,835,233
1488507303,883,219
1488508203,803,305
1488509102,768,180
1488510003,809,200
1488510902,811,208
1488511803,726,231
1488512703,794,265
1488513603,743,206
1488514503,785,193
1488515404,623,301
1488516303,588,159
1488517203,581,238
1488518103,507,350
1488519003,457,187
1488519903,407,282
1488520804,445,327
1488521704,369,196
1488522604,362,216
1488523503,332,273
1488524403,440,251
1488525304,467,226
1488526204,1123,380
1488527103,637,373
1488528004,526,249
1488528903,441,208
1488529803,419,210
1488530703,403,207
1488531603,475,200
1488532504,471,191
1488533404,524,226
1488534304,441,183
1488535204,477,211
1488536104,512,190
1488537004,578,278
1488537904,833,164
1488538804,850,534
1488539704,905,816
1488540604,877,755
1488541504,782,621
1488542404,901,699
1488543304,1215,954
1488544205,1191,1013
1488545105,1229,1069
1488546005,937,895
1488546903,1051,995
1488547803,976,963
1488548704,954,941
1488549604,926,910
1488550505,916,907
1488551404,852,872
1488552305,845,884
1488553204,980,950
1488554105,829,860
1488555004,788,835
1488555904,646,533
1488556804,698,520
1488557704,646,485
1488558604,521,438
1488559504,624,472
1488560404,567,532
1488561304,509,454
1488562203,538,505
