DateTime,Entries,UniqueIPs
1488424501,5256,5256
1488425401,5225,5225
1488426301,5198,5198
1488427201,5251,5251
1488428101,5282,5282
1488429001,5244,5244
1488429901,5377,5377
1488430801,5335,5335
1488431701,5336,5336
1488432601,5309,5309
1488433501,5316,5316
1488434401,5402,5402
1488435301,5362,5362
1488436201,5390,5390
1488437102,5331,5331
1488438002,5433,5433
1488438901,5352,5352
1488439801,5349,5349
1488440701,5373,5373
1488441601,5393,5393
1488442501,5404,5404
1488443401,5399,5399
1488444301,5474,5474
1488445201,5487,5487
1488446101,5467,5467
1488447001,5461,5461
1488447901,5596,5596
1488448802,5670,5670
1488449702,5914,5914
1488450602,5900,5900
1488451502,5969,5969
1488452401,6024,6024
1488453302,6718,6718
1488454202,6796,6796
1488455101,6821,6821
1488456001,6838,6838
1488456901,6817,6817
1488457802,6755,6755
1488458702,6776,6776
1488459602,6748,6748
1488460501,6636,6636
1488461401,6729,6729
1488462301,6805,6805
1488463201,6796,6796
1488464102,6777,6777
1488465001,6807,6807
1488465902,6779,6779
1488466802,6778,6778
1488467702,6807,6807
1488468602,6767,6767
1488469502,6968,6968
1488470401,7066,7066
1488471301,7207,7207
1488472202,7161,7161
1488473102,7334,7334
1488474002,7436,7436
1488474901,7331,7331
1488475801,6741,6741
1488476701,6849,6849
1488477601,6960,6960
1488478502,7035,7035
1488479401,7054,7054
1488480301,7143,7143
1488481202,7169,7169
1488482102,7251,7251
1488483002,7272,7272
1488483901,7252,7252
1488484802,7231,7231
1488485702,7364,7364
1488486601,7356,7356
1488487502,7334,7334
1488488402,7399,7399
1488489301,7428,7428
1488490202,7495,7495
1488491102,7569,7569
1488492001,7409,7409
1488492901,7339,7339
1488493801,7099,7099
1488494701,6961,6961
1488495602,6950,6950
1488496501,6770,6770
1488497401,6848,6848
1488498302,7727,7727
1488499202,8844,8844
1488500102,9669,9669
1488501002,10403,10403
1488501902,11192,11192
1488502802,11921,11921
1488503702,12749,12749
1488504602,13659,13659
1488505502,14320,14320
1488506403,14922,14922
1488507303,15586,15586
1488508203,16084,16084
1488509102,16672,16672
1488510003,17281,17281
1488510902,17884,17884
1488511803,18379,18379
1488512703,18908,18908
1488513603,19445,19445
1488514503,20037,20037
1488515404,20359,20359
1488516303,20788,20788
1488517203,21131,21131
1488518103,21288,21288
1488519003,21558,21558
1488519903,21683,21683
1488520804,21801,21801
1488521704,21974,21974
1488522604,22120,22120
1488523503,22179,22179
1488524403,22368,22368
1488525304,22609,22609
1488526204,23352,23352
1488527103,23616,23616
1488528004,23893,23893
1488528903,24126,24126
1488529803,24335,24335
1488530703,24531,24531
1488531603,24806,24806
1488532504,25086,25086
1488533404,25384,25384
1488534304,25642,25642
1488535204,25908,25908
1488536104,26230,26230
1488537004,26530,26530
1488537904,27199,27199
1488538804,27515,27515
1488539704,27604,27604
1488540604,27726,27726
1488541504,27887,27887
1488542404,28089,28089
1488543304,28350,28350
1488544205,28528,28528
1488545105,28688,28688
1488546005,28730,28730
1488546903,28786,28786
1488547803,28799,28799
1488548704,28812,28812
1488549604,28828,28828
1488550505,28837,28837
1488551404,28817,28817
1488552305,28778,28778
1488553204,28808,28808
1488554105,28777,28777
1488555004,28730,28730
1488555904,28843,28843
1488556804,29021,29021
1488557704,29182,29182
1488558604,29265,29265
1488559504,29417,29417
1488560404,29452,29452
1488561304,29507,29507
1488562203,29540,29540
1488563104,29579,29579
1488564003,29617,29617
1488564904,29688,29688
1488565804,29695,29695
1488566704,29652,29652
1488567603,29680,29680
1488568504,29637,29637
1488569403,29559,29559
1488570303,29509,29509
1488571204,29216,29216
1488572104,29070,29070
1488573003,28951,28951
1488573904,28780,28780
1488574804,28692,28692
1488575703,28460,28460
1488576603,28307,28307
1488577504,28225,28225
1488578403,28296,28296
1488579303,28153,28153
1488580203,27937,27937
1488584704,25544,25544
1488585603,25135,25135
1488586502,24661,24661
1488587403,23897,23897
1488588303,23286,23286
1488589204,22723,22723
1488590103,22445,22445
1488591003,22122,22122
1488591903,21680,21680
1488592803,21289,21289
1488593703,20861,20861
1488594603,20482,20482
1488595503,20057,20057
1488596403,19735,19735
1488597303,19335,19335
1488598203,18998,18998
1488599103,18647,18647
1488600003,18433,18433
1488600902,18180,18180
1488601803,17848,17848
1488602703,17674,17674
1488603603,17482,17482
1488604503,17391,17391
1488605402,17360,17360
1488606303,17124,17124
1488607202,16996,16996
1488608103,16926,16926
1488609003,16842,16842
1488609903,16757,16757
1488610802,16647,16647
1488611703,16508,16508
1488612602,16402,16402
1488613503,16272,16272
1488614403,16140,16140
1488615303,16238,16238
1488616203,17119,17119
1488617103,17240,17240
1488618002,17386,17386
1488618903,17427,17427
1488619803,17580,17580
1488620703,17715,17715
1488621602,17723,17723
1488622502,17557,17557
1488623402,17549,17549
1488624302,17646,17646
1488625202,17760,17760
1488626102,17917,17917
1488627002,18068,18068
1488627903,18174,18174
1488628802,18329,18329
1488629703,18642,18642
1488630603,19138,19138
1488631503,19826,19826
1488632403,20661,20661
1488633303,21410,21410
1488634203,22271,22271
1488635103,22817,22817
1488636002,23352,23352
1488636903,23976,23976
1488637803,24520,24520
1488638703,24824,24824
